lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2314_translation,version_2315_translation,version_2316_translation,version_2317_translation,version_2318_translation,version_2319_translation,version_2320_translation,version_2321_translation,version_2322_translation,version_2323_translation,version_2324_translation,version_2325_translation,version_2326_translation,english_translation
ἡμέρα,341,uni_token,feminine,nominative,plural,日,25000976.936373185,日,日,日,日,日,日,,日,日,日,日,日,日,day
ἡμέρα,420,uni_token,feminine,nominative,singular,日,400.4040822136458,日,日,日,日,日,日,,日,日,日,日,日,日,day
ὀφειλέτης,647,uni_token,masculine,nominative,plural,斃,1.5291123124978518,,,樓,,斃,斃,,斃,,,斃,塔,較,debtor
ὀφειλέτης,493,uni_token,masculine,nominative,singular,計,2.5612840989647276,計,債,算,計,計,計,,計,計,,計,欠,欠,debtor
δαιμόνιον,377,uni_token,neuter,accusative,plural,鬼,3.545106505689275,逐,鬼,鬼,鬼,鬼,魔,,鬼,鬼,逐,逐,鬼,鬼,demon
δαιμόνιον,737,uni_token,neuter,accusative,singular,鬼,499.8316480987531,鬼,魔,鬼,鬼,鬼,魔,,鬼,鬼,魔,鬼,鬼,鬼,demon
δαιμόνιον,578,uni_token,neuter,nominative,plural,鬼,13319.821530928693,鬼,鬼,鬼,鬼,鬼,魔,,鬼,鬼,魔,鬼,鬼,鬼,demon
δαιμόνιον,550,uni_token,neuter,nominative,singular,鬼,53.468389462234,鬼,鬼,鬼,鬼,鬼,魔,,鬼,鬼,魔,鬼,鬼,鬼,demon
δηνάριον,709,uni_token,neuter,accusative,plural,金,2.411175141751998,銀,債,欠,金,金,流,,償,錢,錢,金,呧,氏,denarius (about a day's wages)
δηνάριον,537,uni_token,neuter,accusative,singular,錢,48.72556845814843,錢,枚,錢,錢,錢,流,,錢,錢,錢,錢,錢,錢,denarius (about a day's wages)
μαθητής,557,uni_token,masculine,accusative,plural,徒,354.93140341340677,徒,徒,徒,徒,徒,徒,,徒,徒,徒,徒,徒,徒,disciple
μαθητής,745,uni_token,masculine,accusative,singular,愛,1.9988535626418977,愛,徒,愛,愛,愛,愛,,愛,徒,愛,愛,徒,徒,disciple
μαθητής,674,uni_token,masculine,nominative,plural,徒,111.04262544183302,徒,徒,徒,徒,徒,徒,,徒,徒,徒,徒,徒,徒,disciple
μαθητής,743,uni_token,masculine,nominative,singular,徒,10028.854882813783,徒,徒,徒,徒,徒,徒,,徒,徒,徒,徒,徒,徒,disciple
νόσος,342,uni_token,feminine,accusative,plural,病,5.278800931285858,病,病,病,病,,病,,病,恙,疾,病,疾,疾,disease
νόσος,429,uni_token,feminine,accusative,singular,疾,20.66022152309351,疾,疾,疾,疾,疾,疾,,疾,疾,病,疾,病,疾,disease
περιστερά,465,uni_token,feminine,accusative,plural,鴿,43.285211224412365,鴿,鴿,鴿,鴿,鴿,鴿,,鴿,鴿,賣,鴿,鴿,鴿,dove
περιστερά,406,uni_token,feminine,accusative,singular,鴿,55.848245475599676,鴿,鴿,鴿,鴿,鴿,鴿,,鴿,鴿,鴿,鴿,鴿,鴿,dove
οὖς,524,uni_token,neuter,accusative,plural,耳,505.5579504441528,耳,耳,耳,耳,耳,耳,,耳,耳,耳,耳,耳,耳,ear
οὖς,681,uni_token,neuter,accusative,singular,耳,6.786315030600643,耳,耳,耳,宣,耳,耳,,耳,耳,耳,耳,背,耳,ear
σεισμός,585,uni_token,masculine,nominative,plural,震,1.4408025001128224,,饉,荒,震,饑,饉,,荒,震,震,,荒,震,"earthquakes, storm"
σεισμός,416,uni_token,masculine,nominative,singular,盪,1.3692016963878089,動,顧,忽,盪,濤,湧,,盪,振,大,上,暴,卻,"earthquakes, storm"
τέλος,380,uni_token,neuter,accusative,plural,貢,2.6635895017990086,,貢,徵,,餉,,,徵,餉,,貢,貢,貢,end
τέλος,671,uni_token,neuter,accusative,singular,終,345.5867956804488,終,終,終,終,終,終,,終,終,終,終,終,終,end
αἰών,629,uni_token,masculine,accusative,plural,暨,1.5299796007031128,盡,終,窮,暨,暨,,,靡,暨,疆,暨,,靡,eternity
αἰών,705,uni_token,masculine,accusative,singular,永,45737119.79596918,永,永,永,永,永,永,,永,永,永,永,永,永,eternity
ὀφθαλμός,368,uni_token,masculine,accusative,plural,目,33973194.69571303,目,目,目,目,目,目,,目,目,目,目,目,目,eye
ὀφθαλμός,353,uni_token,masculine,accusative,singular,目,1.751285058749432,目,,牙,目,目,目,,目,目,目,目,目,眼,eye
ὀφθαλμός,417,uni_token,masculine,nominative,plural,目,69207545.07559133,目,目,目,目,目,目,,目,目,目,目,目,目,eye
ὀφθαλμός,702,uni_token,masculine,nominative,singular,目,2909.5438334597907,目,目,目,目,目,目,,目,目,目,目,目,眼,eye
πρόσωπον,492,uni_token,neuter,accusative,plural,面,9.374390174549537,面,顏,面,變,垢,,,面,面,臉,變,面,面,face
πρόσωπον,573,uni_token,neuter,accusative,singular,面,132.30983773913854,面,面,貌,貌,貌,面,,面,面,面,貌,面,面,face
λιμός,348,uni_token,feminine,nominative,plural,饉,1.6392136515469056,饑,饉,荒,,,饉,,荒,饉,饉,饑,荒,,famine
λιμός,714,uni_token,masculine,nominative,plural,疫,1.2729094412984348,,,,疫,,,,,,,疫,,瘟,famine
λιμός,456,uni_token,feminine,nominative,singular,耗,1.4303685425390218,饑,饉,耗,耗,,窮,,耗,丕,饉,乏,乏,,famine
λιμός,508,uni_token,masculine,nominative,singular,塞,2.1136591231659656,,塞,,塞,,塞,,塞,,飢,塞,旱,,famine
γεωργός,646,uni_token,masculine,nominative,plural,農,30.587127735197416,戶,丁,農,農,農,園,,農,農,農,農,農,農,"farmer, tenant"
γεωργός,401,uni_token,masculine,nominative,singular,,,,葡,培,場,場,,,,,圃,圃,農,農,"farmer, tenant"
πατήρ,579,uni_token,masculine,accusative,plural,祖,4.123559320842326,祖,祖,祖,祖,祖,祖,,祖,祖,昔,祖,父,父,father
πατήρ,708,uni_token,masculine,accusative,singular,父,146473790842.7562,父,父,父,父,父,父,,父,父,父,父,父,父,father
πατήρ,718,uni_token,masculine,nominative,plural,祖,58582.422910115776,祖,祖,祖,祖,祖,祖,,祖,祖,父,祖,祖,祖,father
πατήρ,566,uni_token,masculine,nominative,singular,父,88324430337461.14,父,父,父,父,父,父,,父,父,父,父,父,父,father
σύνδουλος,517,uni_token,masculine,accusative,plural,,,酒,撻,醉,,,酒,,撲,酒,,撻,醉,醉,"fellow-servant, colleague"
σύνδουλος,450,uni_token,masculine,accusative,singular,僚,8.642262140648878,僚,僚,伴,僚,,僚,,僚,矜,侣,僚,恩,悲,"fellow-servant, colleague"
σύνδουλος,722,uni_token,masculine,nominative,plural,僚,7.597663645660074,僚,僚,伴,,愬,僚,,僚,愬,愀,僚,悶,悶,"fellow-servant, colleague"
σύνδουλος,481,uni_token,masculine,nominative,singular,僚,2.865983975031388,僚,僚,,僚,寬,僚,,僚,,侣,僚,,耐,"fellow-servant, colleague"
ἀγρός,736,uni_token,masculine,accusative,plural,鄉,2.049153221377306,,田,鄉,村,田,鄉,,鄉,村,邨,村,鄉,鄉,field
ἀγρός,389,uni_token,masculine,accusative,singular,田,784.7099572157506,田,田,田,田,田,田,,田,田,買,田,田,田,field
δάκτυλος,622,uni_token,masculine,accusative,plural,僻,1.9361639930415515,僻,舌,僻,僻,僻,僻,,探,靜,舌,探,,,finger
δάκτυλος,556,uni_token,masculine,accusative,singular,探,1.314781000379045,肋,脇,脅,探,探,探,,探,脅,,探,,插,finger
ἰχθύς,528,uni_token,masculine,accusative,plural,魚,32.988386168145055,魚,魚,魚,魚,魚,魚,,魚,魚,魚,魚,魚,魚,fish
ἰχθύς,572,uni_token,masculine,accusative,singular,魚,137.58568128248203,魚,魚,魚,魚,魚,魚,,魚,魚,魚,魚,魚,魚,fish
δίκτυον,474,uni_token,neuter,accusative,plural,網,3066194.619028143,網,網,網,網,網,網,,網,網,網,網,網,網,fishing net
δίκτυον,582,uni_token,neuter,accusative,singular,網,15.214884866259146,網,網,網,網,網,網,,魚,網,網,網,網,網,fishing net
δίκτυον,551,uni_token,neuter,nominative,plural,網,1.4612596111592349,網,,破,網,圍,,,破,網,網,圍,括,爛,fishing net
δίκτυον,633,uni_token,neuter,nominative,singular,,,尾,尾,尾,網,牣,尾,,拽,網,網,綱,網,返,fishing net
τροφή,635,uni_token,feminine,accusative,plural,市,5.311127395889727,買,市,買,汲,市,市,,市,市,餉,市,沽,買,food
τροφή,731,uni_token,feminine,accusative,singular,忠,1.581715613782633,忠,粮,,忠,忠,忠,,,忠,慧,依,忠,誠,food
πούς,625,uni_token,masculine,accusative,plural,足,65701902.553894304,足,足,足,足,足,足,,足,足,足,足,足,腳,foot
πούς,478,uni_token,masculine,accusative,singular,觸,4.184908872726667,觸,捧,觸,觸,觸,觸,,觸,觸,,觸,足,腳,foot
καρπός,562,uni_token,masculine,accusative,plural,果,60.26497769337857,果,果,果,果,果,果,,果,果,實,果,果,果,"fruit, crop, harvest"
καρπός,620,uni_token,masculine,accusative,singular,結,35.384721999851244,結,結,結,結,實,結,,結,結,實,結,結,結,"fruit, crop, harvest"
πλήρωμα,664,uni_token,neuter,accusative,plural,,,拾,屑,拾,屑,拾,盈,,盈,屑,筐,盈,剩,剩,fullness
πλήρωμα,730,uni_token,neuter,accusative,singular,綻,1.7155866443040555,,綻,破,綻,綻,綻,,舊,,粗,綻,補,補,fullness
γενεά,666,uni_token,feminine,accusative,plural,畏,1.2666607226311075,畏,恤,憫,,畏,恤,,畏,爰,仁,,共,慈,generation
γενεά,621,uni_token,feminine,accusative,singular,,,代,世,代,世,世,世,,代,世,種,斯,代,代,generation
γενεά,716,uni_token,feminine,nominative,plural,代,4.240562045917089,,代,代,世,徙,代,,遷,徙,世,,,卑,generation
γενεά,523,uni_token,feminine,nominative,singular,代,18.443313958485806,代,代,代,世,世,世,,代,世,種,世,代,代,generation
δῶρον,707,uni_token,neuter,accusative,plural,輸,20.13427163672726,捐,物,輸,輸,輸,輸,,捐,輸,捐,輸,獻,獻,gift
δῶρον,539,uni_token,neuter,accusative,singular,禮,3.1498739482849527,禮,物,壇,禮,禮,禮,,禮,禮,礼,物,禮,禮,gift
ἡγεμών,548,uni_token,masculine,accusative,plural,侯,20.135971189877434,侯,侯,侯,侯,王,侯,,君,侯,解,解,解,解,"governor, ruler"
ἡγεμών,356,uni_token,masculine,accusative,singular,,,致,伯,仍,,詞,方,,,詞,應,方,總,督,"governor, ruler"
σταφυλή,565,uni_token,feminine,accusative,plural,採,1.1795784195212549,,,,,,,,,,,,採,,grapes
σταφυλή,747,uni_token,feminine,accusative,singular,,,,,,,,,,,荊,摘,,採,采,grapes
ἀσπασμός,721,uni_token,masculine,accusative,plural,市,8.227151879003872,市,廠,市,市,市,市,,市,市,市,市,市,市,greeting
ἀσπασμός,549,uni_token,masculine,accusative,singular,躍,2.821428747542259,躍,,胎,,躍,,,躍,躍,躍,踊,躍,躍,greeting
ὁδηγός,346,uni_token,masculine,nominative,plural,坑,3.3158915105948807,坑,坑,坑,坑,坑,坑,,坑,坑,倡,溝,溝,溝,guide
ὁδηγός,343,uni_token,masculine,nominative,singular,導,2.528735608412738,領,導,領,相,導,導,,瞽,瞽,倡,瞽,瞎,導,guide
θρίξ,386,uni_token,feminine,accusative,singular,髮,6.085298339611297,髮,髮,髮,,,,,髮,,髮,髮,髮,髮,hair
θρίξ,455,uni_token,feminine,nominative,plural,髮,485.4820255318435,髮,髮,髮,髮,髮,髮,,髮,髮,髮,髮,髮,髮,hair
θρίξ,602,uni_token,feminine,nominative,singular,髮,44.0065231623535,髮,髮,,髮,髮,髮,,髮,髮,髮,髮,髮,髮,hair
χείρ,711,uni_token,feminine,accusative,plural,手,140990729.6897981,手,手,手,手,手,手,,手,手,手,手,手,手,hand
χείρ,607,uni_token,feminine,accusative,singular,手,53460.395529936875,手,手,手,手,手,手,,手,手,手,手,手,手,hand
κεφαλή,514,uni_token,feminine,accusative,plural,首,2.4894094700506284,首,搖,首,首,首,首,,首,首,怨,首,罵,搖,head
κεφαλή,590,uni_token,feminine,accusative,singular,首,5163766.113538361,首,首,頭,首,首,首,,首,首,首,首,首,首,head
στάχυς,591,uni_token,masculine,accusative,plural,穗,3.600768472055619,穗,穗,穗,穗,穗,穗,,穗,摘,穗,穗,穗,穗,head of grain
στάχυς,430,uni_token,masculine,accusative,singular,穗,1.3167569176938394,穗,,,,穗,,,嘉,穗,芽,,,,head of grain
καρδία,381,uni_token,feminine,accusative,plural,心,2.5080152737189407,義,心,義,義,心,心,,心,心,義,心,心,義,heart
καρδία,684,uni_token,feminine,accusative,singular,心,19758.03394797287,心,心,心,心,心,心,,心,心,心,心,心,心,heart
καρδία,738,uni_token,feminine,nominative,plural,醉,1.3142605723233451,,,醉,,,,,,,,,醉,醉,heart
καρδία,574,uni_token,feminine,nominative,singular,心,51888869.84031715,心,心,心,心,心,心,,心,心,心,心,心,心,heart
οὐρανός,349,uni_token,masculine,accusative,plural,開,2.098041916421898,鴿,開,倏,開,鴿,開,,,,驟,開,降,降,"heaven, sky"
οὐρανός,660,uni_token,masculine,accusative,singular,天,611573.0896209328,天,天,天,天,天,天,,天,天,天,天,天,天,"heaven, sky"
οὐρανός,751,uni_token,masculine,nominative,plural,開,2.542623809836026,鴿,開,狀,開,開,開,,,降,鴿,開,降,降,"heaven, sky"
οὐρανός,580,uni_token,masculine,nominative,singular,天,128.11499705881218,天,天,天,天,天,廢,,天,天,天,天,天,天,"heaven, sky"
ὥρα,691,uni_token,feminine,nominative,plural,蹶,2.0511663245541576,,蹶,跌,蹶,蹶,,,晝,蹶,躓,躓,辰,辰,hour
ὥρα,371,uni_token,feminine,nominative,singular,時,3590.671197301204,時,時,時,時,時,時,,時,時,時,時,時,時,hour
οἰκία,530,uni_token,feminine,accusative,plural,,,,受,家,,疇,疇,,疇,屋,受,佯,受,吞,house
οἰκία,727,uni_token,feminine,accusative,singular,室,2.6001084628617597,室,家,家,室,室,室,,入,屋,屋,室,屋,家,house
οἶκος,679,uni_token,masculine,accusative,plural,,,,辭,管,操,黜,職,,職,黜,策,操,決,決,"house, home"
οἶκος,367,uni_token,masculine,accusative,singular,家,133.7131057788973,家,家,家,歸,歸,家,,家,室,屋,家,家,家,"house, home"
κριτής,706,uni_token,masculine,nominative,plural,卜,1.6423419007546791,卜,藉,卜,卜,卜,卜,,擬,擬,卜,卜,審,審,judge
κριτής,541,uni_token,masculine,nominative,singular,師,1.9123937081132403,官,官,官,師,師,師,,判,師,官,師,司,司,judge
κλείς,442,uni_token,feminine,accusative,plural,鑰,53.770082488808896,鑰,鑰,鑰,鑰,鑰,鑰,,鑰,鑰,,鑰,鑰,鑰,key
κλείς,534,uni_token,feminine,accusative,singular,鑰,2.1766686011989695,鑰,鑰,鑰,鑰,鑰,鑰,,,,匙,,鑰,匙,key
βασιλεύς,472,uni_token,masculine,accusative,plural,侯,5.775121767190629,侯,侯,侯,侯,王,侯,,君,侯,解,王,解,解,king
βασιλεύς,411,uni_token,masculine,accusative,singular,王,3179393.073417927,王,王,王,王,王,王,,王,王,王,王,王,王,king
βασιλεία,436,uni_token,feminine,accusative,plural,國,3.007705408354561,國,國,高,國,國,國,,國,國,國,高,高,,kingdom
βασιλεία,536,uni_token,feminine,accusative,singular,國,39583637.99302807,國,國,國,國,國,國,,國,國,國,國,國,國,kingdom
