lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1372_translation,version_1373_translation,version_1374_translation,version_1375_translation,version_1376_translation,version_1377_translation,version_1378_translation,english_translation
φραγμός,266,unigram,masculine,accusative,plural,,,,stiene,,gjerdene,oppfordrer,gjerdene,stiene,"barrier, wall"
ἀρχή,82,unigram,feminine,accusative,plural,forsvare,1.0961063339256685,,,,,forsvare,,,beginning
ἀρχή,206,unigram,feminine,accusative,singular,,,,begynnelsen,Akkurat,Nettop,,Nettopp,åpenbarte,beginning
ζώνη,197,unigram,feminine,accusative,plural,,,,sølv,,,Ta,,,belt
ζώνη,255,unigram,feminine,accusative,singular,kamelhårs-kappe,1.0960524252565438,,,kamelhårs-kappe,,,,,belt
βλασφημία,37,unigram,feminine,accusative,plural,spotter,1.349092110153699,,spotter,spottende,bespottelser,fyr,spottord,spotter,blasphemy
βλασφημία,112,unigram,feminine,accusative,singular,gudsbespottelsen,1.529347451334945,,gudsbespottelsen,gudsbespottelse,gudsbespottelsen,spottet,gudsbespottelsen,gudsbespottelsen,blasphemy
βλασφημία,234,unigram,feminine,nominative,plural,spott,10.830308147337437,,spott,,,,spott,spott,blasphemy
βλασφημία,96,unigram,feminine,nominative,singular,spott,7.999387324595798,,spott,bespottelse,bespottelse,,spott,spott,blasphemy
πλοῖον,123,unigram,neuter,accusative,plural,båtene,30.871743511746942,,båtene,båtene,båtene,båtene,båtene,båtene,boat
πλοῖον,348,unigram,neuter,accusative,singular,båten,294.0167415478931,,båten,båten,båten,båten,båten,båten,boat
πλοῖον,272,unigram,neuter,nominative,plural,båter,1.2973529672481656,,båter,båter,båter,,,,boat
πλοῖον,257,unigram,neuter,nominative,singular,båten,5.431989373810926,,land,båten,båten,båten,båten,land,boat
σῶμα,244,unigram,neuter,nominative,plural,,,,kroppene,,,,legemene,døde,body
σῶμα,68,unigram,neuter,nominative,singular,,,,kroppen,kroppen,legeme,kroppen,legeme,legeme,body
κλῆμα,64,unigram,neuter,nominative,plural,vintreet,1.7091517948653616,,vintreet,vintreet,,vinstokken,vintreet,vintreet,branch
κλῆμα,171,unigram,neuter,nominative,singular,,,,,grenen,,gren,,,branch
ἄρτος,352,unigram,masculine,accusative,plural,brød,39.98579571232688,,brød,brød,brød,brød,brød,brød,bread
ἄρτος,381,unigram,masculine,accusative,singular,brød,79.39305139463382,,brød,brød,brød,brød,brød,brød,bread
ἄρτος,180,unigram,masculine,nominative,plural,brød,64.22245612262523,,brød,brød,brød,brød,brød,brød,bread
ἄρτος,44,unigram,masculine,nominative,singular,brød,12.406341714001666,,brød,brød,brød,brødet,,brød,bread
ἀδελφός,338,unigram,masculine,accusative,plural,brødre,233.08695673337587,,brødre,brødre,brødre,søsken,brødre,brødre,brother
ἀδελφός,139,unigram,masculine,accusative,singular,bror,177.83853775923302,,bror,bror,bror,Jakob,bror,bror,brother
ἀδελφός,129,unigram,masculine,nominative,plural,brødre,8.86714489804955,,søsken,brødre,brødre,brødrene,brødre,brødre,brother
ἀδελφός,264,unigram,masculine,nominative,singular,bror,21799.62491652781,,bror,bror,bror,bror,bror,bror,brother
στῆθος,177,unigram,neuter,accusative,plural,brystet,1.7151306800543906,,,brystet,bryst,,,brystet,"chest, breast"
στῆθος,321,unigram,neuter,accusative,singular,bryst,9.030213737704818,,hvem,bryst,bryst,mot,bryst,mot,"chest, breast"
ἀρχιερεύς,277,unigram,masculine,accusative,plural,,,,overprestene,øversteprestene,yppersteprestene,øversteprestene,yppersteprestene,overprestene,chief priest
ἀρχιερεύς,69,unigram,masculine,accusative,singular,øverstepresten,7.095748176206277,,øverstepresten,øverstepresten,ypperstepresten,øverstepresten,ypperstepresten,øverstepresten,chief priest
ἀρχιερεύς,138,unigram,masculine,nominative,plural,øversteprestene,7.9558856382286285,øversteprestene,overprestene,øversteprestene,yppersteprestene,øversteprestene,yppersteprestene,overprestene,chief priest
ἀρχιερεύς,281,unigram,masculine,nominative,singular,øverstepresten,5.803911029676606,,øverstepresten,øverstepresten,ypperstepresten,øverstepresten,ypperstepresten,øverstepresten,chief priest
παῖς,56,unigram,masculine,accusative,singular,slet,1.4146086747478834,,slet,slet,gutten,dyttet,,slet,child
τέκνον,373,unigram,neuter,accusative,plural,barn,356.85209408007773,,barn,barn,barn,barn,barn,barn,child
τέκνον,203,unigram,neuter,accusative,singular,,,,volde,bror,bror,Barn,volde,,child
τέκνον,20,unigram,neuter,nominative,plural,volde,1.2809754099790178,,volde,Barn,volde,Barn,volde,,child
τέκνον,217,unigram,neuter,nominative,singular,Barn,2.242966443356482,,Barnet,Sønn,Barn,tilgitt,Barn,dine,child
παιδίον,18,unigram,neuter,accusative,plural,små,2.38840001500898,,små,små,små,barna,små,små,child
παιδίον,105,unigram,neuter,accusative,singular,barnet,43.95296070393412,,barnet,Barnet,barnet,barnet,barnet,barnet,child
παιδίον,195,unigram,neuter,nominative,plural,,,,barna,,,små,,barn,child
παιδίον,46,unigram,neuter,nominative,singular,barnet,12.83805864742299,,barnet,Barnet,barnet,barnet,barnet,barnet,child
πόλις,207,unigram,feminine,accusative,plural,byene,37.316805884124726,byene,byene,byene,byer,byene,byene,byene,city
πόλις,73,unigram,feminine,accusative,singular,by,2.1426765201451525,,byen,by,by,byen,by,by,city
πύλη,233,unigram,feminine,nominative,singular,,,,porten,port,port,porten,porten,port,city gate
χιτών,134,unigram,masculine,accusative,plural,kjortler,8.196896198553832,,kjortler,kjortler,kjortler,vandringsstav,kapper,kjortler,"clothing, undergarments"
χιτών,34,unigram,masculine,accusative,singular,,,,skjorten,kjortelen,kjortelen,,kappen,skjorten,"clothing, undergarments"
ἱμάτιον,151,unigram,neuter,accusative,plural,kappene,2.068402703454984,,kappene,klærne,klær,kappene,klærne,kappene,coat
ἱμάτιον,150,unigram,neuter,accusative,singular,kappen,43.661756277935616,,kappen,kappen,kappe,,kappen,kappen,coat
ἐντολή,92,unigram,feminine,accusative,plural,budene,2.071084042388229,få,budene,budene,bud,,bud,budene,commandment
ἐντολή,90,unigram,feminine,accusative,singular,bud,27.32512074118385,,bud,bud,bud,egne,bud,bud,commandment
συνέδριον,357,unigram,neuter,accusative,plural,domstolene,2.5777583179499297,,domstolene,domstolene,domstolene,domstolene,domstolene,domstolene,council
συνέδριον,60,unigram,neuter,accusative,singular,rådet,1.174321348884588,,Rådet,rådsmøtet,rådet,rådet,,overprestene,council
χώρα,87,unigram,feminine,accusative,plural,,,,,markene,,,,høst,"country, countryside"
χώρα,326,unigram,feminine,accusative,singular,,,,Gerasener-landet,dro,bygd,området,dro,Gerasener-landet,"country, countryside"
ὄχλος,65,unigram,masculine,accusative,plural,,,,folkemengden,folkemengden,folket,folket,folket,folkemengden,crowd
ὄχλος,12,unigram,masculine,accusative,singular,folket,133.84916550287815,da,folket,folkemengden,folket,folket,folket,folket,crowd
ὄχλος,116,unigram,masculine,nominative,plural,fulgte,1.524931778554107,dette,fulgte,folkemengden,folket,fulgte,folk,fulgte,crowd
ὄχλος,316,unigram,masculine,nominative,singular,folket,2.738235983590797,,folkemengde,folkemengde,folket,folket,folket,stor,crowd
θυγάτηρ,132,unigram,feminine,nominative,plural,døtre,1.0961506491767987,,,,,døtre,,,daughter
θυγάτηρ,351,unigram,feminine,nominative,singular,datter,1264.9519785663897,,datter,datter,datter,datter,datter,datter,daughter
ἡμέρα,85,unigram,feminine,accusative,plural,dager,17501.714888118084,,dager,dager,dager,dager,dager,dager,day
ἡμέρα,97,unigram,feminine,accusative,singular,dag,20.440039980141126,,dag,dagen,dag,dag,dag,dag,day
ἡμέρα,2,unigram,feminine,nominative,plural,dager,2127.21117429827,dager,dager,dager,dager,tiden,dager,dager,day
ἡμέρα,75,unigram,feminine,nominative,singular,dagen,4.452178624205306,,dagen,dagen,dag,neste,dagen,dagen,day
ὀφειλέτης,284,unigram,masculine,nominative,plural,,,,Siloa-tårnet,,tårnet,,tårnet,Siloa-tårnet,debtor
ὀφειλέτης,142,unigram,masculine,nominative,singular,oppgjøret,1.7680115412499255,,oppgjøret,,opgjøret,,oppgjøret,oppgjøret,debtor
δαιμόνιον,35,unigram,neuter,accusative,plural,onde,4.931483906096466,,onde,demoner,ånder,onde,onde,ånder,demon
δαιμόνιον,367,unigram,neuter,accusative,singular,besatt,17.741282521001946,,ond,demon,besatt,besatt,besatt,besatt,demon
δαιμόνιον,219,unigram,neuter,nominative,plural,onde,3.23243077582145,,onde,demonene,ånder,onde,onde,onde,demon
δαιμόνιον,194,unigram,neuter,nominative,singular,ånden,2.2959217908480603,,ånden,demonen,ånd,ånden,ånden,ånd,demon
δηνάριον,343,unigram,neuter,accusative,plural,denarer,8.477694219886935,,denarer,denarer,penninger,beløp,denarer,denarer,denarius (about a day's wages)
δηνάριον,182,unigram,neuter,accusative,singular,denar,63.156224788530984,,denar,denar,penning,mynt,denar,denar,denarius (about a day's wages)
μαθητής,200,unigram,masculine,accusative,plural,disiplene,1813.3196524576797,disiplene,disiplene,disiplene,disipler,disiplene,disiplene,disiplene,disciple
μαθητής,374,unigram,masculine,accusative,singular,disippelen,4.1740410887201715,,disippelen,disippelen,disippel,disippelen,disippelen,kjær,disciple
μαθητής,308,unigram,masculine,nominative,plural,disiplene,718.1402172884046,disiplene,disiplene,disiplene,disipler,disiplene,disiplene,disiplene,disciple
μαθητής,372,unigram,masculine,nominative,singular,disippelen,7.556975944591746,,disippelen,disippelen,disippel,disippelen,disippelen,disippelen,disciple
νόσος,3,unigram,feminine,accusative,plural,sykdommer,46.54265569815426,,sykdommer,sykdommer,sykdommer,sykdommer,sykdommer,sykdommer,disease
νόσος,84,unigram,feminine,accusative,singular,,,,sykdom,skrøpeligheter,skrøpelighet,,plager,sykdommer,disease
περιστερά,115,unigram,feminine,accusative,plural,solgte,6.205848381172775,,solgte,duer,solgte,duer,solgte,solgte,dove
περιστερά,62,unigram,feminine,accusative,singular,due,49.14068055117911,,due,due,due,due,due,due,dove
οὖς,170,unigram,neuter,accusative,plural,ører,10.36826834892633,,ører,ører,ører,,ører,ører,ear
οὖς,315,unigram,neuter,accusative,singular,hustakene,1.3364209328127588,,,hustakene,takene,,øret,hustakene,ear
σεισμός,226,unigram,masculine,nominative,plural,jordskjelv,2.021624467425022,,jordskjelv,jordskjelv,jordskjelv,,jordskjelv,jordskjelv,"earthquakes, storm"
σεισμός,71,unigram,masculine,nominative,singular,,,,,,,jordskjelv,,kraftig,"earthquakes, storm"
τέλος,305,unigram,neuter,accusative,singular,enden,6.608604904430209,,enden,enden,enden,slutten,enden,helt,end
αἰών,269,unigram,masculine,accusative,plural,kongedømme,2.3296150701015215,,kongedømme,herske,,kongsmakt,kongedømme,kongedømme,eternity
αἰών,339,unigram,masculine,accusative,singular,evighet,8.832076550008486,,evighet,evighet,evighet,aldri,evighet,evighet,eternity
ὀφθαλμός,27,unigram,masculine,accusative,plural,øynene,19.88393067758825,,øynene,øynene,øine,øynene,øyne,øynene,eye
ὀφθαλμός,13,unigram,masculine,accusative,singular,tann,1.2131231854102649,,,,,tann,,,eye
ὀφθαλμός,72,unigram,masculine,nominative,plural,øynene,15.16079431603992,,øynene,øynene,øine,øynene,øynene,øynene,eye
ὀφθαλμός,336,unigram,masculine,nominative,singular,øye,2.4967194850892334,,øyet,øye,øie,øye,øye,øyet,eye
πρόσωπον,141,unigram,neuter,accusative,plural,ansiktet,3.6152118536128177,,,ansiktet,ansikt,,ansiktet,,face
πρόσωπον,214,unigram,neuter,accusative,singular,ansiktet,6.010967164951385,,ansiktet,ansiktet,ansikt,ansiktet,ansikt,ansiktet,face
λιμός,8,unigram,feminine,nominative,plural,,,,hungersnød,jordskjelv,hunger,sultekatastrofer,jordskjelv,hungersnød,famine
λιμός,107,unigram,feminine,nominative,singular,sultekatastrofe,1.2125655932085435,,,,,sultekatastrofe,,,famine
λιμός,155,unigram,masculine,nominative,singular,hungersnød,1.096071996175396,,hungersnød,,,,,,famine
γεωργός,283,unigram,masculine,nominative,plural,vingårdsmennene,2.346063357812565,,,vingårdsarbeiderne,vingårdsmennene,forpakterne,vingårdsmennene,,"farmer, tenant"
γεωργός,57,unigram,masculine,nominative,singular,vintre,1.201459869218647,,,vingårdsmannen,vintre,vinstokken,vintre,,"farmer, tenant"
πατήρ,220,unigram,masculine,accusative,plural,fedre,3.3590970898749624,,fedre,fedre,fedre,,fedre,,father
πατήρ,342,unigram,masculine,accusative,singular,,,,Far,Far,far,Far,far,far,father
πατήρ,350,unigram,masculine,nominative,plural,fedre,26.072590563097663,,fedrene,fedre,fedre,forfedrene,fedre,fedrene,father
πατήρ,208,unigram,masculine,nominative,singular,Far,61.30270353796229,Far,Far,Far,Fader,Far,Faderen,Faderen,father
σύνδουλος,164,unigram,masculine,accusative,plural,drukkenbolter,1.6450953331984706,,drukkenbolter,,,,,drukkenbolter,"fellow-servant, colleague"
σύνδουλος,354,unigram,masculine,nominative,plural,,,,,medtjenerne,medtjenere,opprørte,,skjedde,"fellow-servant, colleague"
σύνδουλος,130,unigram,masculine,nominative,singular,tålmodig,1.4276247770065342,,tålmodig,medtjeneren,medtjener,Arbeidskameraten,,tålmodig,"fellow-servant, colleague"
ἀγρός,366,unigram,masculine,accusative,plural,åkrer,1.2354247168864365,,åkrer,,akrer,gårder,åkrer,åkrer,field
ἀγρός,45,unigram,masculine,accusative,singular,åker,19.360615262918998,,åker,åker,aker,åkeren,åker,åker,field
δάκτυλος,262,unigram,masculine,accusative,plural,fingrene,1.2014437861880067,,,fingrene,fingrer,,,fingrene,finger
δάκτυλος,199,unigram,masculine,accusative,singular,fingeren,4.366569355757231,,fingeren,fingeren,finger,,fingeren,fingeren,finger
ἰχθύς,174,unigram,masculine,accusative,plural,fiskene,2.059972669991317,,fiskene,fiskene,fisker,fiskene,fiskene,fiskene,fish
ἰχθύς,213,unigram,masculine,accusative,singular,orm,1.3779145060990723,,orm,slange,fisk,,orm,orm,fish
δίκτυον,124,unigram,neuter,accusative,plural,,,,garn,garnene,garn,fiskeutstyret,garna,garnene,fishing net
δίκτυον,223,unigram,neuter,accusative,singular,garnet,15.724026586819562,,garnet,garnet,garnet,noten,garnet,noten,fishing net
τροφή,274,unigram,feminine,accusative,plural,kjøpe,1.2946897495220189,,kjøpe,,kjøpe,gått,kjøpe,kjøpe,food
τροφή,361,unigram,feminine,accusative,singular,,,,kloke,styre,tjenestefolk,klok,tjenestefolkene,betrodd,food
πούς,265,unigram,masculine,accusative,plural,,,,føttene,føttene,føtter,føttene,føtter,føtter,foot
πούς,128,unigram,masculine,accusative,singular,fot,1.172485844103776,,,,fot,,fot,,foot
καρπός,205,unigram,masculine,accusative,plural,frukt,2.0550691626326207,,frukt,frukt,frukter,frukt,frukt,frukt,"fruit, crop, harvest"
καρπός,260,unigram,masculine,accusative,singular,frukt,339.0961764206181,,frukt,frukt,frukt,frukt,frukt,frukt,"fruit, crop, harvest"
πλήρωμα,300,unigram,neuter,accusative,plural,kurver,1.7756525936336958,,brødstykker,kurver,stykker,kurver,kurver,kurver,fullness
γενεά,301,unigram,feminine,accusative,plural,slekt,1.2307366138476656,,,frykter,slekt,tilber,slekt,,generation
γενεά,261,unigram,feminine,accusative,singular,,,,slekten,slekten,slekt,slekten,slekt,slekt,generation
γενεά,169,unigram,feminine,nominative,singular,slekt,63.062118429027116,,slekt,slekt,slekt,slekten,slekt,slekt,generation
δῶρον,341,unigram,neuter,accusative,plural,gaver,20.214707526501307,,gaver,gaver,gaver,offerkisten,,gaver,gift
δῶρον,184,unigram,neuter,accusative,singular,alteret,3.4042528645470926,,offergaven,alteret,alteret,alteret,alteret,alteret,gift
ἡγεμών,192,unigram,masculine,accusative,plural,landshøvdinger,1.1226625697787749,,,lands-høvdinger,landshøvdinger,,landshøvdinger,,"governor, ruler"
ἡγεμών,15,unigram,masculine,accusative,singular,landshøvdingen,2.005143129682673,,landshøvdingen,landshøvdingen,landshøvdingen,forbauselse,landshøvdingen,landshøvdingen,"governor, ruler"
σταφυλή,376,unigram,feminine,accusative,singular,tornebusker,1.1613026128296644,,,,,tornebusker,,,grapes
ἀσπασμός,353,unigram,masculine,accusative,plural,torget,1.3973790514843083,,torget,hilsener,torvene,hilst,torgene,torget,greeting
ἀσπασμός,193,unigram,masculine,accusative,singular,hilsen,1.2014437861880067,,,,,,hilsen,hilsen,greeting
ὁδηγός,6,unigram,masculine,nominative,plural,leder,1.0961112485594913,,,,,,,leder,guide
ὁδηγός,4,unigram,masculine,nominative,singular,veiledere,20.94791151649697,,veiledere,veiledere,veiledere,blinde,veiledere,veiledere,guide
θρίξ,106,unigram,feminine,nominative,plural,,,,hårstrå,hårene,,,hodet,,hair
θρίξ,242,unigram,feminine,nominative,singular,hår,2.617956148862613,,hårstrå,hår,hår,,hår,hår,hair
χείρ,345,unigram,feminine,accusative,plural,,,,hendene,hendene,hender,hendene,hender,hender,hand
χείρ,247,unigram,feminine,accusative,singular,hånden,161.24111896134457,,hånden,hånden,hånd,hånden,hånden,hånden,hand
κεφαλή,161,unigram,feminine,accusative,plural,hodet,2.1801261369835796,,hodet,,hodet,ristet,ristet,hodet,head
κεφαλή,231,unigram,feminine,accusative,singular,,,,hodet,hodet,hode,hodet,hode,hode,head
στάχυς,232,unigram,masculine,accusative,plural,aks,2.24107341354112,,aks,kornåkrene,aks,aks,kornåkrene,kornåker,head of grain
καρδία,38,unigram,feminine,accusative,plural,,,,rettferdige,,hjerter,,,ha,heart
καρδία,318,unigram,feminine,accusative,singular,hjertet,8.577780331571006,,hjertet,hjertet,hjerte,spise,hjertet,forherdet,heart
καρδία,215,unigram,feminine,nominative,singular,hjerte,29.249078949092517,,hjertet,hjerte,hjerte,,hjerte,,heart
οὐρανός,9,unigram,masculine,accusative,plural,due,2.226271095738651,,due,,due,,due,due,"heaven, sky"
οὐρανός,296,unigram,masculine,accusative,singular,himmelen,134.0449181455027,,himmelen,Himmelen,himmelen,himmelen,himmelen,himmelen,"heaven, sky"
οὐρανός,380,unigram,masculine,nominative,plural,due,2.9926936537003472,,due,due,due,,due,due,"heaven, sky"
οὐρανός,221,unigram,masculine,nominative,singular,forgå,1.5408560259274275,,forgå,forgå,forgå,ord,forgå,forgå,"heaven, sky"
ὥρα,325,unigram,feminine,nominative,plural,timer,1.0963247953316897,,,timer,,,,,hour
ὥρα,30,unigram,feminine,nominative,singular,time,80.96544709341276,,time,time,time,bestemt,time,time,hour
οἰκία,176,unigram,feminine,accusative,plural,hus,2.410501745335792,,få,hus,hus,,hus,hus,house
οἰκία,358,unigram,feminine,accusative,singular,huset,6.981697804728155,,huset,huset,hus,huset,huset,huset,house
οἶκος,313,unigram,masculine,accusative,plural,avsatt,2.544111373962039,,avsatt,,avsatt,idé,avsatt,avsatt,"house, home"
οἶκος,26,unigram,masculine,accusative,singular,,,,hjem,hus,hus,hjem,hus,hjem,"house, home"
κριτής,340,unigram,masculine,nominative,plural,dommere,1.4274562176354377,,Beelsebul,dommere,dommere,anklagene,sønner,,judge
κριτής,186,unigram,masculine,nominative,singular,dommeren,8.42895999675739,,dommeren,dommeren,,,dommeren,dommeren,judge
κλείς,94,unigram,feminine,accusative,plural,nøklene,1.9538696088423846,,nøkler,nøklene,nøklene,nøklene,nøklene,nøkler,key
βασιλεύς,122,unigram,masculine,accusative,plural,konger,1.0596583563413178,,,,,konger,,,king
βασιλεύς,66,unigram,masculine,accusative,singular,konge,70.63551326014324,,konge,Konge,konge,konge,konge,konge,king
βασιλεία,89,unigram,feminine,accusative,plural,riker,1.7726869378163588,,høyt,riker,riker,fjell,riker,høyt,kingdom
βασιλεία,181,unigram,feminine,accusative,singular,rike,56.22398695996461,,rike,rike,rike,eget,rike,rike,kingdom
κόπος,224,unigram,masculine,accusative,plural,,,,plager,gjerning,fortred,kritiserer,gjerning,plager,"labour, work, trouble, difficulty"
κόπος,99,unigram,masculine,accusative,singular,,,,,,,strevet,høste,,"labour, work, trouble, difficulty"
λύχνος,282,unigram,masculine,nominative,plural,Spenn,1.2014437861880067,,Spenn,,,klar,,Spenn,lamp
λύχνος,258,unigram,masculine,nominative,singular,,,,lampe,lys,lyst,lampe,opplyst,lys,lamp
κλῆρος,113,unigram,masculine,accusative,plural,gjør.,1.3168217419302024,,gjør.,gjør.,lodd,,lodd,gjør.,"lots (casting of lots), inheritance"
κλῆρος,1,unigram,masculine,accusative,singular,,,,lodd,lodd,delte,delte,delte,lodd,"lots (casting of lots), inheritance"
ἄνθρωπος,329,unigram,masculine,accusative,plural,menneskene,1.3168548768006796,,menneskene,menneskene,mennesker,Ja,menneskene,ligner,man
ἄνθρωπος,286,unigram,masculine,accusative,singular,mennesket,1.833588882816569,,mennesket,menneske,menneske,innfor,mennesket,mennesket,man
ἄνθρωπος,135,unigram,masculine,nominative,plural,menneskene,34.83037533953621,,folk,menneskene,menneskene,,menneskene,folk,man
ἄνθρωπος,198,unigram,masculine,nominative,singular,mann,18.31830111579447,,mann,mann,mann,mann,mann,mann,man
ἀνήρ,275,unigram,masculine,accusative,plural,menn,3.207284942607174,,,søvn,menn,,tynget,menn,"man, husband"
ἀνήρ,279,unigram,masculine,accusative,singular,mann,103.34015251737176,,mann,mann,mann,mann,mann,mann,"man, husband"
ἀνήρ,167,unigram,masculine,nominative,plural,menn,32.393851934374055,,menn,menn,menn,menn,menn,menn,"man, husband"
ἀνήρ,267,unigram,masculine,nominative,singular,mann,276.9645253674073,,mann,mann,mann,mann,mann,mann,"man, husband"
μνᾶ,332,unigram,feminine,accusative,plural,pund,4.084077788020288,,pund,pund,pund,,pund,pund,mina (about 100 days' wages)
μνᾶ,16,unigram,feminine,accusative,singular,pundet,3.003848105651346,,pundet,pundet,pundet,tidoblet,pundet,pundet,mina (about 100 days' wages)
πρωτοκαθεδρία,120,unigram,feminine,accusative,plural,,,,,plassene,gjestebudene,gudstjenestene,,,"most important seat, seat of honour"
πρωτοκαθεδρία,40,unigram,feminine,accusative,singular,fremst,1.2848111357181486,,fremst,plassene,,gudstjenestene,hilse,fremst,"most important seat, seat of honour"
μήτηρ,111,unigram,feminine,accusative,plural,mødre,1.096329813773948,,,,,mødre,,,mother
μήτηρ,309,unigram,feminine,accusative,singular,mor,27.325648269719178,drepe,mor,mor,mor,foreldrene,mor,mor,mother
ὄρος,241,unigram,neuter,accusative,plural,fjellene,1.5749260961922413,,fjellene,fjellene,fjells,,flykte,fjellene,mountain
ὄρος,294,unigram,neuter,accusative,singular,fjellet,1.924404880437192,opp,fjellet,fjellet,,Oljeberget,fjellet,fjellet,mountain
μύρον,100,unigram,neuter,accusative,plural,,,,salver,,,urter,,,myrrh
ὄνομα,98,unigram,neuter,accusative,plural,tordensønnene,1.3278970155338121,,,,,tordensønnene,,,name
ὄνομα,39,unigram,neuter,accusative,singular,navn,4.775178584270309,,navn,navn,navn,fordi,navn,navn,name
ὄνομα,118,unigram,neuter,nominative,plural,navnene,7.999368283544527,,navnene,,navn,navnene,,navnene,name
ὄνομα,280,unigram,neuter,nominative,singular,navn,40.379917691438635,,navnet,navn,navn,het,navn,navn,name
ἔθνος,256,unigram,neuter,accusative,plural,folkeslag,42.5465275127412,,folkeslag,folkeslag,folkeslag,folk,folkeslag,folkeslag,nation
ἔθνος,216,unigram,neuter,accusative,singular,vårt,1.3436844755804536,,vårt,folkeslag,folk,vårt,folk,vårt,nation
ἔθνος,335,unigram,neuter,nominative,plural,hedningene,2.278834416924966,,hedningene,folkeslagene,hedningene,jager,hedningene,opptatt,nation
ἔθνος,31,unigram,neuter,nominative,singular,Folk,1.2704665754822733,,Folk,folkeslag,reise,Folk,folk,Folk,nation
νύξ,210,unigram,feminine,accusative,plural,netter,28.755615284472047,,netter,netter,netter,,netter,netter,night
νύξ,273,unigram,feminine,accusative,singular,natt,10.705610372534764,,natt,,natt,våkner,natt,natt,night
ὅρκος,67,unigram,masculine,accusative,plural,sverget,1.6672667276771531,,sverget,grunn,kongen,påhør,eder,sverget,oath
ὅρκος,293,unigram,masculine,accusative,singular,ed,1.5844716600606261,,løftetil,ed,svor,løfte,ed,,oath
βοῦς,172,unigram,masculine,accusative,plural,templet,1.4373787563771165,,,tempelet,templet,tempelplassen,templet,,ox
παραβολή,289,unigram,feminine,accusative,plural,lignelsene,38.10245808601177,,lignelsene,lignelsene,lignelsene,bildene,lignelsene,lignelsene,parable
παραβολή,248,unigram,feminine,accusative,singular,lignelse,9.273785312570661,store,lignelse,lignelsen,lignelse,bilde,lignelse,lignelse,parable
μέρος,379,unigram,neuter,accusative,plural,,,ved,,dra,landet,distriktet,bygdene,traktene,part
μέρος,59,unigram,neuter,accusative,singular,del,15.55874137751363,,del,del,del,dele,del,skjebne,part
μαργαρίτης,250,unigram,masculine,accusative,plural,perler,31.995924949379347,,perler,,perler,perler,perler,perler,pearls
