lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_526_translation,version_541_translation,version_527_translation,version_546_translation,version_524_translation,version_544_translation,version_534_translation,version_525_translation,version_547_translation,version_545_translation,version_539_translation,version_533_translation,version_530_translation,version_543_translation,version_536_translation,version_542_translation,version_528_translation,version_529_translation,version_537_translation,version_532_translation,version_535_translation,version_540_translation,version_538_translation,version_531_translation,english_translation
τέκνον,221,unigram,neuter,nominative,singular,Hijo,4.4246423225075135,Hijo,dijo,Hijo,perdono,mío,Hijo,quedan,,perdono,Hijo,―Hijo,Hijo,Hijo,—Hijo,—Hijo,paralítico,—Hijo,Hijo,—Hijo,mío,Hijo,tus,paralítico,mío,child
παιδίον,17,unigram,neuter,accusative,plural,niños,95.42124000428248,niños,niños,niños,niños,niños,niños,niños,,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,child
παιδίον,103,unigram,neuter,accusative,singular,niño,396903750731651.4,niño,niño,niño,niño,niño,niño,niño,,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,child
παιδίον,198,unigram,neuter,nominative,plural,niños,627255.4054212057,niños,niños,niños,niños,niños,niños,niños,,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,niños,child
παιδίον,47,unigram,neuter,nominative,singular,niño,321522139685.3506,niño,niño,niño,niño,niño,niño,niño,,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,niño,child
πόλις,210,unigram,feminine,accusative,plural,ciudades,14731.465711155139,ciudades,ciudades,ciudades,pueblos,pueblos,ciudades,pueblos,,pueblos,ciudades,ciudades,ciudades,ciudades,ciudades,pueblos,ciudades,ciudades,ciudades,pueblos,pueblos,ciudades,ciudades,ciudades,pueblos,city
πόλις,73,unigram,feminine,accusative,singular,ciudad,605276404296.7643,ciudad,ciudad,ciudad,pueblo,pueblo,ciudad,ciudad,,pueblo,ciudad,ciudad,ciudad,ciudad,ciudad,pueblo,pueblo,ciudad,ciudad,ciudad,pueblo,ciudad,ciudad,pueblo,pueblo,city
πύλη,307,unigram,feminine,nominative,plural,prevalecerán,1.7338487802945803,prevalecerán,,prevalecerán,,,,,,,prevalecerán,,edificaré,,,,,dominarán,prevalecerán,,,prevalecerán,prevalecerán,,,city gate
πύλη,238,unigram,feminine,nominative,singular,estrecha,14.142656333083222,estrecha,angosta,estrecha,andar,llevan,estrecha,estrecha,,andar,estrecha,,estrecha,estrecha,estrecha,,conduce,angosta,estrecha,estrecha,llevan,senda,senda,conducen,llevan,city gate
χιτών,133,unigram,masculine,accusative,plural,túnicas,19.99504385329597,dos,muda,túnicas,lleven,repuesto,túnicas,trajes,,ropa,dos,ropa,bastón,ropas,túnicas,ropa,mudas,túnicas,dos,trajes,repuesto,túnicas,túnicas,mudas,repuesto,"clothing, undergarments"
χιτών,33,unigram,masculine,accusative,singular,túnica,71.98581749812911,capa,camisa,túnica,,,túnica,túnica,,,capa,,camisa,capa,túnica,,camisa,túnica,capa,túnica,,túnica,túnica,camisa,,"clothing, undergarments"
ἱμάτιον,150,unigram,neuter,accusative,plural,mantos,3.4160698490185304,vestidos,prendas,vestidos,mantos,capas,vestidos,mantos,,pusieron,vestidos,,ropa,veſtidos,mantos,mantos,mantos,vestidos,vestidos,mantos,capas,mantos,mantos,mantos,capas,coat
ἱμάτιον,149,unigram,neuter,accusative,singular,capa,12076.304386868775,capa,abrigo,capa,manto,capa,capa,manto,,manto,capa,capa,abrigo,capa,manto,manto,capa,capa,capa,manto,capa,,,capa,capa,coat
ἐντολή,93,unigram,feminine,accusative,plural,mandamientos,8343410500.83905,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,mandamientos,commandment
ἐντολή,91,unigram,feminine,accusative,singular,mandamiento,9153631.638913766,mandamiento,mandamiento,mandamiento,mandamiento,mandato,mandamiento,tradiciones,,mandamiento,mandamiento,propia,mandato,mandamiento,mandamiento,mandamiento,mandamiento,mandamiento,mandamiento,tradiciones,mandato,mandamiento,mandamiento,mandamiento,mandato,commandment
συνέδριον,366,unigram,neuter,accusative,plural,tribunales,2.095706444544533,concilios,tribunales,concilios,,golpearán,tribunales,entregarán,,,concilios,sinagogas,juzgados,entregarán,entregarán,sinagogas,tribunales,concilios,concilios,entregarán,golpearán,tribunales,tribunales,tribunales,golpearán,council
συνέδριον,60,unigram,neuter,accusative,singular,concilio,11.755161343585616,concilio,Concilio,concilio,,,principales,Supremo,,reunieron,concilio,reunieron,sacerdotes,concilio,Sanedrín,Consejo,jefes,Concilio,concilio,Supremo,,concilio,principales,jefes,,council
χώρα,86,unigram,feminine,accusative,plural,maduros,1.201492221831087,,despierten,,,,,maduros,,,,,,,,observen,,,Alzad,maduros,,,,,,"country, countryside"
χώρα,334,unigram,feminine,accusative,singular,región,33.0557640315223,provincia,región,gadarenos,país,otro,,región,,país,provincia,país,región,prouincia,región,país,región,gadarenos,provincia,región,otro,país,país,región,otro,"country, countryside"
ὄχλος,65,unigram,masculine,accusative,plural,gente,375.3990234385341,gentes,multitudes,multitud,gente,gente,gente,gente,,gente,gentes,gente,multitudes,compañas,multitudes,subió,multitud,multitud,multitud,gente,gente,multitudes,multitudes,gente,gente,crowd
ὄχλος,11,unigram,masculine,accusative,singular,multitud,6854209.083897395,multitud,multitud,multitud,gente,gente,multitud,gente,,gente,multitud,multitud,multitud,compaña,multitud,multitud,multitud,multitud,multitud,gente,gente,multitud,multitud,gente,gente,crowd
ὄχλος,114,unigram,masculine,nominative,plural,gente,483550.9481380013,gentes,multitudes,gente,gente,gente,gente,gente,,gente,gentes,gente,multitudes,compañas,multitudes,gente,multitudes,gente,multitud,gente,gente,multitudes,multitudes,gente,gente,crowd
ὄχλος,324,unigram,masculine,nominative,singular,gente,12037.909844280503,gente,multitud,gente,gente,gente,multitud,gente,,gente,gente,gente,multitud,compaña,multitud,multitud,multitud,gente,multitud,gente,gente,multitud,multitud,gente,gente,crowd
θυγάτηρ,131,unigram,feminine,nominative,plural,¡Mujeres,1.0961506491767987,,,,,,,,,¡Mujeres,,,,,,,,,,,,,,,,daughter
θυγάτηρ,360,unigram,feminine,nominative,singular,hija,294069334849279.1,hija,hija,hija,hija,hija,hija,hija,,hija,hija,hija,hija,hija,hija,hija,hija,hija,hija,hija,hija,hija,hija,hija,hija,daughter
ἡμέρα,84,unigram,feminine,accusative,plural,días,65561005785962.56,días,días,días,días,días,días,días,,días,días,días,días,dias,días,días,días,días,días,días,días,días,días,días,días,day
ἡμέρα,97,unigram,feminine,accusative,singular,día,4682345.874049706,día,días,día,días,día,día,días,,días,día,día,día,dia,día,día,día,día,día,días,día,día,día,día,día,day
ἡμέρα,2,unigram,feminine,nominative,plural,días,366964874480.0687,días,días,días,días,días,días,días,,días,días,días,días,dias,días,días,días,días,días,días,días,días,días,días,días,day
ἡμέρα,75,unigram,feminine,nominative,singular,día,2282022348.7601395,día,noche,día,viernes,día,día,día,,viernes,día,día,día,dia,día,día,día,día,día,día,día,día,día,día,día,day
ὀφειλέτης,290,unigram,masculine,nominative,plural,¿pensáis,1.3167216672078015,¿pensáis,,,,,,derrumbarse,,,¿pensáis,¿Eran,Siloé,,,¿Piensan,aplastados,,¿pensáis,derrumbarse,,mató,mató,aplastados,,debtor
ὀφειλέτης,140,unigram,masculine,nominative,singular,millones,2.599239856597302,,,presentado,millones,,millones,empezar,,millones,,,,,muchísimo,millones,miles,presentado,,empezar,,ajustarlas,,miles,,debtor
δαιμόνιον,34,unigram,neuter,accusative,plural,demonios,4728201547.44187,demonios,demonios,demonios,demonios,demonios,demonios,demonios,,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demon
δαιμόνιον,377,unigram,neuter,accusative,singular,demonio,3434917179.9851832,demonio,demonio,demonio,demonio,demonio,demonio,demonio,,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demon
δαιμόνιον,223,unigram,neuter,nominative,plural,demonios,990820048442.8414,demonios,demonios,demonios,demonios,demonios,demonios,demonios,,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demonios,demon
δαιμόνιον,196,unigram,neuter,nominative,singular,demonio,80950984.66552988,demonio,demonio,demonio,demonio,demonio,demonio,demonio,,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demonio,demon
δηνάριον,351,unigram,neuter,accusative,plural,denarios,175.94169536853053,denarios,plata,denarios,plata,debía,debía,denarios,,plata,denarios,monedas,denarios,dineros,debía,plata,plata,denarios,denarios,denarios,debía,denarios,denarios,plata,debía,denarius (about a day's wages)
δηνάριον,183,unigram,neuter,accusative,singular,denario,100.20655380297778,,romana,,usan,denario,moneda,denario,,usan,,,denario,moneda,moneda,moneda,moneda,denario,denario,denario,denario,denario,denario,moneda,denario,denarius (about a day's wages)
μαθητής,203,unigram,masculine,accusative,plural,discípulos,188309831.59976515,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,,discípulos,discípulos,discípulos,discípulos,Diſcipulos,discípulos,seguidores,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,disciple
μαθητής,383,unigram,masculine,accusative,singular,discípulo,5.308583440864245,,amaba,,discípulo,discípulo,discípulo,discípulo,,discípulo,,discípulo,discípulo,,,seguidor,amaba,amaba,,discípulo,discípulo,amaba,amaba,,discípulo,disciple
μαθητής,316,unigram,masculine,nominative,plural,discípulos,5.98845185276379e+16,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,,discípulos,discípulos,discípulos,discípulos,Diſcipulos,discípulos,seguidores,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,discípulos,disciple
μαθητής,381,unigram,masculine,nominative,singular,discípulo,4.621259814641987e+16,discípulo,discípulo,discípulo,discípulo,discípulo,discípulo,discípulo,,discípulo,discípulo,discípulo,discípulo,Discipulo,discípulo,seguidor,discípulo,discípulo,discípulo,discípulo,discípulo,discípulo,discípulo,discípulo,discípulo,disciple
νόσος,3,unigram,feminine,accusative,plural,enfermedades,52371.21665265058,enfermedades,,enfermedades,enfermedades,enfermedades,enfermedades,enfermedades,,enfermedades,enfermedades,enfermedades,enfermedades,,enfermedades,enfermedades,,enfermedades,enfermedades,enfermedades,enfermedades,enfermedades,enfermedades,,enfermedades,disease
νόσος,82,unigram,feminine,accusative,singular,,,enfermedad,dolencias,dolencia,,dolencias,dolencia,dolencias,,,enfermedad,dolencias,enfermedades,flaqueza,dolencia,sanando,dolencia,dolencia,flaqueza,dolencias,dolencias,dolencia,dolencia,dolor,dolencias,disease
περιστερά,113,unigram,feminine,accusative,plural,palomas,10.885927680221318,palomas,palomas,palomas,palomas,palomas,,,,palomas,palomas,palomas,palomas,palomas,palomas,,palomas,palomas,palomas,,palomas,palomas,palomas,palomas,palomas,dove
περιστερά,62,unigram,feminine,accusative,singular,paloma,8246.385010696704,paloma,paloma,paloma,paloma,paloma,paloma,paloma,,paloma,paloma,paloma,paloma,paloma,paloma,paloma,paloma,paloma,paloma,paloma,paloma,paloma,paloma,paloma,paloma,dove
οὖς,170,unigram,neuter,accusative,plural,oídos,3074.205635242932,oídos,oídos,oídos,oídos,oídos,oídos,entienda,,oídos,oídos,oídos,oídos,oyga,oídos,¡Oigan,oídos,oídos,oídos,entienda,oídos,oídos,oídos,oídos,oídos,ear
οὖς,323,unigram,neuter,accusative,singular,azoteas,44.734168347501246,terrados,oscuridad,azoteas,plena,azoteas,azoteas,terrazas,,plena,terrados,azoteas,azoteas,tejados,azoteas,azoteas,azoteas,azoteas,tinieblas,terrazas,azoteas,azoteas,azoteas,techos,azoteas,ear
σεισμός,230,unigram,masculine,nominative,plural,terremotos,4.52465918675826,,,,terremotos,,terremotos,,,terremotos,,terremotos,terremotos,,,terremotos,terremotos,,,,,terremotos,terremotos,,,"earthquakes, storm"
σεισμός,71,unigram,masculine,nominative,singular,gran,1.4483400803891409,gran,repente,,,fuerte,,pronto,,,gran,,repente,gran,,,,,,pronto,fuerte,gran,gran,,fuerte,"earthquakes, storm"
τέλος,37,unigram,neuter,accusative,plural,¿cobran,1.0961112485594913,,¿cobran,,,,,,,,,,,,,,,,,,,,,,,end
τέλος,313,unigram,neuter,accusative,singular,fin,4832.274520682181,fin,mantenga,fin,salvaré,fin,fin,fin,,salvaré,fin,fin,fin,fin,fin,mantenga,fin,fin,fin,fin,fin,fin,fin,fin,fin,end
αἰών,274,unigram,masculine,accusative,plural,reinará,10.267842115392268,reinará,,reinará,,,reinará,,,,reinará,reinará,reinará,,Reinará,,reinará,reinará,reinará,,,reinará,reinará,reinará,,eternity
