lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2160_translation,version_2161_translation,version_2162_translation,version_2163_translation,version_2164_translation,version_2165_translation,version_2166_translation,version_2167_translation,version_2168_translation,version_2169_translation,version_2170_translation,english_translation
τέκνον,16,unigram,neuter,nominative,plural,отец,1.750098133638286,отец,чада,отец,отец,отец,отец,Дети,дети,,отец,дети,child
τέκνον,200,unigram,neuter,nominative,singular,Сынок,2.4698048927665344,Сынок,чадо,мой,Сынок,Сынок,увидев,Сын,чадо,,Сынок,мое,child
παιδίον,14,unigram,neuter,accusative,plural,подобные,1.1495591536665317,подобные,детей,таких,подобные,подобные,запрещайте,дети,,,принадлежит,детей,child
παιδίον,94,unigram,neuter,accusative,singular,младенца,1.8252328672979887,младенца,отроча,Младенца,младенца,младенца,ребенка,ребёнка,Младенца,,ребенка,дитя,child
παιδίον,180,unigram,neuter,nominative,plural,дети,122.20300866046792,,дети,дети,,,дети,,дети,,дети,дети,child
παιδίον,41,unigram,neuter,nominative,singular,ребёнок,2.169272800385851,ребёнок,отроча,дитя,ребёнок,ребёнок,ребенок,,,,ребенок,дитя,child
πόλις,191,unigram,feminine,accusative,plural,города,36.71030344668002,города,грады,городам,города,города,города,города,городам,,города,города,city
πόλις,67,unigram,feminine,accusative,singular,город,771761.4619222363,город,град,город,город,город,город,город,город,,город,город,city
πύλη,214,unigram,feminine,nominative,singular,ворота,10.346327225669913,ворота,вводяй,ворота,ворота,ворота,ворота,дорога,ведущие,,,,city gate
χιτών,121,unigram,masculine,accusative,plural,запасной,2.91076319371284,запасной,жезла,одежды,запасной,запасной,запасной,одежду,одежды,,одежды,,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,верхнюю,2.9613177785968667,верхнюю,срачицу,одежду,верхнюю,верхнюю,верхнюю,одной,рубашку,,плащ,верхнюю,"clothing, undergarments"
ἱμάτιον,138,unigram,neuter,accusative,plural,одежду,1.9317305087140622,одежду,ризы,одежды,одежду,одежду,одежду,одежду,одежды,,одежду,одежды,coat
ἱμάτιον,137,unigram,neuter,accusative,singular,плащ,10.954375324281266,плащ,ризу,одежду,плащ,плащ,плащ,одежду,одежду,,плащ,одежду,coat
ἐντολή,85,unigram,feminine,accusative,plural,заповеди,877.2675385795294,повеления,заповеди,заповеди,повеления,повеления,заповеди,заповеди,заповеди,,заповеди,заповеди,commandment
ἐντολή,83,unigram,feminine,accusative,singular,заповедь,289.62664147977915,повеление,заповедь,заповедь,повеление,повеление,заповедь,заповедь,заповедь,,заповедь,заповедь,commandment
συνέδριον,328,unigram,neuter,accusative,plural,отдавать,1.7216959175323736,отдавать,соборищих,синагогах,отдавать,отдавать,отдавать,синагогах,судилища,,судить,судилища,council
συνέδριον,54,unigram,neuter,accusative,singular,священнослужители,1.7224010393896043,священнослужители,сонм,,священнослужители,священнослужители,,синедрион,первосвященники,,собрались,первосвященники,council
χώρα,298,unigram,feminine,accusative,singular,страну,154.5224285399327,Гадаринскую,страну,страну,Гадаринскую,Гадаринскую,страну,страну,страну,,,страну,"country, countryside"
ὄχλος,59,unigram,masculine,accusative,plural,народ,34.224634941300764,народ,народы,народ,народ,народ,народ,народу,народ,,народ,народ,crowd
ὄχλος,10,unigram,masculine,accusative,singular,толпа,2.0328159528063114,толпа,народа,народ,толпа,толпа,толпа,толпу,народа,,народ,народ,crowd
ὄχλος,103,unigram,masculine,nominative,plural,толпы,14.610067572731143,толпы,народи,толпы,толпы,толпы,толпы,народа,народ,,толпы,народ,crowd
ὄχλος,288,unigram,masculine,nominative,singular,толпа,394.1958825170097,толпа,народ,толпа,толпа,толпа,толпа,толпа,народ,,толпа,толпа,crowd
θυγάτηρ,119,unigram,feminine,nominative,plural,плачьте,1.1614773924719959,,,,,,,,,,плачьте,,daughter
θυγάτηρ,322,unigram,feminine,nominative,singular,дочь,8851.546959381865,дочь,дщи,дочь,дочь,дочь,дочь,дочь,дочь,,дочь,дочь,daughter
ἡμέρα,78,unigram,feminine,accusative,plural,дня,15.946278515518546,дня,дни,дня,дня,дня,дня,дня,дней,,дня,дней,day
ἡμέρα,89,unigram,feminine,accusative,singular,день,60634.72807374744,день,день,день,день,день,день,день,день,,день,день,day
ἡμέρα,2,unigram,feminine,nominative,plural,дни,113.90918044126622,время,дние,дни,время,время,дни,дни,дни,,дни,дни,day
ἡμέρα,69,unigram,feminine,nominative,singular,день,8547.256305651297,день,день,день,день,день,день,день,день,,День,день,day
ὀφειλέτης,128,unigram,masculine,nominative,singular,,,,,занялся,,,расчет,рассчитываться,,,,,debtor
δαιμόνιον,31,unigram,neuter,accusative,plural,бесов,1076.2253011347377,демонов,бесы,бесов,демонов,демонов,демонов,бесов,бесов,,бесов,бесов,demon
δαιμόνιον,338,unigram,neuter,accusative,singular,,,демон,беса,бес,демон,демон,демон,,бес,,бес,бес,demon
δαιμόνιον,202,unigram,neuter,nominative,plural,бесы,19.004247184667353,демоны,беси,бесы,демоны,демоны,демоны,бесы,бесы,,бесы,бесы,demon
δαιμόνιον,178,unigram,neuter,nominative,singular,бес,57.17684418748029,демон,бес,бес,демон,демон,демон,бес,бес,,бес,бес,demon
δηνάριον,314,unigram,neuter,accusative,plural,,,серебряных,должен,денариев,серебряных,серебряных,динариев,два,динариев,,денариев,динариев,denarius (about a day's wages)
δηνάριον,167,unigram,neuter,accusative,singular,динарий,4.989798536916515,серебряную,,,серебряную,серебряную,динарий,динарий,динарий,,денарий,динарий,denarius (about a day's wages)
μαθητής,184,unigram,masculine,accusative,plural,учеников,2.941492730116905,учеников,ученики,учеников,учеников,учеников,учеников,учеников,учеников,,учеников,ученикам,disciple
μαθητής,343,unigram,masculine,accusative,singular,,,ученика,любляше,особенно,ученика,ученика,ученика,любил,любил,,любил,любил,disciple
μαθητής,281,unigram,masculine,nominative,plural,ученики,445472.56640946143,ученики,ученицы,ученики,ученики,ученики,ученики,ученики,ученики,,ученики,ученики,disciple
μαθητής,341,unigram,masculine,nominative,singular,ученик,8097.6049757009405,ученик,ученик,ученик,ученик,ученик,ученик,ученик,ученик,,ученик,ученик,disciple
νόσος,3,unigram,feminine,accusative,plural,болезни,36.2131189710443,болезни,недуги,болезни,болезни,болезни,болезни,недуги,,,,болезни,disease
νόσος,77,unigram,feminine,accusative,singular,болезней,1.343076970195134,болезней,,болезни,болезней,болезней,,недуги,немощь,,,немощь,disease
περιστερά,102,unigram,feminine,accusative,plural,менял,8.85697281868096,менял,голуби,голубей,менял,менял,менял,менял,голубей,,менял,голубей,dove
περιστερά,56,unigram,feminine,accusative,singular,голубь,1.481517366998838,,голубя,голубю,,,,,Духа,,голубь,голубь,dove
οὖς,156,unigram,neuter,accusative,plural,уши,38.16110384077066,уши,ушы,уши,уши,уши,уши,уши,уши,,уши,уши,ear
οὖς,287,unigram,neuter,accusative,singular,ухо,7.821467938971639,ухо,,ухо,ухо,ухо,ухо,,ухо,,крыш,ухо,ear
σεισμός,208,unigram,masculine,nominative,plural,землетрясения,1.9788486079422447,землетрясения,,землетрясения,землетрясения,землетрясения,землетрясения,землетрясения,,,землетрясения,землетрясения,"earthquakes, storm"
σεισμός,65,unigram,masculine,nominative,singular,,,,трус,,,,,,сделалось,,,великое,"earthquakes, storm"
τέλος,278,unigram,neuter,accusative,singular,конца,9.748786761739206,конца,конца,конца,конца,конца,конца,конца,конца,,выдержит,конца,end
αἰών,310,unigram,masculine,accusative,singular,никогда,106.14156591010028,никогда,веки,никогда,никогда,никогда,никогда,никогда,вовек,,вовек,вовек,eternity
ὀφθαλμός,22,unigram,masculine,accusative,plural,глаза,3629.5652510434684,глаза,очи,глаза,глаза,глаза,глаза,глаза,очи,,глаза,глаза,eye
ὀφθαλμός,66,unigram,masculine,nominative,plural,глаза,167.1055667317499,глаза,очи,глаза,глаза,глаза,глаза,зрение,глаза,,глаза,глаза,eye
ὀφθαλμός,307,unigram,masculine,nominative,singular,глаз,11.25609965716468,глаз,око,глаз,глаз,глаз,глаз,глаза,,,вырви,глаз,eye
πρόσωπον,127,unigram,neuter,accusative,plural,лица,6.854061349404462,,лица,,,,,,лица,,,лица,face
πρόσωπον,197,unigram,neuter,accusative,singular,лицо,25.294035258029133,лицо,лице,лицо,лицо,лицо,лицо,Ты,лице,,угождаешь,лицо,face
λιμός,7,unigram,feminine,nominative,plural,землетрясения,1.565207648191805,землетрясения,,землетрясения,землетрясения,землетрясения,землетрясения,голод,,,землетрясения,землетрясения,famine
λιμός,96,unigram,feminine,nominative,singular,оказался,1.3167922019170277,оказался,,,оказался,оказался,,,,,,,famine
γεωργός,259,unigram,masculine,nominative,plural,виноградари,9.213682618066713,,,виноградари,,,,виноградари,виноградари,,виноградари,виноградари,"farmer, tenant"
γεωργός,51,unigram,masculine,nominative,singular,истинная,1.201459869218647,,истинная,истинная,,,,,,,,,"farmer, tenant"
πατήρ,313,unigram,masculine,accusative,singular,отца,1.4364613964687496,Отца,отца,отца,Отца,Отца,Отца,отца,отца,,отца,отца,father
πατήρ,321,unigram,masculine,nominative,plural,отцы,25.8182719126772,предки,отцы,отцы,предки,предки,отцы,предки,отцы,,отцы,отцы,father
πατήρ,192,unigram,masculine,nominative,singular,Отец,40256980.8087304,Отец,Отец,Отец,Отец,Отец,Отец,Отец,Отец,,Отец,Отец,father
σύνδουλος,150,unigram,masculine,accusative,plural,пьяницами,1.5819243459048793,пьяницами,,,пьяницами,пьяницами,пьяницами,объедаться,,,дружками,пьяницами,"fellow-servant, colleague"
σύνδουλος,325,unigram,masculine,nominative,plural,возмутило,1.4432732684933456,возмутило,,,возмутило,возмутило,возмутило,огорчились,,,,,"fellow-servant, colleague"
σύνδουλος,117,unigram,masculine,nominative,singular,Должник,1.4432732684933456,Должник,клеврет,Потерпи,Должник,Должник,Должник,,,,молил,товарищ,"fellow-servant, colleague"
ἀγρός,337,unigram,masculine,accusative,plural,сестёр,3.791348956312217,сестёр,села,сестер,сестёр,сестёр,сестер,сестёр,деревни,,сестер,деревни,field
ἀγρός,40,unigram,masculine,accusative,singular,поле,434.58644995098484,поле,село,поле,поле,поле,поле,поле,поле,,поле,поле,field
δάκτυλος,183,unigram,masculine,accusative,singular,ребра,2.189950527687987,,ребра,,,,,,ребра,,,бок,finger
ἰχθύς,160,unigram,masculine,accusative,plural,хлебов,1.8679392549216243,лепёшек,рыбе,хлебов,лепёшек,лепёшек,хлебов,хлебов,рыбы,,хлебов,рыбы,fish
ἰχθύς,196,unigram,masculine,accusative,singular,змею,1.2072031234764684,,рыбы,змею,,,,,змею,,змею,рыбы,fish
δίκτυον,111,unigram,neuter,accusative,plural,сети,60938.47898822562,сети,мрежи,сети,сети,сети,сети,сети,сети,,сети,сети,fishing net
δίκτυον,205,unigram,neuter,accusative,singular,сеть,105.51613858744109,сеть,мрежу,сеть,сеть,сеть,сеть,сеть,сеть,,сеть,сеть,fishing net
δίκτυον,179,unigram,neuter,nominative,plural,рваться,2.8739715272496595,рваться,,рваться,рваться,рваться,рваться,,прорывалась,,рваться,,fishing net
τροφή,251,unigram,feminine,accusative,plural,еды,1.1082346254975282,еды,отшли,,еды,еды,,купить,отлучились,,еды,отлучились,food
τροφή,332,unigram,feminine,accusative,singular,другими,1.3167922019170277,другими,,благоразумный,другими,другими,,,,,,,food
πούς,243,unigram,masculine,accusative,plural,ноги,14942.443301340856,ноги,нозе,ноги,ноги,ноги,ноги,ноги,ноги,,ноги,ноги,foot
πούς,115,unigram,masculine,accusative,singular,,,,,,,,,руках,,,понесут,,foot
καρπός,189,unigram,masculine,accusative,plural,,,урожая,плоды,плоды,урожая,урожая,урожая,урожай,плоды,,доход,плоды,"fruit, crop, harvest"
καρπός,240,unigram,masculine,accusative,singular,плодов,2.5439047314721,плодов,плод,урожай,плодов,плодов,плодов,плоды,плода,,плодов,плода,"fruit, crop, harvest"
πλήρωμα,274,unigram,neuter,accusative,plural,полных,1.5575813814954633,полных,,,полных,полных,полных,,кусков,,полных,собрали,fullness
γενεά,275,unigram,feminine,accusative,plural,,,,,почитающим,,,,милует,,,,,generation
γενεά,241,unigram,feminine,accusative,singular,поколение,14.688121105978887,поколение,род,,поколение,поколение,поколение,,род,,,род,generation
γενεά,155,unigram,feminine,nominative,singular,поколение,199.58668573507956,поколение,род,поколение,поколение,поколение,поколение,поколение,род,,поколение,род,generation
δῶρον,312,unigram,neuter,accusative,plural,,,свои,дары,клали,свои,свои,свои,дары,дары,,дар,дары,gift
δῶρον,169,unigram,neuter,accusative,singular,дар,378.2610081358562,дар,дар,дар,дар,дар,дар,дары,дар,,дар,дар,gift
ἡγεμών,177,unigram,masculine,accusative,plural,,,,,,,,,,поведут,,царям,,"governor, ruler"
ἡγεμών,12,unigram,masculine,accusative,singular,наместника,1.4434281885077358,наместника,игемону,,наместника,наместника,наместника,,правитель,,,правитель,"governor, ruler"
ἀσπασμός,324,unigram,masculine,accusative,plural,приветствия,1.1969197680177193,,целования,площадях,,,,приветствия,,,,приветствия,greeting
ὁδηγός,5,unigram,masculine,nominative,plural,поводыри,1.7338023531876605,поводыри,,поводыри,поводыри,поводыри,поводыри,,вожди,,поводыри,,guide
ὁδηγός,4,unigram,masculine,nominative,singular,поводыри,43.96768956540122,поводыри,слепии,поводыри,поводыри,поводыри,поводыри,слепые,слепые,,поводыри,слепые,guide
θρίξ,95,unigram,feminine,nominative,plural,волосы,1.981984446394833,,,волосы,,,,волосы,,,сочтены,,hair
θρίξ,223,unigram,feminine,nominative,singular,волос,2.7338355077693373,волос,влас,волос,волос,волос,волос,волос,волос,,волос,,hair
χείρ,316,unigram,feminine,accusative,plural,руки,67262795.95999566,руки,руце,руки,руки,руки,руки,руки,руки,,руки,руки,hand
χείρ,227,unigram,feminine,accusative,singular,руку,651.741497733888,руку,руку,руку,руку,руку,руку,руку,руку,,руку,руку,hand
κεφαλή,147,unigram,feminine,accusative,plural,,,,,,,,,кивая,,,Прохожие,,head
κεφαλή,211,unigram,feminine,accusative,singular,голову,14224.119031610498,голову,главу,голову,голову,голову,голову,голову,голову,,голову,голову,head
στάχυς,212,unigram,masculine,accusative,plural,засеянные,1.1884221050189017,засеянные,,колосья,засеянные,засеянные,засеянные,через,,,колосья,,head of grain
καρδία,34,unigram,feminine,accusative,plural,сердца,82.14763655803144,сердца,сердца,праведных,сердца,сердца,сердца,,пред,,сердца,сердца,heart
καρδία,290,unigram,feminine,accusative,singular,сердца,32.942064434860825,сердца,сердце,сердца,сердца,сердца,сердца,сердца,сердце,,сердце,сердце,heart
καρδία,198,unigram,feminine,nominative,singular,сердце,246.67401675167193,сердце,сердце,сердце,сердце,сердце,сердце,сердца,сердце,,сердце,сердце,heart
οὐρανός,270,unigram,masculine,accusative,singular,небо,69.717351644613,небу,небо,небо,небу,небу,небу,небо,небо,,небо,небо,"heaven, sky"
οὐρανός,203,unigram,masculine,nominative,singular,,,исчезнут,небо,небо,исчезнут,исчезнут,земля,земля,небо,,земля,,"heaven, sky"
ὥρα,297,unigram,feminine,nominative,plural,спотыкается,1.0963247953316897,,,,,,,,,,спотыкается,,hour
ὥρα,25,unigram,feminine,nominative,singular,,,время,час,час,время,время,время,время,час,,час,час,hour
οἰκία,162,unigram,feminine,accusative,plural,дома,1.2473775930965574,дома,вдовиц,,дома,дома,дома,сестёр,,,,дома,house
οἰκία,329,unigram,feminine,accusative,singular,дом,35603853.34893611,дом,дом,дом,дом,дом,дом,дом,дом,,дом,дом,house
οἶκος,285,unigram,masculine,accusative,plural,лишусь,1.0963047455737722,,,,,,,,,,лишусь,,"house, home"
οἶκος,21,unigram,masculine,accusative,singular,домой,15.545289971507655,домой,дом,домой,домой,домой,домой,домой,дом,,домой,дом,"house, home"
κριτής,311,unigram,masculine,nominative,plural,изгоняют,1.1062768043954256,,судии,изгоняют,,,,изгоняют,,,,,judge
κριτής,171,unigram,masculine,nominative,singular,судья,34.22474295066798,,судия,судья,,,судья,судья,судья,,судья,судья,judge
βασιλεύς,109,unigram,masculine,accusative,plural,,,,ради,,,,,,поведут,,царям,,king
βασιλεύς,60,unigram,masculine,accusative,singular,Царя,3.9009099168519485,,Царя,,,,Царя,Царя,Царя,,царем,Царя,king
βασιλεία,81,unigram,feminine,accusative,plural,царства,8.324057738251048,царства,царствия,дьявол,царства,царства,царства,царства,царства,,царства,царства,kingdom
βασιλεία,166,unigram,feminine,accusative,singular,Царство,59.39990365757498,Царство,Царствие,Царство,Царство,Царство,Царство,Царство,Царствие,,Царство,Царство,kingdom
κόπος,206,unigram,masculine,accusative,plural,упрекаете,1.551083143978337,упрекаете,,,упрекаете,упрекаете,упрекаете,смущаете,смущаете,,обижаете,,"labour, work, trouble, difficulty"
λύχνος,238,unigram,masculine,nominative,singular,светильник,11.393882916119415,светильник,светилник,светильник,светильник,светильник,светильник,,светло,,светильник,,lamp
κλῆρος,1,unigram,masculine,accusative,singular,жребий,5.83028856513266,между,разделиша,жребий,между,между,разделили,жребий,жребий,,жребий,жребий,"lots (casting of lots), inheritance"
ἄνθρωπος,300,unigram,masculine,accusative,plural,людей,4255.7373786133985,людей,человеки,людей,людей,людей,людей,людей,людей,,людей,людей,man
ἄνθρωπος,261,unigram,masculine,accusative,singular,человека,6468.848063469025,человека,человека,человека,человека,человека,человека,человека,человека,,человека,человека,man
ἄνθρωπος,122,unigram,masculine,nominative,plural,люди,1504.9215622179358,люди,человецы,люди,люди,люди,люди,люди,люди,,люди,люди,man
ἄνθρωπος,182,unigram,masculine,nominative,singular,человек,2691082.1358108567,человек,человек,человек,человек,человек,человек,человек,человек,,человек,человек,man
ἀνήρ,252,unigram,masculine,accusative,plural,мужей,3.9997929680696775,,,,,,,,мужей,,,мужей,"man, husband"
ἀνήρ,256,unigram,masculine,accusative,singular,мужа,29747.532145528407,мужа,мужа,мужа,мужа,мужа,мужа,мужа,мужа,,мужа,мужа,"man, husband"
ἀνήρ,153,unigram,masculine,nominative,plural,мужчин,10.548023075596568,мужчин,мужей,мужчин,мужчин,мужчин,мужчин,мужчин,,,тысяч,мужчин,"man, husband"
ἀνήρ,244,unigram,masculine,nominative,singular,человек,16.563140329854825,человек,муж,человек,человек,человек,человек,жил,человек,,человек,муж,"man, husband"
μνᾶ,303,unigram,feminine,accusative,plural,деньги,2.9383482319397785,деньги,мнас,десять,деньги,деньги,мерок,десять,мин,,мер,мин,mina (about 100 days' wages)
πρωτοκαθεδρία,107,unigram,feminine,accusative,plural,домах,1.0403227154230927,домах,вечерях,пирах,домах,домах,синагогах,,пиршествах,,,обедах,"most important seat, seat of honour"
πρωτοκαθεδρία,36,unigram,feminine,accusative,singular,председания,1.1613200159490846,,председания,,,,,площадях,председания,,почетных,председательство,"most important seat, seat of honour"
μήτηρ,282,unigram,feminine,accusative,singular,мать,10.062235309064718,мать,отца,мать,мать,мать,мать,мать,отца,,мать,отца,mother
ὄρος,222,unigram,neuter,accusative,plural,,,,горы,бегут,,,,Иудее,,,,,mountain
ὄρος,268,unigram,neuter,accusative,singular,гору,10086.406256010052,гору,гору,гору,гору,гору,гору,гору,гору,,гору,гору,mountain
μύρον,90,unigram,neuter,accusative,plural,миро,1.0960965115985384,,миро,,,,,,,,,,myrrh
μύρον,27,unigram,neuter,accusative,singular,возлив,1.0960965115985384,,,,,,,,,,,возлив,myrrh
ὄνομα,35,unigram,neuter,accusative,singular,имя,1273.6319632687673,имя,имя,имя,имя,имя,имя,имя,имя,,имя,имя,name
ὄνομα,105,unigram,neuter,nominative,plural,имена,255.94615908693964,имена,имена,имена,имена,имена,имена,Имена,имена,,имена,,name
ὄνομα,257,unigram,neuter,nominative,singular,имя,753.0782431502126,имя,имя,имя,имя,имя,имя,имя,имя,,имя,имя,name
