lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_456_translation,version_457_translation,version_458_translation,version_459_translation,version_460_translation,version_461_translation,version_462_translation,version_463_translation,version_464_translation,version_465_translation,version_466_translation,english_translation
ἀποθήκη,303,unigram,feminine,accusative,plural,Scheunen,75.48354969519892,Speicher,Scheunen,Scheunen,Scheunen,,Scheunen,Vorräte,,Scheunen,Scheunen,Scheunen,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,Scheune,1.4502711995435578,Speicher,Scheune,Scheune,Scheune,,Weizen,Scheune,Scheune,Scheune,Scheune,verbrennen,barn
φραγμός,128,unigram,masculine,accusative,singular,Zaun,1.1894391453790327,,Zaun,Zaun,Zaun,,,,,,,,"barrier, wall"
ἀρχή,81,unigram,feminine,accusative,plural,,,,,,,Richtern,Gewaltigen,Behörden,,,,,beginning
ἀρχή,205,unigram,feminine,accusative,singular,,,Überhaupt,,,,,Erstlich,,offenbarte,,,,beginning
ζώνη,196,unigram,feminine,accusative,plural,Silber,1.0960524252565438,,,,,,,,,,,Silber,belt
ζώνη,251,unigram,feminine,accusative,singular,wilder,2.0828146272524024,wilder,wilder,wilder,wilder,,wilder,wilder,,wilder,wilder,,belt
βλασφημία,37,unigram,feminine,accusative,plural,,,lästert,,,,entrüsteten,,,,,,Lästerungen,blasphemy
βλασφημία,109,unigram,feminine,accusative,singular,gelästert,1.5819950289610416,,,,,gelästert,,gelästert,gelästert,,gelästert,gelästert,blasphemy
βλασφημία,230,unigram,feminine,nominative,plural,Lästerungen,31.99592189073724,,Lästerungen,Lästerungen,Lästerungen,,,,,Lästerungen,Lästerungen,,blasphemy
βλασφημία,96,unigram,feminine,nominative,singular,Lästerung,57.0000013607844,,Lästerung,Lästerung,Lästerung,,,,,Lästerung,Lästerung,Lästerung,blasphemy
πλοῖον,121,unigram,neuter,accusative,plural,Schiffe,774.1079243549988,Boote,Schiffe,Schiffe,Schiffe,Boote,Schiffe,Boote,Boote,Schiffe,Schiffe,Schiffe,boat
πλοῖον,348,unigram,neuter,accusative,singular,Schiff,3590.3457949229746,Boot,Schiff,Schiff,Schiff,Boot,Schiff,Boot,Boot,Schiff,Schiff,Schiff,boat
πλοῖον,268,unigram,neuter,nominative,plural,Schiffe,2.0549926198725,müde,Schiffe,Schiffe,Schiffe,Boote,Schiff,Boote,Boote,Schiffe,Schiffe,entließen,boat
πλοῖον,253,unigram,neuter,nominative,singular,Schiff,53.14335914209049,Boot,Schiff,Schiff,Schiff,Boot,Schiff,Boot,Boot,Schiff,Schiff,Schiff,boat
σῶμα,240,unigram,neuter,nominative,plural,Leiber,6.724051118170261,,Leiber,Leiber,Leiber,Tod,,,,,,,body
σῶμα,68,unigram,neuter,nominative,singular,Leib,961.8850480817231,Leib,Leib,Leib,Leib,Licht,Leib,Körper,Körper,Leib,Leib,Leib,body
κλῆμα,64,unigram,neuter,nominative,plural,Reben,1.3167569176938394,,Reben,Reben,,,Reben,,,,,Ranken,branch
κλῆμα,169,unigram,neuter,nominative,singular,Rebe,74.2336279848001,Rebe,Rebe,Rebe,Rebe,Rebe,Rebe,Rebe,verbunden,Rebschoß,Rebe,Ranke,branch
ἄρτος,353,unigram,masculine,accusative,plural,Brote,2602.446219535367,Brote,Brote,Brote,Brote,Brot,Brote,Brote,Brote,Brote,Brote,Brote,bread
ἄρτος,383,unigram,masculine,accusative,singular,Brot,380355333.00034297,Brot,Brot,Brot,Brot,Brot,Brot,Brot,Brot,Brot,Brot,Brot,bread
ἄρτος,179,unigram,masculine,nominative,plural,Brot,43.70719531291396,Brot,Brote,Brote,Brote,Brot,Brot,Brot,Brot,Brot,Brot,Brote,bread
ἄρτος,45,unigram,masculine,nominative,singular,Brot,367307.054638115,Brot,Brot,Brot,Brot,Brot,Brot,Brot,Brot,Brot,Brot,Brot,bread
ἀδελφός,338,unigram,masculine,accusative,plural,Brüder,165637.0794355484,Brüder,Brüder,Brüder,Brüder,Geschwister,Brüder,Brüder,Brüder,Brüder,Brüder,Brüder,brother
ἀδελφός,138,unigram,masculine,accusative,singular,Bruder,17692.424442381933,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,brother
ἀδελφός,127,unigram,masculine,nominative,plural,Brüder,4809.959307022565,Brüder,Brüder,Brüder,Brüder,Geschwister,Brüder,Brüder,Brüder,Brüder,Brüder,Brüder,brother
ἀδελφός,260,unigram,masculine,nominative,singular,Bruder,5514535978.808291,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,Bruder,brother
στῆθος,175,unigram,neuter,accusative,plural,Schauspiel,1.2013523596909814,Schauspiel,,,,,,,,Schauspiel,,,"chest, breast"
στῆθος,321,unigram,neuter,accusative,singular,Brust,5857.955800087116,Brust,Brust,Brust,Brust,,Brust,jener,Brust,Brust,Brust,Brust,"chest, breast"
ἀρχιερεύς,274,unigram,masculine,accusative,plural,Hohenpriestern,217.261480015893,Hohenpriestern,Hohenpriestern,Hohenpriestern,Hohenpriestern,obersten,Hohenpriestern,führenden,Hohen,Hohenpriestern,obersten,Hohenpriestern,chief priest
ἀρχιερεύς,69,unigram,masculine,accusative,singular,Hohenpriester,107.97517212305235,Hohenpriester,Hohenpriester,Hohenpriester,Hohenpriester,Hohenpriester,Hohenpriester,Hohenpriester,Hohen,Hohenpriester,Hohenpriester,Hohenpriester,chief priest
ἀρχιερεύς,137,unigram,masculine,nominative,plural,Hohenpriester,11886.28996823924,Hohenpriester,Hohenpriester,Hohenpriester,Hohenpriester,obersten,Hohenpriester,Priester,Priester,Hohenpriester,obersten,Hohenpriester,chief priest
ἀρχιερεύς,278,unigram,masculine,nominative,singular,Hohepriester,5719.594788536403,Hohepriester,Hohepriester,Hohepriester,Hohepriester,Hohepriester,Hohepriester,Hohepriester,Priester,Hohepriester,Hohepriester,Hohepriester,chief priest
παῖς,264,unigram,masculine,accusative,plural,Kinder,1.1207446779514247,,,,,,Kinder,,,,,Kinder,child
παῖς,56,unigram,masculine,accusative,singular,,,herankam,,,,,,Junge,,,zukam,,child
τέκνον,375,unigram,neuter,accusative,plural,Kinder,23786947.460595615,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,child
τέκνον,202,unigram,neuter,accusative,singular,Kinder,4.181849666526144,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,Kind,child
τέκνον,19,unigram,neuter,nominative,plural,Kinder,346.0051097928212,Kinder,Kinder,Kinder,Kinder,vorgehen,Kinder,Kinder,Kinder,Kinder,Kinder,Kinder,child
τέκνον,216,unigram,neuter,nominative,singular,Kind,130.19502412878728,'Mein,Kind,Kind,Kind,›Mein,Mein,Sohn,Kind,Sohn,Sohn,Kind,child
παιδίον,17,unigram,neuter,accusative,plural,Kindlein,2.425912642281068,hindert,Kindlein,Kindlein,solcher,Kinder,Kindlein,Kinder,hindert,wehret,,solcher,child
παιδίον,104,unigram,neuter,accusative,singular,Kind,37477.46158852048,Kind,Kindlein,Kindlein,Kind,Kind,Kindlein,Kind,Kind,Kindlein,Kind,Kind,child
παιδίον,194,unigram,neuter,nominative,plural,Kinder,1247.6590618735927,Kinder,Kindlein,Kindlein,Kinder,Kinder,Kindlein,Kinder,Kinder,Kinder,Kinder,Kinder,child
παιδίον,47,unigram,neuter,nominative,singular,Kind,1987.309056506459,Kind,Kindlein,Kindlein,Kind,Kind,Kindlein,Kind,Kind,Kindlein,Kind,Kind,child
πόλις,206,unigram,feminine,accusative,plural,Städte,27.99596995203129,Städten,Städte,Städte,Städte,Städte,Städte,Städten,Städten,Städte,Städte,,city
πόλις,73,unigram,feminine,accusative,singular,Stadt,1777429.9898484203,Stadt,Stadt,Stadt,Stadt,Stadt,Stadt,Stadt,Stadt,Stadt,Stadt,Stadt,city
πύλη,299,unigram,feminine,nominative,plural,,,,,,,besiegen,,bauen,Mächte,,,,city gate
πύλη,229,unigram,feminine,nominative,singular,Pforte,3.1319141494629044,Tor,Pforte,Pforte,Pforte,Tor,Pforte,,Tor,Pforte,Pforte,Pforte,city gate
χιτών,133,unigram,masculine,accusative,plural,,,Unterkleider,Leibröcke,Leibröcke,Leibröcke,,Röcke,Hemden,Hemden,Röcke,Hemden,Röcke,"clothing, undergarments"
χιτών,34,unigram,masculine,accusative,singular,Hemd,1.971995442961827,Unterkleid,Leibrock,Leibrock,Leibrock,Hemd,Rock,Hemd,Hemd,Rock,Hemd,Rock,"clothing, undergarments"
ἱμάτιον,151,unigram,neuter,accusative,plural,Kleider,36792.509426886805,Kleider,Kleider,Kleider,Kleider,Kleider,Kleider,Kleider,Umhänge,Kleider,Kleider,Kleider,coat
ἱμάτιον,150,unigram,neuter,accusative,singular,Kleid,27.92333624992005,,Kleid,Kleid,Kleid,Mantel,Kleid,Mantel,Umhang,Kleid,Mantel,Mantel,coat
ἐντολή,92,unigram,feminine,accusative,plural,Gebote,85803.36072039093,Gebote,Gebote,Gebote,Gebote,Gebote,Gebote,Gebote,Gebote,Gebote,Gebote,Gebote,commandment
ἐντολή,90,unigram,feminine,accusative,singular,Gebot,28377.14162712363,Gebot,Gebot,Gebot,Gebot,,Gebot,Gebot,Gebot,Gebot,Gebot,Gebot,commandment
συνέδριον,358,unigram,neuter,accusative,plural,,,Gerichten,Synedrien,Synedrien,Synedrien,Gerichte,Rathäuser,,Synagogen,Gerichten,Gerichten,Ratsversammlungen,council
συνέδριον,60,unigram,neuter,accusative,singular,,,Hohenpriester,Synedrium,,,,Hohenpriester,Sitzung,Rat,Hohen,Hohen,Synedrium,council
χώρα,86,unigram,feminine,accusative,plural,,,,,,,,Hebet,,,,Felder,,"country, countryside"
χώρα,326,unigram,feminine,accusative,singular,Land,63.88882592699602,in,Land,Land,Land,Gebiet,Gegend,Land,Land,Land,Land,Land,"country, countryside"
ὄχλος,65,unigram,masculine,accusative,plural,Volksmenge,23.184730475128198,Volksscharen,Volksmengen,Volksmenge,Volksmengen,Leute,Volk,stieg,Menge,Volksmenge,Volksmenge,Massen,crowd
ὄχλος,11,unigram,masculine,accusative,singular,Volksmenge,1497.2632714196657,Volk,Volksmenge,Volksmenge,Volksmenge,Menschenmenge,Volk,Menschenmenge,Menge,Volk,Volksmenge,Menge,crowd
ὄχλος,114,unigram,masculine,nominative,plural,,,Leute,Volksmengen,Volksmenge,Volksmengen,Leute,Volk,Scharen,Leute,Volksmenge,Volksmenge,Massen,crowd
ὄχλος,316,unigram,masculine,nominative,singular,Volksmenge,36.246342314430336,Schar,Volksmenge,Volksmenge,Volksmenge,Menschenmenge,Volk,Menschenmenge,Menschenmenge,Volk,Volksmenge,Menge,crowd
θυγάτηρ,131,unigram,feminine,nominative,plural,Töchter,1.6768404526989307,Töchter,Töchter,Töchter,Töchter,Weint,Töchter,Weint,Weint,,,,daughter
θυγάτηρ,352,unigram,feminine,nominative,singular,Tochter,8733995.82151199,Tochter,Tochter,Tochter,Tochter,Tochter,Tochter,Tochter,Tochter,Tochter,Tochter,Tochter,daughter
ἡμέρα,84,unigram,feminine,accusative,plural,Tage,501.817552878913,Tage,Tagen,Tagen,Tagen,Tage,Tage,Tage,Tage,Tage,Tage,Tage,day
ἡμέρα,97,unigram,feminine,accusative,singular,Tag,3033.261276961006,Tag,Tag,Tag,Tag,Tag,täglich,Tag,Tag,Tag,Tag,Tag,day
ἡμέρα,2,unigram,feminine,nominative,plural,Tage,107722.42858021012,Tage,Tage,Tage,Tage,Zeit,Tage,Zeit,Zeit,Tage,Tage,Tage,day
ἡμέρα,75,unigram,feminine,nominative,singular,Tag,484085.0922171422,Tag,Tag,Tag,Tag,Tag,Tag,Tag,Tag,Tag,Tag,Tag,day
ὀφειλέτης,281,unigram,masculine,nominative,plural,tötete,1.3167216672078015,,tötete,tötete,tötete,,,,,,,,debtor
ὀφειλέτης,141,unigram,masculine,nominative,singular,zehntausend,1.122608048569835,Abrechnung,,,,,,zehntausend,zehntausend,,,,debtor
δαιμόνιον,35,unigram,neuter,accusative,plural,Dämonen,447978.303180308,Geister,Dämonen,Dämonen,Dämonen,Dämonen,Teufel,Dämonen,Dämonen,Dämonen,Dämonen,Dämonen,demon
δαιμόνιον,369,unigram,neuter,accusative,singular,Dämon,6830.4989644330435,bösen,Dämon,Dämon,Dämon,Dämon,Teufel,Dämon,Dämon,Dämon,Dämon,Dämon,demon
δαιμόνιον,218,unigram,neuter,nominative,plural,Dämonen,14576.56699370991,Geister,Dämonen,Dämonen,Dämonen,Dämonen,Teufel,Dämonen,Dämonen,Dämonen,Dämonen,Dämonen,demon
δαιμόνιον,192,unigram,neuter,nominative,singular,Dämon,1352.8902425107271,Geist,Dämon,Dämon,Dämon,Dämon,Teufel,Dämon,Dämon,Dämon,Dämon,Dämon,demon
δηνάριον,343,unigram,neuter,accusative,plural,Denare,861.6006467259867,Silberlinge,Denare,Denare,Denare,schuldete,Groschen,Denare,Denare,Denare,Denare,Denare,denarius (about a day's wages)
δηνάριον,181,unigram,neuter,accusative,singular,Denar,265.3505293571991,Silberling,Denar,Denar,Denar,Zeigt,Groschen,Denar,Denar,Denar,Denar,Denar,denarius (about a day's wages)
μαθητής,199,unigram,masculine,accusative,plural,Jünger,54.027683539419115,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,disciple
μαθητής,376,unigram,masculine,accusative,singular,Jünger,17.810604096811808,liebhatte,Jünger,Jünger,Jünger,lieb,liebhatte,besonders,besonders,Jünger,Jünger,Jünger,disciple
μαθητής,308,unigram,masculine,nominative,plural,Jünger,46331237.53919038,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,disciple
μαθητής,374,unigram,masculine,nominative,singular,Jünger,480839848.58245337,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,Jünger,disciple
νόσος,3,unigram,feminine,accusative,plural,Krankheiten,45.52494699987826,Krankheiten,Krankheiten,Krankheiten,Krankheiten,Krankheiten.,Seuchen,getragen.,getragen,Krankheiten,Krankheiten,Krankheiten,disease
νόσος,83,unigram,feminine,accusative,singular,Gebrechen,4.35507566036715,Gebrechen,,,,Leidenden,Seuche,Leidenden,Leidenden,Gebrechen,Gebrechen,Gebrechen,disease
περιστερά,113,unigram,feminine,accusative,plural,Wechsler,3.4202276799048486,verkauften,Taubenverkäufer,Taubenverkäufer,Taubenverkäufer,Geldwechsler,Wechsler,Geldwechsler,,Wechsler,Wechsler,Wechsler,dove
περιστερά,62,unigram,feminine,accusative,singular,Taube,222.72306904509472,Taube,Taube,Taube,Taube,Taube,Taube,Taube,Taube,Taube,Taube,Taube,dove
οὖς,168,unigram,neuter,accusative,plural,Ohren,117.31682603869201,Ohren,Ohren,Ohren,Ohren,Ohren,Ohren,Ohren,Ohren,Ohren,Ohren,Ohren,ear
οὖς,315,unigram,neuter,accusative,singular,Ohr,25.24734384174599,Ohr,Ohr,Ohr,Ohr,Ohr,Ohr,Ohr,Dunkeln,Ohr,Ohr,Ohr,ear
σεισμός,71,unigram,masculine,nominative,singular,großes,8.038082907657675,Plötzlich,großes,großes,großes,,großes,Plötzlich,,siehe,siehe,,"earthquakes, storm"
τέλος,38,unigram,neuter,accusative,plural,Zoll,1.9470971752550827,Zoll,Zoll,Zoll,Zoll,,Ihren,,Zölle,Zoll,Zoll,Zölle,end
τέλος,305,unigram,neuter,accusative,singular,Ende,16.836096854745655,ausharrt,Ende,Ende,Ende,standhält,Ende,standhaft,Ende,Ende,Ende,Ende,end
αἰών,265,unigram,masculine,accusative,plural,ewiglich,1.470987742152356,,ewiglich,Zeitalter,ewiglich,,,aufhören.,regieren,,,Königreichs,eternity
αἰών,339,unigram,masculine,accusative,singular,Ewigkeit,2288.843912218912,,Ewigkeit,Ewigkeit,Ewigkeit,niemals,ewiglich,niemals,niemals,Ewigkeit,Ewigkeit,Ewigkeit,eternity
ὀφθαλμός,26,unigram,masculine,accusative,plural,Augen,3835540.430178294,Augen,Augen,Augen,Augen,Augen,Augen,Augen,Augen,Augen,Augen,Augen,eye
ὀφθαλμός,12,unigram,masculine,accusative,singular,Zahn,1.0962997391267022,Zahn,,,,,,,,,,,eye
ὀφθαλμός,72,unigram,masculine,nominative,plural,Augen,262775.94675365207,Augen,Augen,Augen,Augen,Augen,Augen,Augen,Augen,Augen,Augen,Augen,eye
ὀφθαλμός,336,unigram,masculine,nominative,singular,Auge,193.82502992020278,Auge,Auge,Auge,Auge,,Auge,Auge,Auge,Auge,Auge,Auge,eye
πρόσωπον,140,unigram,neuter,accusative,plural,Angesicht,3.41187598306602,,,,,,,,,Angesicht,Angesicht,,face
πρόσωπον,213,unigram,neuter,accusative,singular,Angesicht,3531.7628654016025,Angesicht,Angesicht,Angesicht,Angesicht,scheinheilig,Angesicht,Gesicht,Gesicht,Angesicht,Angesicht,Angesicht,face
λιμός,7,unigram,feminine,nominative,plural,Hungersnöte,1.5199435934585874,Hungersnöte,,,,Hungersnöte,,,,Hungersnöte,Hungersnöte,Hungersnöte,famine
λιμός,105,unigram,feminine,nominative,singular,Hungersnot,1.1613374356247497,,,,,Hungersnot,,,,,,,famine
λιμός,155,unigram,masculine,nominative,singular,Hungersnot,1.8817132419302325,,Hungersnot,Hungersnot,,,Teuerung,,Hungersnot,,Hungersnot,Hungersnot,famine
γεωργός,280,unigram,masculine,nominative,plural,Weingärtner,49.63100569132825,Winzer,Weingärtner,Weingärtner,Weingärtner,Weinbauern,Weingärtner,Pächter,Winzer,Weingärtner,Weingärtner,Weingärtner,"farmer, tenant"
γεωργός,57,unigram,masculine,nominative,singular,Weingärtner,1.5811898434087956,,wahre,wahre,wahre,Weingärtner,Weingärtner,Weinbauer,Weingärtner,,Weingärtner,wahrhafte,"farmer, tenant"
πατήρ,219,unigram,masculine,accusative,plural,Vätern,2.4019421248153168,,Vätern,Vätern,Vätern,,,aufhören,versprochen,Vätern,Vätern,,father
πατήρ,342,unigram,masculine,accusative,singular,Vater,13981642931.02105,Vater,Vater,Vater,Vater,Vater,Vater,Vater,Vater,Vater,Vater,Vater,father
πατήρ,351,unigram,masculine,nominative,plural,Väter,1033.6374582400094,Väter,Väter,Väter,Väter,Vorfahren,Väter,Vorfahren,Vorfahren,Väter,Väter,Väter,father
πατήρ,207,unigram,masculine,nominative,singular,Vater,430134507407.4781,Vater,Vater,Vater,Vater,Vater,Vater,Vater,Vater,Vater,Vater,Vater,father
σύνδουλος,162,unigram,masculine,accusative,plural,Trunkenbolden,1.2013630877021924,,,,,,,Trunkenbolden,Trunkenbolden,,,,"fellow-servant, colleague"
σύνδουλος,100,unigram,masculine,accusative,singular,,,,Mitknechtes,Mitknechtes,Mitknechtes,Hättest,,Hättest,Hättest,,,,"fellow-servant, colleague"
σύνδουλος,355,unigram,masculine,nominative,plural,Mitknechte,2.5191367835698184,betrübt,Mitknechte,Mitknechte,Mitknechte,ereignet,Mitknechte,entsetzt,entsetzt,Mitknechte,,,"fellow-servant, colleague"
σύνδουλος,129,unigram,masculine,nominative,singular,Mitknecht,2.227623681785914,Mitdiener,Mitknecht,Mitknecht,Mitknecht,›Hab,Mitknecht,zurückzahlen‹,'Hab,Mitknecht,Mitknecht,Mitknecht,"fellow-servant, colleague"
ἀγρός,368,unigram,masculine,accusative,plural,Äcker,6.657393261562108,,Äcker,Äcker,Äcker,Dörfern,Äcker,Äcker,Dörfern,Äcker,Äcker,,field
ἀγρός,46,unigram,masculine,accusative,singular,Acker,300.6367921310066,Acker,Acker,Acker,Acker,Feld,Acker,Töpferacker,Töpferacker,Acker,Acker,Acker,field
δάκτυλος,258,unigram,masculine,accusative,plural,Finger,1.7760142212542926,,Finger,Finger,Finger,,Finger,Finger,Zunge,Finger,,,finger
δάκτυλος,198,unigram,masculine,accusative,singular,Finger,3.378237327468658,Seite,Finger,Finger,Finger,durchbohrten,Finger,Finger,glaube,Finger,Finger,Finger,finger
ἰχθύς,172,unigram,masculine,accusative,plural,Fische,6.917144416802669,Fische,Fische,Fische,Fische,Brote,Fische,Brote,Fische,Fische,Fische,Fische,fish
ἰχθύς,212,unigram,masculine,accusative,singular,Fisch,82.33077831509712,Fisch,Fisch,Schlange,Fisch,Fisch,Fisch,Fisch,Fisch,Fisch,Fisch,Fisch,fish
δίκτυον,122,unigram,neuter,accusative,plural,Netze,111495.81841876761,Netze,Netze,Netze,Netze,Netze,Netze,Netze,Netze,Netze,Netze,Netze,fishing net
δίκτυον,222,unigram,neuter,accusative,singular,Netz,699.8076486553242,Netz,Netz,Netz,Netz,Netz,Netz,Netz,Netz,Netz,Netz,Netz,fishing net
δίκτυον,193,unigram,neuter,nominative,plural,,,Netze,umschlossen,umschlossen,umschlossen,Netze,Netz,Netze,,,,,fishing net
δίκτυον,269,unigram,neuter,nominative,singular,,,,hundertdreiundfünfzig,hundertdreiundfünfzig,153,153,,,,hundertdreiundfünfzig,153,,fishing net
τροφή,271,unigram,feminine,accusative,plural,gegangen,1.317889343182544,einzukaufen,weggegangen,weggegangen,weggegangen,einzukaufen,gegangen,,gegangen,gegangen,gegangen,Lebensmittel,food
τροφή,363,unigram,feminine,accusative,singular,,,Gesinde,,,,,,auszuteilen,,rechter,,,food
πούς,261,unigram,masculine,accusative,plural,Füße,5319.490765308806,Füße,Füße,Füße,Füße,Füße,Füße,Füße,Füße,Füße,Füße,Füße,foot
πούς,126,unigram,masculine,accusative,singular,stoßest,1.6585253003777753,stoßest,stoßest,stoßest,stoßest,stoßen,Fuß,stößt.‹,,stoßest,Fuß,Fuß,foot
καρπός,204,unigram,masculine,accusative,plural,Früchte,61781.2739916707,Früchte,Früchte,Früchte,Früchte,kranker,Früchte,Früchte,Früchte,Früchte,Früchte,Früchte,"fruit, crop, harvest"
καρπός,256,unigram,masculine,accusative,singular,Frucht,18173.679299607396,Frucht,Frucht,Frucht,Frucht,Frucht,Frucht,Frucht,Frucht,Frucht,Frucht,Frucht,"fruit, crop, harvest"
πλήρωμα,298,unigram,neuter,accusative,plural,Brocken,7.888225832152201,Körbe,Brocken,Brocken,Brocken,übrig,Brocken,Körbe,,,Brocken,Brocken,fullness
πλήρωμα,362,unigram,neuter,accusative,singular,,,,,,,,Tuch,,,Riß,,,fullness
γενεά,300,unigram,feminine,accusative,plural,Geschlecht,1.1896891737383173,erweist,Geschlecht,Geschlecht,Geschlecht,ewig,währet,,,,,,generation
γενεά,257,unigram,feminine,accusative,singular,Geschlecht,442.9380509947734,,Geschlecht,Geschlecht,Geschlecht,,Geschlecht,Generation,Generation,Geschlecht,Geschlecht,,generation
γενεά,349,unigram,feminine,nominative,plural,Geschlechter,31.995890930420682,Geschlechter,Geschlechter,Geschlechter,Geschlechter,,,Generationen,Generationen,,,Geschlechter,generation
γενεά,167,unigram,feminine,nominative,singular,Geschlecht,2268.9106257055623,Geschlecht,Geschlecht,Geschlecht,Geschlecht,Generation,Art,Generation,Generation,Geschlecht,Geschlecht,Geschlecht,generation
δῶρον,341,unigram,neuter,accusative,plural,Gaben,203.59093123909219,ihre,Gaben,Gaben,Gaben,Reichen,Opfer,Gaben,warfen,Gaben,Gaben,,gift
δῶρον,183,unigram,neuter,accusative,singular,Gabe,4.448994049017306,Opfergabe,Gabe,Gabe,Gabe,Altar,Gabe,Altar,Altar,,,Gabe,gift
ἡγεμών,191,unigram,masculine,accusative,plural,Statthalter,3.585391218427839,Statthalter,Statthalter,Statthalter,Statthalter,Königen,Fürsten,Machthaber,Machthaber,Fürsten,Fürsten,Statthalter,"governor, ruler"
ἡγεμών,14,unigram,masculine,accusative,singular,einziges,1.3168805604559872,wunder,einziges,einziges,einziges,wunderte,Landpfleger,,Erstaunen,Landpfleger,Statthalter,verwunderte,"governor, ruler"
σταφυλή,378,unigram,feminine,accusative,singular,Trauben,1.4431959767309506,,Trauben,Trauben,Trauben,,,,,,Trauben,,grapes
