lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_586_translation,version_587_translation,version_588_translation,version_589_translation,version_590_translation,version_591_translation,version_592_translation,version_593_translation,version_594_translation,version_595_translation,version_596_translation,version_597_translation,version_598_translation,version_599_translation,english_translation
δαιμόνιον,378,unigram,neuter,accusative,singular,démon,4395460.162661359,démon,démon,démon,possédé,démon,démon,démon,démon,démon,démon,démon,démon,esprit,,demon
δαιμόνιον,224,unigram,neuter,nominative,plural,démons,83203.77261895967,démons,démons,démons,esprits,démons,démons,démons,démons,démons,démons,démons,démons,esprits,,demon
δαιμόνιον,198,unigram,neuter,nominative,singular,démon,8069.95917799642,démon,démon,démon,l'esprit,démon,démon,démon,démon,démon,démon,démon,démon,esprit,,demon
δηνάριον,352,unigram,neuter,accusative,plural,deniers,572.6012526474221,deniers,pièces,deniers,d'argent,pièces,deniers,deniers,deniers,deniers,d'argent,deniers,deniers,pièces,,denarius (about a day's wages)
δηνάριον,186,unigram,neuter,accusative,singular,denier,773.0861901220848,denier,pièce,denier,pièce,pièce,denier,denier,denier,denier,pièce,denier,denier,pièce,,denarius (about a day's wages)
μαθητής,205,unigram,masculine,accusative,plural,disciples,69708.04634929943,disciples,disciples,disciples,disciples,disciples,disciples,Disciples,disciples,disciples,disciples,disciples,disciples,disciples,,disciple
μαθητής,384,unigram,masculine,accusative,singular,aimait,1.2729210327589986,aimait,aimait,aimait,disciple,disciple,aimait,,disciple,aimait,,aimait,,disciple,,disciple
μαθητής,319,unigram,masculine,nominative,plural,disciples,6862984248.391959,disciples,disciples,disciples,disciples,disciples,disciples,Disciples,disciples,disciples,disciples,disciples,disciples,disciples,,disciple
μαθητής,382,unigram,masculine,nominative,singular,disciple,4529344617.862858,disciple,disciple,disciple,disciple,disciple,disciple,Disciple,disciple,disciple,disciple,disciple,disciple,disciple,,disciple
νόσος,3,unigram,feminine,accusative,plural,maladies,988.5855198271242,maladies,maladies,maladies,maladies,maladies,maladies,langueurs,maladies,maladies,maladies,maladies,maladies,maladies,,disease
νόσος,84,unigram,feminine,accusative,singular,infirmités,1.1688013587413533,langueur,,maladie,infirmités,,,maladies,,,infirmités,,sortes,douleurs,,disease
περιστερά,117,unigram,feminine,accusative,plural,colombes,3.864100096785942,colombes,,colombes,pigeons,,,,,,colombes,,,colombes,,dove
περιστερά,62,unigram,feminine,accusative,singular,colombe,624.2643905446964,colombe,colombe,colombe,colombe,colombe,colombe,colombe,colombe,colombe,colombe,colombe,colombe,colombe,,dove
οὖς,173,unigram,neuter,accusative,plural,oreilles,125.76389617983128,oreilles,oreilles,oreilles,oreilles,oreilles,oreilles,oreilles,oreilles,oreilles,oreilles,oreilles,oreilles,oreilles,,ear
οὖς,325,unigram,neuter,accusative,singular,l'oreille,14.35952042798185,l'oreille,l'oreille,l'oreille,toits,oreille,oreille,l'oreille,oreille,l'oreille,toits,l'oreille,l'oreille,oreille,,ear
σεισμός,231,unigram,masculine,nominative,plural,régions,1.0810922260060456,,,,,,,,,,,,,régions,,"earthquakes, storm"
σεισμός,71,unigram,masculine,nominative,singular,Soudain,6.536257867904478,couverte,Soudain,voilà,Soudain,coup,voici,,,voici,Soudain,,,coup,,"earthquakes, storm"
τέλος,37,unigram,neuter,accusative,plural,taxes,1.1614072804579731,,,,,,,,,,,,,taxes,,end
τέλος,316,unigram,neuter,accusative,singular,fin,57.1200257730582,fin,persévérera,fin,fin,tiendra,persévérera,fin,fin,persévérera,tiendra,fin,fin,fin,,end
αἰών,276,unigram,masculine,accusative,plural,régnera,2.164013336674167,régnera,,n'aura,régnera,,,,régnera,,régnera,,,finira,,eternity
αἰών,348,unigram,masculine,accusative,singular,jamais,1184.6337393923884,jamais,jamais,jamais,jamais,jamais,jamais,jamais,jamais,jamais,jamais,jamais,jamais,jamais,,eternity
ὀφθαλμός,25,unigram,masculine,accusative,plural,yeux,50331651.16904713,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,,eye
ὀφθαλμός,72,unigram,masculine,nominative,plural,yeux,8093849.231438573,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,yeux,,eye
ὀφθαλμός,345,unigram,masculine,nominative,singular,œil,507.6225032334515,oeil,œil,œil,yeux,yeux,œil,oeil,œil,œil,œil,œil,œil,yeux,,eye
πρόσωπον,143,unigram,neuter,accusative,plural,visage,431.2199516060819,visage,visage,visage,visage,,visage,visage,visage,visage,,visage,visage,,,face
πρόσωπον,219,unigram,neuter,accusative,singular,face,8.541260812593066,face,visage,face,visage,,face,,visage,face,,face,visage,front,,face
λιμός,108,unigram,feminine,nominative,singular,famine,1.9465841346028725,,famine,,famine,,famine,famine,,famine,famine,,,,,famine
λιμός,158,unigram,masculine,nominative,singular,famine,2.083112168812859,famine,,famine,,,famine,famine,famine,famine,,famine,famine,,,famine
γεωργός,292,unigram,masculine,nominative,plural,vignerons,514.9867670453552,cultivateurs,vignerons,vignerons,vignerons,vignerons,vignerons,vignerons,vignerons,vignerons,vignerons,vignerons,vignerons,vignerons,,"farmer, tenant"
γεωργός,57,unigram,masculine,nominative,singular,vigneron,1.5565235155608834,cultivateur,,vraie,vigneron,,,Vigneron,vraie,,vigneron,,,vigneron,,"farmer, tenant"
πατήρ,225,unigram,masculine,accusative,plural,promis,1.4738298816647568,pères,ancêtres,,promis,descendantspour,,,,,,,,promis,,father
πατήρ,351,unigram,masculine,accusative,singular,Père,38.16660130108567,Père,Père,Père,Père,Père,Père,Père,Père,Père,Père,Père,Père,Père,,father
πατήρ,360,unigram,masculine,nominative,plural,pères,1672.4288522256643,pères,ancêtres,pères,ancêtres,ancêtres,pères,pères,pères,pères,ancêtres,pères,pères,ancêtres,,father
πατήρ,213,unigram,masculine,nominative,singular,Père,2558183029.568911,Père,Père,Père,Père,Père,Père,Père,Père,Père,Père,Père,Père,Père,,father
σύνδουλος,167,unigram,masculine,accusative,plural,ivrognes,2.2831491212233326,ivrognes,ivrognes,adonnés,ivrognes,ivrognes,ivrognes,ivrognes,,ivrognes,ivrognes,,ivrognes,,,"fellow-servant, colleague"
σύνδουλος,102,unigram,masculine,accusative,singular,compagnon,1.3167745555846684,n'aurais-tu,,,compagnon,,,compagnon,,,,,compagnon,camarade,,"fellow-servant, colleague"
σύνδουλος,364,unigram,masculine,nominative,plural,attristés,1.6756660144691125,,,contristés,attristés,attristés,,,attristés,,attristés,,rapporter,tristes,,"fellow-servant, colleague"
σύνδουλος,132,unigram,masculine,nominative,singular,compagnon,2.0830377275474645,Use,,compagnon,compagnon,compagnon,,compagnon,compagnon,,compagnon,compagnon,compagnon,,,"fellow-servant, colleague"
ἀγρός,377,unigram,masculine,accusative,plural,campagnes,12.849879974104221,campagnes,campagnes,champs,fermes,sœurs,campagnes,villages,hameaux,campagnes,champs,campagnes,villages,villages,,field
ἀγρός,46,unigram,masculine,accusative,singular,champ,66914.78837448166,champ,champ,champ,champ,champ,champ,champ,champ,champ,champ,champ,champ,champ,,field
δάκτυλος,268,unigram,masculine,accusative,plural,doigts,3.049105963837606,doigts,doigts,doigts,doigts,,doigts,,doigts,doigts,doigts,doigts,,,,finger
δάκτυλος,204,unigram,masculine,accusative,singular,doigt,12.976532918857615,doigt,doigt,doigt,doigt,doigt,doigt,doigt,doigt,doigt,doigt,doigt,doigt,doigt,,finger
ἰχθύς,177,unigram,masculine,accusative,plural,poissons,18.704620416164413,poissons,poissons,poissons,pains,poissons,poissons,poissons,poissons,poissons,poissons,poissons,poissons,poissons,,fish
ἰχθύς,218,unigram,masculine,accusative,singular,poisson,83.478257858896,poisson,poisson,serpent,poisson,poisson,poisson,poisson,poisson,poisson,poisson,poisson,poisson,poisson,,fish
δίκτυον,126,unigram,neuter,accusative,plural,filets,1209712.8011234442,filets,filets,filets,filets,filets,filets,filets,filets,filets,filets,filets,filets,filets,,fishing net
δίκτυον,228,unigram,neuter,accusative,singular,filet,8.069196952430142,filet,filet,filet,filet,filet,filet,filet,filet,filet,filet,filet,filet,filet,,fishing net
δίκτυον,199,unigram,neuter,nominative,plural,quantité,1.4434281885077358,,,quantité,,,quantité,,déchiraient,quantité,,,quantité,filets,,fishing net
δίκτυον,280,unigram,neuter,nominative,singular,153,1.2729857256897277,,,,,,,cinquante-trois,,,153,,,153,,fishing net
τροφή,282,unigram,feminine,accusative,plural,vivres,1.6817805153244325,,acheter,vivres,allés,allés,vivres,vivres,vivres,,,vivres,vivres,allés,,food
τροφή,372,unigram,feminine,accusative,singular,,,nourriture,établi,,chargé,personnel,,nourriture,domestiques,,chargé,,établi,,,food
πούς,271,unigram,masculine,accusative,plural,pieds,257621941180.59763,pieds,pieds,pieds,pieds,pieds,pieds,pieds,pieds,pieds,pieds,pieds,pieds,pieds,,foot
πούς,130,unigram,masculine,accusative,singular,heurtes,1.2141048763562068,heurtes,,,,,,heurtes,,,,,,,,foot
καρπός,210,unigram,masculine,accusative,plural,fruits,24439.842111331098,fruits,fruits,fruits,fruits,fruits,fruits,fruits,fruits,fruits,fruits,fruits,fruits,récolte,,"fruit, crop, harvest"
καρπός,266,unigram,masculine,accusative,singular,fruit,2901005.3358781724,fruit,fruit,fruit,fruits,fruit,fruit,fruit,fruit,fruit,fruits,fruit,fruit,fruits,,"fruit, crop, harvest"
πλήρωμα,310,unigram,neuter,accusative,plural,morceaux,168.58528484621027,morceaux,morceaux,morceaux,morceaux,morceaux,morceaux,pleines,morceaux,morceaux,morceaux,morceaux,morceaux,morceaux,,fullness
πλήρωμα,371,unigram,neuter,accusative,singular,déchirure,1.122614852308986,,,,déchirure,,,,,,déchirure,,,arrache,,fullness
γενεά,312,unigram,feminine,accusative,plural,,,,,,tempspour,,,,,,,,,envers,,generation
γενεά,267,unigram,feminine,accusative,singular,génération,3477.619567154181,génération,génération,génération,d'aujourd'hui,enfants,génération,génération,génération,génération,génération,génération,génération,aujourd,,generation
γενεά,358,unigram,feminine,nominative,plural,générations,63.99013835964737,générations,générations,générations,,,générations,,,générations,,générations,,,,generation
γενεά,172,unigram,feminine,nominative,singular,génération,1799.0672470865695,génération,génération,génération,d'aujourd'hui,infidèles,génération,génération,génération,génération,génération,génération,race,aujourd,,generation
δῶρον,350,unigram,neuter,accusative,plural,offrandes,4.625771902389566,dons,offrandes,,,,offrandes,,offrandes,offrandes,,offrandes,offrandes,mettent,,gift
δῶρον,188,unigram,neuter,accusative,singular,,,don,l'autel,l'autel,offrande,offrande,offrande,l'autel,offrande,l'autel,offrande,l'autel,l'autel,offrande,,gift
ἡγεμών,196,unigram,masculine,accusative,plural,gouverneurs,5.555865527360973,,gouverneurs,gouverneurs,gouverneurs,gouverneurs,gouverneurs,Gouverneurs,gouverneurs,gouverneurs,gouverneurs,gouverneurs,gouverneurs,gouverneurs,,"governor, ruler"
ἡγεμών,14,unigram,masculine,accusative,singular,étonna,1.4434281885077358,étonnait,étonna,grief,étonné,étonnement,étonna,étonnait,,étonna,étonné,étonna,gouverneur,,,"governor, ruler"
ἀσπασμός,363,unigram,masculine,accusative,plural,,,,salués,publiques,,publiques,publiques,salutations,salués,publiques,salués,salutations,salués,salue,,greeting
ἀσπασμός,197,unigram,masculine,accusative,singular,salutation,1.5819950289610416,,,salutation,,,salutation,,,salutation,bondit,salutation,salutation,,,greeting
ὁδηγός,6,unigram,masculine,nominative,plural,Laissez-les,1.3760770933761346,,,Laissez-les,,,,,,,,,conduisent,Laissez-les,,guide
ὁδηγός,4,unigram,masculine,nominative,singular,aveugles,49.80645706575885,aveugles,aveugles,aveugles,aveugles,aveugles,aveugles,Conducteurs,aveugles,aveugles,aveugles,aveugles,aveugles,guides,,guide
θρίξ,43,unigram,feminine,accusative,singular,noir,1.096091603901298,,,,,noir,,,,,,,,,,hair
θρίξ,107,unigram,feminine,nominative,plural,,,,,,,comptés,,,,,,,,cheveux,,hair
θρίξ,248,unigram,feminine,nominative,singular,cheveu,30.04595310975782,,cheveu,cheveu,cheveu,cheveu,cheveu,cheveu,cheveu,cheveux,cheveu,cheveu,cheveu,cheveu,,hair
χείρ,354,unigram,feminine,accusative,plural,mains,448388138.62495166,mains,mains,mains,mains,mains,mains,mains,mains,mains,mains,mains,mains,mains,,hand
