lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2347_translation,version_2341_translation,version_2339_translation,version_2353_translation,version_2340_translation,version_2355_translation,version_2342_translation,version_2345_translation,version_2351_translation,version_2338_translation,version_2337_translation,version_2350_translation,version_2354_translation,version_2343_translation,version_2348_translation,version_2344_translation,version_2349_translation,version_2346_translation,version_2352_translation,english_translation
φραγμός,598,uni_token,masculine,accusative,singular,籬,1.1062588450262767,,,,籬,,,,,,,,,,,,,,,,"barrier, wall"
ἀρχή,546,uni_token,feminine,accusative,plural,,,,,申,辯,申,府,,府,府,申,府,,府,申,駁,府,申,申,員,beginning
ἀρχή,680,uni_token,feminine,accusative,singular,初,44.60408131013641,初,初,初,始,初,初,初,初,初,,初,,服,初,初,初,初,初,彰,beginning
ζώνη,671,uni_token,feminine,accusative,plural,銅,2.8628289408597083,銅,袋,銅,銅,,金,袋,銅,銅,,銅,,銅,銅,銅,銅,銅,銅,,belt
βλασφημία,498,uni_token,feminine,accusative,plural,僭,1.6959355072482705,妄,,僭,冒,議,僭,,僭,僭,,僭,,瀆,,辱,僭,僭,僭,,blasphemy
βλασφημία,579,uni_token,feminine,accusative,singular,撕,1.3727731196391755,妄,撕,,僭,撕,撕,撕,僭,僭,撕,僭,,,,,僭,撕,,裂,blasphemy
βλασφημία,710,uni_token,feminine,nominative,plural,謗,2.8059534872036735,,,謗,,謗,妄,,讟,讟,謗,讟,,褻,惡,褻,讟,謗,謗,謗,blasphemy
βλασφημία,562,uni_token,feminine,nominative,singular,謗,4.482912763988168,,,謗,謗,謗,,,,,詐,,,,,,,謗,驕,,blasphemy
πλοῖον,591,uni_token,neuter,accusative,plural,船,805.3723724916169,船,船,船,船,船,船,船,船,船,船,船,,船,船,船,船,船,船,船,boat
πλοῖον,831,uni_token,neuter,accusative,singular,船,28956305088.030277,船,船,船,舟,船,船,船,船,船,船,船,,船,船,船,船,船,船,船,boat
πλοῖον,748,uni_token,neuter,nominative,plural,船,5.545661583730374,船,船,船,駛,船,船,船,船,載,仍,船,,辭,便,船,船,船,載,乘,boat
πλοῖον,732,uni_token,neuter,nominative,singular,船,65182.82333510329,船,船,船,陸,船,船,船,船,船,船,船,,船,船,船,船,船,船,船,boat
σῶμα,720,uni_token,neuter,nominative,plural,腿,1.7993780486291309,身,搬,體,腿,挂,腿,搬,腿,腿,體,腿,,屍,體,尸,腿,腿,體,打,body
σῶμα,532,uni_token,neuter,nominative,singular,身,33.55803142895776,身,體,身,身,身,身,體,身,身,體,身,,身,體,體,身,身,體,體,body
κλῆμα,528,uni_token,neuter,nominative,plural,枝,6.851160329325697,枝,枝,枝,枝,茂,枝,枝,枝,枝,枝,枝,,枝,幹,枝,枝,絕,枝,枝,branch
κλῆμα,643,uni_token,neuter,nominative,singular,枝,277.52537542590096,枝,枝,枝,枝,枝,枝,枝,枝,枝,枝,枝,,枝,枝,枝,枝,枝,枝,枝,branch
ἄρτος,836,uni_token,masculine,accusative,plural,餅,117735051121.05193,餅,餅,餅,餅,餅,餅,餅,餅,餅,餅,餅,,餅,餅,餅,餅,餅,餅,餅,bread
ἄρτος,869,uni_token,masculine,accusative,singular,餅,3694.031561435254,餅,餅,餅,餅,餅,餅,餅,餅,餅,餅,餅,,餅,餅,餅,餅,餅,餅,餅,bread
ἄρτος,652,uni_token,masculine,nominative,plural,餅,33657.95883232818,,餅,餅,餅,餅,餅,餅,餅,餅,物,餅,,餅,餅,餅,餅,餅,食,夠,bread
ἄρτος,507,uni_token,masculine,nominative,singular,糧,2685.443112255136,物,糧,糧,糧,餅,餅,糧,糧,餅,糧,糧,,糧,餅,糧,糧,餅,食,糧,bread
ἀδελφός,820,uni_token,masculine,accusative,plural,兄,1.7543032812343242,兄,兄,兄,兄,,兄,兄,兄,兄,兄,兄,,兄,兄,兄,兄,兄,,兄,brother
ἀδελφός,608,uni_token,masculine,accusative,singular,兄,1.9113557298638832,兄,弟,兄,弟,,兄,弟,兄,兄,弟,兄,,兄,弟,兄,兄,兄,弟,弟,brother
ἀδελφός,597,uni_token,masculine,nominative,plural,兄,1.4988850022543165,兄,兄,兄,弟,,兄,兄,兄,兄,弟,兄,,兄,兄,兄,兄,兄,弟,弟,brother
ἀδελφός,739,uni_token,masculine,nominative,singular,兄,1.5932091586273989,兄,弟,兄,弟,,兄,弟,兄,兄,弟,兄,,兄,弟,弟,兄,兄,弟,弟,brother
στῆθος,649,uni_token,neuter,accusative,plural,捶,3.006961793641532,,捶,,捶,,捶,捶,捶,捶,,捶,,膛,搥,捶,捶,,捶,,"chest, breast"
στῆθος,803,uni_token,neuter,accusative,singular,胸,4566.074565478588,胸,胸,胸,胸,胸,胸,胸,胸,胸,貼,胸,,胸,胸,胸,胸,懷,胸,啊,"chest, breast"
ἀρχιερεύς,754,uni_token,masculine,accusative,plural,司,2.2793647776555033,司,司,司,司,目,司,司,司,祭,司,司,,祭,司,司,司,司,司,司,chief priest
ἀρχιερεύς,533,uni_token,masculine,accusative,singular,司,2.40174370986934,司,司,司,司,司,司,司,司,祭,司,司,,祭,司,司,司,司,押,押,chief priest
ἀρχιερεύς,607,uni_token,masculine,nominative,plural,司,1.5562510649394679,司,司,司,司,目,司,司,司,祭,司,司,,祭,司,司,司,司,司,司,chief priest
ἀρχιερεύς,760,uni_token,masculine,nominative,singular,司,2.1802773901090604,司,司,司,司,司,司,司,司,祭,司,司,,祭,司,司,司,司,司,司,chief priest
παῖς,744,uni_token,masculine,accusative,plural,怒,14.249425127800544,歲,之,詳,,怒,怒,之,怒,怒,男,怒,,歲,歲,,怒,孩,怒,惱,child
παῖς,519,uni_token,masculine,accusative,singular,摔,1.7689503927521315,,摔,,,抓,,摔,摔,摔,劇,摔,,攪,摔,筋,摔,,,摔,child
τέκνον,860,uni_token,neuter,accusative,plural,女,3.5233592449757944,女,女,兒,女,子,女,女,女,女,女,女,,兒,女,子,女,女,女,兒,child
τέκνον,677,uni_token,neuter,accusative,singular,兄,1.1537679208657374,兄,置,兄,犧,,抗,置,送,送,兄,送,,兄,置,置,送,兄,悖,兄,child
τέκνον,480,uni_token,neuter,nominative,plural,,,反,置,送,犧,待,抗,置,送,送,置,送,,反,置,置,送,攻,悖,,child
τέκνον,692,uni_token,neuter,nominative,singular,,,兒,孩,兒,孩,呵,癱,孩,兒,兒,孩,兒,,兒,孩,孩,兒,兒,孩,孩,child
παιδίον,478,uni_token,neuter,accusative,plural,孩,3.212288737798293,孩,孩,孩,阻,孩,孩,孩,孩,孩,孩,孩,,攔,阻,似,孩,幼,孩,孩,child
παιδίον,572,uni_token,neuter,accusative,singular,孩,110170.59369941957,孩,孩,孩,孩,孩,孩,孩,孩,孩,孩,孩,,孩,孩,嬰,孩,孩,孩,孩,child
παιδίον,669,uni_token,neuter,nominative,plural,孩,7939.653569035343,孩,孩,孩,孩,小,孩,孩,孩,孩,孩,孩,,孩,孩,孩,孩,孩,孩,孩,child
παιδίον,509,uni_token,neuter,nominative,singular,孩,3102140.2829868994,孩,孩,孩,孩,孩,孩,孩,孩,孩,孩,孩,,孩,孩,嬰,孩,嬰,孩,孩,child
πόλις,681,uni_token,feminine,accusative,plural,城,249892.2686800881,城,城,城,城,城,城,城,城,城,城,城,,城,城,城,城,城,城,城,city
πόλις,537,uni_token,feminine,accusative,singular,城,1795840164754730.2,城,城,城,城,城,城,城,城,城,城,城,,城,城,城,城,城,城,城,city
πύλη,781,uni_token,feminine,nominative,plural,陰,1.8220453758139392,,陰,陰,,磐,陰,陰,陰,陰,磐,陰,,磐,磐,磐,陰,,勢,磐,city gate
πύλη,709,uni_token,feminine,nominative,singular,窄,116.32804984260775,窄,,窄,窄,窄,窄,,窄,窄,窄,窄,,窄,窄,窄,窄,窄,窄,窄,city gate
χιτών,603,uni_token,masculine,accusative,plural,衣,7.962401413490828,衣,衣,衣,衣,衣,件,衣,件,件,衣,件,,衣,衣,衣,件,衣,衣,服,"clothing, undergarments"
χιτών,495,uni_token,masculine,accusative,singular,衣,14.245503231925296,衣,衣,衣,衣,衣,衣,衣,衣,衣,衣,衣,,袍,衣,衣,衣,衣,拿,內,"clothing, undergarments"
ἱμάτιον,622,uni_token,neuter,accusative,plural,衣,925.0200651766041,衣,衣,衣,衣,衣,衣,衣,衣,衣,衣,衣,,裳,衣,衣,衣,衣,衣,衣,coat
ἱμάτιον,621,uni_token,neuter,accusative,singular,衣,225092.51127149077,衣,衣,衣,衣,衣,衣,衣,衣,衣,衣,衣,,衣,衣,衣,衣,衣,衣,衣,coat
ἐντολή,559,uni_token,feminine,accusative,plural,命,40.523300759865016,命,命,誡,誡,誡,命,命,命,命,命,命,,命,命,誡,命,誡,命,命,commandment
ἐντολή,557,uni_token,feminine,accusative,singular,命,53.755375553104535,命,命,誡,令,誡,命,命,命,命,命,命,,命,命,命,命,誡,命,命,commandment
συνέδριον,841,uni_token,neuter,accusative,plural,鞭,3.6260532161604107,公,鞭,,打,公,鞭,鞭,,,,,,,議,鞭,,公,鞭,庭,council
συνέδριον,523,uni_token,neuter,accusative,singular,公,14.011428647985092,公,議,公,議,聚,集,議,公,公,議,公,,公,議,招,公,公,公,公,council
χώρα,552,uni_token,feminine,accusative,plural,熟,2.522042295315581,稼,,熟,,熟,月,,熟,稼,稼,熟,,月,熟,月,熟,熟,穫,熟,"country, countryside"
χώρα,808,uni_token,feminine,accusative,singular,方,177.0742067944612,方,區,方,岸,方,方,區,方,方,方,方,,方,區,區,方,方,區,到,"country, countryside"
ὄχλος,529,uni_token,masculine,accusative,plural,眾,6344.3572495284525,眾,眾,眾,群,眾,群,眾,眾,眾,群,衆,,眾,眾,眾,眾,眾,群,眾,crowd
ὄχλος,471,uni_token,masculine,accusative,singular,眾,8047.075036871517,眾,眾,眾,群,眾,群,眾,眾,眾,群,衆,,眾,群,眾,眾,眾,群,眾,crowd
ὄχλος,584,uni_token,masculine,nominative,plural,眾,14886.735166248138,眾,眾,眾,群,眾,群,眾,眾,眾,群,衆,,眾,群,眾,眾,眾,眾,群,crowd
ὄχλος,798,uni_token,masculine,nominative,singular,群,46.345856229619336,眾,羣,許,群,眾,群,群,眾,眾,群,衆,,眾,群,群,眾,眾,群,群,crowd
θυγάτηρ,601,uni_token,feminine,nominative,plural,轉,1.9126870625625252,轉,轉,轉,哭,呀,轉,轉,轉,,轉,轉,,轉,轉,轉,轉,轉,轉,轉,daughter
θυγάτηρ,835,uni_token,feminine,nominative,singular,女,1594.4582723364078,女,女,女,女,女,女,女,女,女,女,女,,女,女,女,女,女,女,女,daughter
ἡμέρα,550,uni_token,feminine,accusative,plural,,,天,天,日,日,天,日,天,日,日,天,日,,日,天,天,日,日,天,天,day
ἡμέρα,563,uni_token,feminine,accusative,singular,天,169.26962756491588,殿,天,日,日,天,天,天,天,天,天,天,,殿,天,殿,天,日,天,天,day
ἡμέρα,460,uni_token,feminine,nominative,plural,日,503953.37420745904,日,日,日,日,日,日,日,日,日,日,日,,日,日,期,日,日,日,天,day
ἡμέρα,539,uni_token,feminine,nominative,singular,日,8116.946148712487,日,日,日,日,日,日,日,日,日,日,日,,日,天,日,日,日,天,天,day
ὀφειλέτης,763,uni_token,masculine,nominative,plural,樓,1.876985221827862,塔,樓,坍,債,壓,樓,樓,樓,樓,樓,樓,,塔,壓,塔,樓,,樓,樓,debtor
ὀφειλέτης,611,uni_token,masculine,nominative,singular,欠,2.117639684204794,欠,欠,欠,債,初,賬,欠,,算,欠,,,元,賬,賬,,算,剛,欠,debtor
δαιμόνιον,496,uni_token,neuter,accusative,plural,鬼,7.982215632505165,趕,鬼,鬼,驅,鬼,鬼,鬼,鬼,鬼,,鬼,,驅,鬼,魔,鬼,鬼,鬼,趕,demon
δαιμόνιον,853,uni_token,neuter,accusative,singular,鬼,216.7909892661026,鬼,鬼,鬼,鬼,鬼,鬼,鬼,鬼,鬼,,鬼,,魔,魔,魔,鬼,鬼,鬼,鬼,demon
δαιμόνιον,694,uni_token,neuter,nominative,plural,鬼,15065267.636695962,鬼,鬼,鬼,魔,鬼,鬼,鬼,鬼,鬼,,鬼,,鬼,鬼,附,鬼,鬼,鬼,鬼,demon
δαιμόνιον,667,uni_token,neuter,nominative,singular,鬼,1324.5054550519856,鬼,鬼,鬼,鬼,鬼,鬼,鬼,鬼,鬼,,鬼,,鬼,鬼,鬼,鬼,鬼,鬼,鬼,demon
δηνάριον,825,uni_token,neuter,accusative,plural,銀,5.649359180337337,欠,幣,銀,銀,銀,銀,幣,銀,銀,幣,銀,,銀,塊,欠,銀,銀,幣,幣,denarius (about a day's wages)
δηνάριον,654,uni_token,neuter,accusative,singular,錢,36.29037060926328,錢,幣,錢,錢,錢,錢,幣,錢,錢,幣,錢,,錢,納,銀,錢,錢,幣,幣,denarius (about a day's wages)
μαθητής,674,uni_token,masculine,accusative,plural,徒,20.674644326212498,徒,徒,徒,徒,學,徒,徒,徒,徒,徒,徒,,徒,徒,徒,徒,徒,徒,徒,disciple
μαθητής,861,uni_token,masculine,accusative,singular,愛,2.2690534153614843,愛,愛,愛,鍾,愛,徒,愛,愛,徒,愛,愛,,愛,徒,特,愛,愛,愛,愛,disciple
μαθητής,790,uni_token,masculine,nominative,plural,徒,14.75945320999964,徒,徒,徒,徒,學,徒,徒,徒,徒,徒,徒,,徒,徒,徒,徒,徒,徒,徒,disciple
μαθητής,859,uni_token,masculine,nominative,singular,徒,33.33293793599611,徒,徒,徒,徒,學,徒,徒,徒,徒,徒,徒,,徒,徒,徒,徒,徒,徒,徒,disciple
νόσος,461,uni_token,feminine,accusative,plural,病,11.399547020641705,病,疾,病,痼,病,病,疾,病,疾,疾,病,,病,疾,病,病,病,疾,病,disease
νόσος,548,uni_token,feminine,accusative,singular,症,3.7785623002100897,疾,醫,疾,,醫,殘,醫,症,症,,症,,恙,弱,殘,症,疾,症,疾,disease
περιστερά,583,uni_token,feminine,accusative,plural,鴿,1053.3537901266159,鴿,鴿,鴿,鴿,鴿,鴿,鴿,鴿,鴿,鴿,鴿,,鴿,鴿,鴿,鴿,鴿,鴿,鴿,dove
περιστερά,525,uni_token,feminine,accusative,singular,鴿,40.018549953949716,,,鴿,鴿,鴿,,,,鴿,鴿,,,鴿,鴿,鴿,,鴿,鴿,鴿,dove
οὖς,642,uni_token,neuter,accusative,plural,耳,16135280.898449175,耳,耳,耳,耳,朵,耳,耳,耳,耳,耳,耳,,耳,耳,耳,耳,耳,耳,耳,ear
οὖς,797,uni_token,neuter,accusative,singular,耳,1955.7234925277,耳,耳,耳,耳,朵,耳,耳,耳,耳,耳,耳,,耳,耳,耳,耳,耳,耳,頂,ear
σεισμός,701,uni_token,masculine,nominative,plural,饑,2.1413675846570954,荒,饑,荒,震,饑,饑,饑,饑,饑,饑,荒,,荒,饑,震,饑,饑,饑,震,"earthquakes, storm"
σεισμός,535,uni_token,masculine,nominative,singular,忽,245.23102330659057,忽,忽,忽,忽,忽,掩,忽,忽,忽,忽,忽,,忽,陣,忽,忽,忽,忽,,"earthquakes, storm"
τέλος,499,uni_token,neuter,accusative,plural,徵,6.225941381555123,,徵,徵,,,徵,徵,征,徵,徵,徵,,捐,繳,徵,征,徵,,賦,end
τέλος,787,uni_token,neuter,accusative,singular,底,15.311558599892226,底,底,底,底,,底,底,底,底,耐,底,,恆,底,堅,底,至,底,堅,end
αἰών,745,uni_token,masculine,accusative,plural,窮,1.8473616645553963,盡,,窮,祚,永,度,,窮,窮,盡,窮,,永,,統,窮,窮,盡,度,eternity
αἰών,821,uni_token,masculine,accusative,singular,永,4176.8985813662985,永,永,永,永,永,永,永,永,永,遠,永,,永,永,永,永,永,永,永,eternity
ὀφθαλμός,487,uni_token,masculine,accusative,plural,睛,1.8744643978275162,睛,眼,睛,眼,眼,睛,眼,睛,睛,睛,睛,,眼,眼,眼,睛,睛,睛,眼,eye
ὀφθαλμός,472,uni_token,masculine,accusative,singular,牙,308.5119862417928,牙,牙,牙,牙,睛,牙,牙,牙,牙,牙,牙,,牙,牙,牙,牙,目,牙,牙,eye
ὀφθαλμός,536,uni_token,masculine,nominative,plural,睛,22.358322367376438,睛,睛,睛,眼,睛,睛,睛,睛,睛,眼,睛,,眼,眼,眼,睛,睛,睛,眼,eye
ὀφθαλμός,818,uni_token,masculine,nominative,singular,眼,1419.4258183320294,眼,眼,眼,眼,眼,眼,眼,眼,眼,眼,眼,,眼,眼,眼,眼,睛,睛,眼,eye
πρόσωπον,610,uni_token,neuter,accusative,plural,臉,161.08720718349923,模,,臉,表,,臉,,臉,,臉,臉,,,,,臉,顏,臉,,face
πρόσωπον,689,uni_token,neuter,accusative,singular,,,臉,俯,貌,面,臉,臉,俯,貌,貌,臉,貌,,伏,臉,俯,貌,貌,臉,俯,face
λιμός,467,uni_token,feminine,nominative,plural,饑,4.633749734236558,荒,饑,荒,衡,攻,饑,饑,饑,饑,饑,荒,,饑,饑,,饑,饑,饑,鬥,famine
λιμός,830,uni_token,masculine,nominative,plural,饑,1.2013738207999172,,饑,,巨,,,饑,,,,,,,,,,,,,famine
λιμός,574,uni_token,feminine,nominative,singular,饑,2.4475045290794126,荒,,饑,,,,,,,饑,,,耗,饑,飢,,饑,饑,,famine
λιμός,626,uni_token,masculine,nominative,singular,,,,,塞,史,塞,,,,,,,,飢,飢,,,,饑,,famine
γεωργός,762,uni_token,masculine,nominative,plural,戶,9.19849131082281,戶,戶,農,農,農,戶,戶,戶,戶,農,戶,,產,戶,農,戶,戶,佃,佃,"farmer, tenant"
γεωργός,520,uni_token,masculine,nominative,singular,培,5.460673167985042,培,培,培,植,,培,培,培,培,丁,培,,,丁,農,培,,培,培,"farmer, tenant"
πατήρ,695,uni_token,masculine,accusative,plural,祖,37.306084462850315,,祖,祖,祖,祖,祖,祖,祖,祖,祖,祖,,祖,諾,,祖,祖,祖,祖,father
πατήρ,824,uni_token,masculine,accusative,singular,父,1.2951241094499348e+16,父,父,父,父,父,父,父,父,父,父,父,,父,父,父,父,父,父,父,father
πατήρ,834,uni_token,masculine,nominative,plural,祖,193.0846867289765,,,,祖,祖,,,,祖,祖,,,祖,祖,祖,,,祖,祖,father
πατήρ,682,uni_token,masculine,nominative,singular,父,2.5505120151532552e+20,父,父,父,父,父,父,父,父,父,父,父,,父,父,父,父,父,父,父,father
σύνδουλος,635,uni_token,masculine,accusative,plural,醉,3.858098986315468,伴,醉,醉,恣,伴,醉,醉,醉,醉,毆,醉,,拷,酒,酒,醉,伴,醉,,"fellow-servant, colleague"
σύνδουλος,568,uni_token,masculine,accusative,singular,伴,2.6584095616105254,,伴,伴,伙,僚,伴,伴,恤,恤,憫,恤,,伴,憫,恤,恤,僚,伴,伴,"fellow-servant, colleague"
σύνδουλος,838,uni_token,masculine,nominative,plural,伴,2.3571035677719476,夥,悲,伴,,,伴,悲,伴,伴,傷,伴,,很,悲,憤,伴,,情,憤,"fellow-servant, colleague"
σύνδουλος,599,uni_token,masculine,nominative,singular,央,1.4213844985401045,夥,央,伴,慢,僚,寛,央,央,央,央,央,,伴,跪,寛,央,僚,寬,寬,"fellow-servant, colleague"
ἀγρός,852,uni_token,masculine,accusative,plural,鄉,2.3264803139951282,鄉,鄉,鄉,田,田,鄉,鄉,鄉,鄉,田,鄕,,莊,田,姐,鄉,鄉,田,田,field
ἀγρός,508,uni_token,masculine,accusative,singular,買,4.7518256747789085,田,買,田,,田,田,買,買,田,買,買,,買,買,買,買,田,田,買,field
δάκτυλος,737,uni_token,masculine,accusative,plural,舌,4.852658647454257,濕,舌,僻,插,僻,舌,舌,舌,舌,舌,舌,,舌,插,,舌,僻,舌,舌,finger
δάκτυλος,673,uni_token,masculine,accusative,singular,肋,50.27101081727555,肋,肋,肋,肋,肋,肋,肋,肋,肋,肋,肋,,旁,肋,旁,肋,脅,肋,肋,finger
ἰχθύς,646,uni_token,masculine,accusative,plural,魚,6.652155235520273,魚,,尾,魚,魚,魚,,條,,魚,條,,魚,魚,魚,條,魚,魚,魚,fish
ἰχθύς,688,uni_token,masculine,accusative,singular,魚,714.6485326926543,魚,魚,魚,魚,魚,魚,魚,魚,魚,魚,魚,,,魚,魚,魚,魚,魚,魚,fish
δίκτυον,592,uni_token,neuter,accusative,plural,網,70126079.3484705,網,網,網,網,網,網,網,網,網,網,網,,網,網,網,網,網,網,網,fishing net
δίκτυον,698,uni_token,neuter,accusative,singular,網,73.03402443205252,網,網,網,網,網,網,網,網,網,網,網,,網,網,網,網,網,網,網,fishing net
δίκτυον,668,uni_token,neuter,nominative,plural,,,險,險,裂,脹,裂,,險,,裂,撐,,,裂,險,撐,,剛,乎,撐,fishing net
δίκτυον,749,uni_token,neuter,nominative,singular,共,1.7278115891646484,,,裂,拖,共,共,,共,裂,,共,,,雖,網,共,,共,共,fishing net
τροφή,751,uni_token,feminine,accusative,plural,買,2.6521935556655336,買,買,買,購,舀,買,買,買,買,買,買,,食,買,購,買,買,買,點,food
τροφή,847,uni_token,feminine,accusative,singular,忠,1.786261587750484,糧,精,忠,,忠,糧,精,忠,季,,忠,,忠,忠,忠,忠,忠,精,委,food
πούς,740,uni_token,masculine,accusative,plural,腳,409462646091.02673,腳,腳,脚,腳,腳,腳,腳,腳,腳,腳,脚,,腳,腳,腳,腳,腳,腳,腳,foot
πούς,596,uni_token,masculine,accusative,singular,托,1.5984173577558076,持,托,掽,掖,碰,,托,,,托,,,托,托,碰,,碰,,托,foot
καρπός,679,uni_token,masculine,accusative,plural,果,131.22089317996182,果,果,果,果,果,果,果,果,果,結,果,,結,果,果,果,果,果,果,"fruit, crop, harvest"
καρπός,735,uni_token,masculine,accusative,singular,結,8.959026185423973,結,果,結,果,結,結,果,結,結,結,結,,果,果,果,結,結,結,結,"fruit, crop, harvest"
πλήρωμα,780,uni_token,neuter,accusative,plural,裝,1.4674115006386226,碎,裝,裝,裝,拾,,裝,裝,筐,拾,裝,,,塊,碎,裝,裝,零,碎,fullness
πλήρωμα,846,uni_token,neuter,accusative,singular,綻,1.5837313785225824,綻,破,破,縫,綻,縫,破,,補,,,,綻,綻,舊,,,扯,扯,fullness
γενεά,782,uni_token,feminine,accusative,plural,畏,8.418178148704845,畏,畏,畏,慈,代,畏,畏,畏,畏,畏,畏,,代,廣,,畏,畏,畏,畏,generation
γενεά,736,uni_token,feminine,accusative,singular,代,79.43538963395095,世,代,代,代,代,代,代,代,代,代,代,,代,代,代,代,代,世,世,generation
γενεά,832,uni_token,feminine,nominative,plural,代,5476.479817832578,代,代,代,代,賤,代,代,代,代,代,代,,代,代,代,代,,代,代,generation
γενεά,641,uni_token,feminine,nominative,singular,代,10815.715858391517,代,代,代,代,代,代,代,代,代,代,代,,代,代,代,代,代,代,代,generation
δῶρον,823,uni_token,neuter,accusative,plural,捐,10.037427209089415,投,捐,輸,捐,獻,捐,捐,捐,捐,獻,捐,,獻,獻,捐,捐,捐,獻,獻,gift
δῶρον,656,uni_token,neuter,accusative,singular,禮,2.039093187304222,禮,物,物,壇,物,禮,物,禮,禮,物,禮,,獻,壇,獻,禮,禮,壇,壇,gift
ἡγεμών,665,uni_token,masculine,accusative,plural,侯,5.088990650749345,府,君,侯,總,侯,君,君,侯,,,諸,,官,,王,侯,侯,君,官,"governor, ruler"
ἡγεμών,475,uni_token,masculine,accusative,singular,總,1.5216795752532066,致,,言,總,語,覺,,,致,總,,,句,總,甚,,言,,仍,"governor, ruler"
σταφυλή,863,uni_token,feminine,accusative,singular,莓,1.2125176900525536,,,,莓,,,,,,,,,,,,,,,,grapes
