lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_410_translation,version_411_translation,version_412_translation,version_413_translation,version_414_translation,version_415_translation,version_416_translation,version_417_translation,version_418_translation,version_419_translation,version_420_translation,version_421_translation,version_422_translation,version_423_translation,english_translation
ζώνη,236,unigram,feminine,accusative,singular,groen,1.1998986978087096,,,,,,,,,,,groen,groen,Dillad,,belt
βλασφημία,33,unigram,feminine,accusative,plural,cabledd,2.181273569645285,cabledd,cabledd,cabledd,cabledd,,,,,,,,,cablu,cablu,blasphemy
βλασφημία,102,unigram,feminine,accusative,singular,gablawdd,1.095421848054621,,,,,,,,,,,gablawdd,,,,blasphemy
βλασφημία,90,unigram,feminine,nominative,singular,cabledd,14.262374960710563,cabledd,cabledd,cabledd,cabledd,,,,,,,,,,,blasphemy
πλοῖον,113,unigram,neuter,accusative,plural,gwch,8.912648398552921,gwch,gwch,long,long,gwch,,,,,,long,long,gwch,gwch,boat
πλοῖον,325,unigram,neuter,accusative,singular,cwch,639.7428263037045,cwch,cwch,llong,llong,cwch,,,,,,llong,llong,cwch,cwch,boat
πλοῖον,253,unigram,neuter,nominative,plural,longau,1.1219371580919615,,,longau,longau,ebrwydd,,,,,,,,,cychod,boat
πλοῖον,238,unigram,neuter,nominative,singular,cwch,10.667450507698964,cwch,cwch,llong,llong,cwch,,,,,,yn‐cenol,yn‐cenol,cwch,cwch,boat
σῶμα,227,unigram,neuter,nominative,plural,cyrff,7.999416676876853,cyrff,cyrff,,,,,,,,,,,,cyrff,body
σῶμα,62,unigram,neuter,nominative,singular,gorff,16.47644744288271,gorff,gorff,gorff,gorff,gorph,,,,,,corph,corph,corff,gorff,body
κλῆμα,58,unigram,neuter,nominative,plural,canghennau,1.0591090190634709,,,,,canghennau,,,,,,,,,,branch
κλῆμα,159,unigram,neuter,nominative,singular,,,gangen,gangen,erys,erys,gangen,,,,,,erys,erys,ynof,gangen,branch
ἄρτος,330,unigram,masculine,accusative,plural,torth,235.02910612337877,torth,torth,torth,torth,torth,,,,,,torth,torth,torth,torth,bread
ἄρτος,359,unigram,masculine,accusative,singular,bara,824.043139252559,bara,bara,bara,bara,bara,,,,,,bara,bara,bara,bwyta,bread
ἄρτος,166,unigram,masculine,nominative,plural,fara,20.473568331481374,fara,fara,fara,fara,dorthau,,,,,,vara,vara,fara,fara,bread
ἄρτος,39,unigram,masculine,nominative,singular,bara,764.5859878635114,bara,bara,bara,bara,bara,,,,,,bara,bara,bara,bara,bread
ἀδελφός,315,unigram,masculine,accusative,plural,frodyr,161.86545668491075,frodyr,frodyr,frodyr,frodyr,frodyr,,,,,,vroder,vroder,frodyr,frodyr,brother
ἀδελφός,129,unigram,masculine,accusative,singular,frawd,133.32339001047805,frawd,frawd,frawd,frawd,frawd,,,,,,vrawt,vrawt,frawd,frawd,brother
ἀδελφός,119,unigram,masculine,nominative,plural,frodyr,937.5463030876373,frodyr,frodyr,frodyr,frodyr,frodyr,,,,,,broder,broder,frodyr,frodyr,brother
ἀδελφός,245,unigram,masculine,nominative,singular,frawd,67.0727265567482,frawd,frawd,frawd,frawd,frawd,,,,,,vrawt,vrawt,frawd,frawd,brother
στῆθος,164,unigram,neuter,accusative,plural,olygfa,1.3459632311191176,olygfa,olygfa,,,,,,,,,,,,galaru,"chest, breast"
στῆθος,300,unigram,neuter,accusative,singular,,,fynwes,fynwes,ddwyfron,ddwyfron,ddwyfron,,,,,,,,fynwes,,"chest, breast"
ἀρχιερεύς,259,unigram,masculine,accusative,plural,archoffeiriaid,70.80824322768625,,,archoffeiriaid,archoffeiriaid,archoffeiriaid,,,,,,Archoffeiriait,Archoffeiriait,offeiriaid,prif,chief priest
ἀρχιερεύς,63,unigram,masculine,accusative,singular,archoffeiriad,22.701071258919484,archoffeiriad,archoffeiriad,archoffeiriad,archoffeiriad,archoffeiriad,,,,,,Archoffeiriat,Archoffeiriat,,archoffeiriad,chief priest
ἀρχιερεύς,128,unigram,masculine,nominative,plural,offeiriaid,1.3109256329377799,offeiriaid,offeiriaid,archoffeiriaid,archoffeiriaid,archoffeiriaid,,,,,,Archoffeiriait,Archoffeiriait,offeiriaid,offeiriaid,chief priest
ἀρχιερεύς,263,unigram,masculine,nominative,singular,archoffeiriad,3096.311735819291,archoffeiriad,archoffeiriad,archoffeiriad,archoffeiriad,archoffeiriad,,,,,,Archoffeiriat,Archoffeiriat,Offeiriad,archoffeiriad,chief priest
παῖς,50,unigram,masculine,accusative,singular,gynhyrfu,1.121775902365307,gynhyrfu,gynhyrfu,,,rhwygodd,,,,,,gerydawdd,,,,child
τέκνον,350,unigram,neuter,accusative,plural,blant,161.78684299765914,blant,blant,blant,blant,blant,,,,,,blant,blant,blant,blant,child
τέκνον,188,unigram,neuter,accusative,singular,,,plant,plant,brawd,brawd,brawd,,,,,,plant,plant,brawd,blentyn,child
τέκνον,18,unigram,neuter,nominative,plural,,,,,blentyn,blentyn,,,,,,,plant,plant,thad,,child
τέκνον,204,unigram,neuter,nominative,singular,Ha,2.6036235155725476,Fy,Fy,Ha,Ha,mhlentyn,,,,,,Ha,Ha,mab,Machgen,child
παιδίον,16,unigram,neuter,accusative,plural,,,rhwystro,rhwystro,bychain,bychain,cyfryw,,,,,,cyfryw,cyfryw,rhwystro,plant,child
παιδίον,96,unigram,neuter,accusative,singular,plentyn,250.64831160899155,plentyn,plentyn,bychan,bychan,plentyn,,,,,,vachcenyn,vachcenyn,plentyn,plentyn,child
παιδίον,181,unigram,neuter,nominative,plural,plant,2.1418347303159564,plant,plant,bychain,bychain,blant,,,,,,,,,plant,child
παιδίον,41,unigram,neuter,nominative,singular,plentyn,582.8642576443655,plentyn,plentyn,,,plentyn,,,,,,bachcenyn,bachcenyn,plentyn,plentyn,child
πόλις,192,unigram,feminine,accusative,plural,ddinasoedd,51.40200647723987,trefi,trefi,ddinasoedd,ddinasoedd,,,,,,,ddinasoedd,ddinasoedd,ddinasoedd,trefi,city
πόλις,67,unigram,feminine,accusative,singular,ddinas,132.58785946972446,dref,dref,ddinas,ddinas,ddinas,,,,,,dinas,dinas,ddinas,dref,city
πύλη,218,unigram,feminine,nominative,singular,cyfyng,1.7088933677830973,cyfyng,cyfyng,cyfyng,cyfyng,porth,,,,,,cyfing,cyfing,cyfyng,gul,city gate
χιτών,124,unigram,masculine,accusative,plural,bais,20.251266790931087,grys,grys,bais,bais,bais,,,,,,bais,bais,grys,sbâr,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,bais,12.439753466427593,grys,grys,bais,bais,bais,,,,,,bais,bais,foch,grys,"clothing, undergarments"
ἱμάτιον,140,unigram,neuter,accusative,plural,ddillad,1.836860406830516,ddillad,ddillad,ddillad,ddillad,ddillad,,,,,,ddillat,ddillat,ddillad,ddillad,coat
ἱμάτιον,139,unigram,neuter,accusative,singular,,,fantell,fantell,gochl,gochl,gochl,,,,,,gochyl,gochyl,fantell,gôt,coat
ἐντολή,87,unigram,feminine,accusative,plural,gorchmynion,16.38145405274191,gorchmynion,gorchmynion,gorchmynion,gorchmynion,gorchymynion,,,,,,neb,neb,gorchmynion,gofala,commandment
ἐντολή,85,unigram,feminine,accusative,singular,gorchymyn,29.57633603783001,gorchymyn,gorchymyn,orchymyn,orchymyn,orchymyn,,,,,,gorchymyn,gorchymyn,gorchymyn,traddodiadau,commandment
συνέδριον,334,unigram,neuter,accusative,plural,,,lysoedd,lysoedd,cynghorau,cynghorau,yʼch,,,,,,ach,ach,llysoedd,awdurdodau,council
συνέδριον,54,unigram,neuter,accusative,singular,archoffeiriaid,1.7135792826722043,prif,prif,archoffeiriaid,archoffeiriaid,archoffeiriaid,,,,,,Archoffeiriait,Archoffeiriait,Cyngor,Sanhedrin,council
χώρα,80,unigram,feminine,accusative,plural,gwynion,1.059148316217731,,,,,gwynion,,,,,,,,,,"country, countryside"
χώρα,303,unigram,feminine,accusative,singular,wlad,518.6691762852524,wlad,wlad,wlad,wlad,wlad,,,,,,wlat,wlat,wlad,ardal,"country, countryside"
ὄχλος,59,unigram,masculine,accusative,plural,dyrfa,14.673908922939171,tyrfaoedd,tyrfaoedd,torfeydd,torfeydd,torfeydd,,,,,,dyrfa,dyrfa,dyrfa,dyrfa,crowd
ὄχλος,11,unigram,masculine,accusative,singular,dyrfa,526813.9160496877,dyrfa,dyrfa,dyrfa,dyrfa,dyrfa,,,,,,dyrva,dyrva,dyrfa,dyrfa,crowd
ὄχλος,106,unigram,masculine,nominative,plural,tyrfaoedd,54.90010363642502,tyrfaoedd,tyrfaoedd,bobloedd,bobloedd,torfeydd,,,,,,populoedd,populoedd,dyrfa,tyrfaoedd,crowd
ὄχλος,295,unigram,masculine,nominative,singular,dyrfa,114.92225867465477,dyrfa,dyrfa,dyrfa,dyrfa,dyrfa,,,,,,popul,popul,dyrfa,dyrfa,crowd
θυγάτηρ,122,unigram,feminine,nominative,plural,Merched,1.200090547449945,,,Merched,Merched,,,,,,,,,,,daughter
θυγάτηρ,329,unigram,feminine,nominative,singular,merch,3.041199548935203,merch,merch,ferch,ferch,merch,,,,,,verch,verch,merch,ferch,daughter
ἡμέρα,78,unigram,feminine,accusative,plural,diwrnod,2.962953131404286,diwrnod,diwrnod,dyddiau,dyddiau,dyddiau,,,,,,diernot,diernot,diwrnod,diwrnod,day
ἡμέρα,91,unigram,feminine,accusative,singular,dydd,34.12555784565467,dydd,dydd,beunydd,beunydd,dydd,,,,,,dydd,dydd,dydd,dydd,day
ἡμέρα,2,unigram,feminine,nominative,plural,dyddiau,504.305472570059,dyddiau,dyddiau,dyddiau,dyddiau,dyddiau,,,,,,dyddiae,dyddiae,amser,bryd,day
ἡμέρα,69,unigram,feminine,nominative,singular,dydd,24.27237442469997,ddydd,ddydd,dydd,dydd,dydd,,,,,,dydd,dydd,ddydd,hwyr,day
ὀφειλέτης,265,unigram,masculine,nominative,plural,troseddwyr,1.1216927745330212,troseddwyr,troseddwyr,,,,,,,,,,,,waeth,debtor
δαιμόνιον,31,unigram,neuter,accusative,plural,gythreuliaid,20.21105368506751,gythreuliaid,gythreuliaid,gythreuliaid,gythreuliaid,cythreuliaid,,,,,,allan,allan,gythreuliaid,gythreuliaid,demon
δαιμόνιον,344,unigram,neuter,accusative,singular,cythraul,882.6105750091212,cythraul,cythraul,cythraul,cythraul,cythraul,,,,,,cythrael,cythrael,cythraul,cythraul,demon
δαιμόνιον,206,unigram,neuter,nominative,plural,cythreuliaid,1038.0248760977438,cythreuliaid,cythreuliaid,cythreuliaid,cythreuliaid,cythreuliaid,,,,,,cythraelieit,cythraelieit,cythreuliaid,cythreuliaid,demon
δαιμόνιον,180,unigram,neuter,nominative,singular,cythraul,2211.6551282948894,cythraul,cythraul,cythraul,cythraul,cythraul,,,,,,cythrael,cythrael,cythraul,cythraul,demon
δηνάριον,320,unigram,neuter,accusative,plural,,,arian,arian,ceiniog,ceiniog,denar,,,,,,ceiniawc,ceiniawc,hanner,dyled,denarius (about a day's wages)
δηνάριον,168,unigram,neuter,accusative,singular,,,arian,arian,geiniog,geiniog,ddenar,,,,,,geiniawc,geiniawc,gyflogwyd,darn,denarius (about a day's wages)
μαθητής,186,unigram,masculine,accusative,plural,ddisgyblion,62585.59861472422,ddisgyblion,ddisgyblion,ddisgyblion,ddisgyblion,ddisgyblion,,,,,,ddiscipulon,ddiscipulon,ddisgyblion,ddisgyblion,disciple
μαθητής,351,unigram,masculine,accusative,singular,disgybl,11.504984553548159,disgybl,disgybl,disgybl,disgybl,disgybl,,,,,,discipul,discipul,disgybl,garu,disciple
μαθητής,289,unigram,masculine,nominative,plural,ddisgyblion,16.01068411984863,ddisgyblion,ddisgyblion,ddisgyblion,ddisgyblion,ddisgyblion,,,,,,ddiscipulon,ddiscipulon,ddisgyblion,disgyblion,disciple
μαθητής,349,unigram,masculine,nominative,singular,disgybl,878.3014950016707,disgybl,disgybl,disgybl,disgybl,disgybl,,,,,,discipul,discipul,disgybl,disgybl,disciple
νόσος,3,unigram,feminine,accusative,plural,clefydau,22.100458429695674,clefydau,clefydau,clefydau,clefydau,clefydau,,,,,,,,,,disease
νόσος,76,unigram,feminine,accusative,singular,afiechyd,1.612479021933299,,,afiechyd,afiechyd,afiechyd,,,,,,haint,haint,afiechyd,,disease
περιστερά,105,unigram,feminine,accusative,plural,gwerthu,4.033492438422892,gwerthu,gwerthu,colomennod,colomennod,colommenod,,,,,,,,gwerthu,gwerthu,dove
περιστερά,56,unigram,feminine,accusative,singular,colomen,8.613706513546129,colomen,colomen,colomen,colomen,colommen,,,,,,colomben,colomben,colomen,colomen,dove
οὖς,158,unigram,neuter,accusative,plural,glustiau,1.5419415158318206,,,glustiau,glustiau,glustiau,,,,,,glustiae,glustiae,gwrandewch,awyddus,ear
οὖς,294,unigram,neuter,accusative,singular,glust,5.853270402676637,,,glust,glust,glust,,,,,,glust,glust,,,ear
σεισμός,213,unigram,masculine,nominative,plural,,,,,daeargrynfâu,daeargrynfâu,daeargrynfaau,,,,,,newynae,newynae,newyn,,"earthquakes, storm"
σεισμός,65,unigram,masculine,nominative,singular,mawr,2.020975402933829,,,mawr,mawr,mawr,,,,,,mawr,mawr,,Yn,"earthquakes, storm"
τέλος,287,unigram,neuter,accusative,singular,diwedd,19.976116295406253,diwedd,diwedd,diwedd,diwedd,diwedd,,,,,,dywedd,dywedd,diwedd,gadarn,end
αἰών,250,unigram,masculine,accusative,plural,deyrnasa,1.9817990540279395,deyrnasa,deyrnasa,,,theyrnasa,,,,,,,,,Jacob,eternity
αἰών,316,unigram,masculine,accusative,singular,byth,1981.5015980181004,byth,byth,dragywydd,dragywydd,dragywydd,,,,,,byth,byth,byth,byth,eternity
ὀφθαλμός,24,unigram,masculine,accusative,plural,lygaid,4.237694477926159,lygaid,lygaid,lygaid,lygaid,lygaid,,,,,,lygait,lygait,llygaid,llygaid,eye
ὀφθαλμός,66,unigram,masculine,nominative,plural,llygaid,3878.7189563785732,llygaid,llygaid,llygaid,llygaid,llygaid,,,,,,llygait,llygait,llygaid,llygaid,eye
ὀφθαλμός,313,unigram,masculine,nominative,singular,lygad,85.05224232310327,lygad,lygad,lygad,lygad,lygad,,,,,,lygat,lygat,lygad,llygad,eye
πρόσωπον,131,unigram,neuter,accusative,plural,hwynebau,22.422998060181957,hwynebau,hwynebau,hwynebau,hwynebau,,,,,,,,,,hwynebau,face
πρόσωπον,201,unigram,neuter,accusative,singular,wyneb,6735.274647205459,wyneb,wyneb,wyneb,wyneb,wyneb,,,,,,wynep,wynep,wyneb,wyneb,face
λιμός,7,unigram,feminine,nominative,plural,newynae,1.1217119142615875,,,,,,,,,,,newynae,newynae,newyn,,famine
λιμός,98,unigram,feminine,nominative,singular,,,newyn,newyn,dreulio,dreulio,gwario,,,,,,,,,,famine
λιμός,144,unigram,masculine,nominative,singular,gaewyd,1.1999288806403459,,,gaewyd,gaewyd,,,,,,,,,,newyn,famine
γεωργός,264,unigram,masculine,nominative,plural,,,tenantiaid,tenantiaid,llafurwyr,llafurwyr,llafurwyr,,,,,,lladdwn,dewch,,tenantiaid,"farmer, tenant"
γεωργός,51,unigram,masculine,nominative,singular,,,gwinllannwr,gwinllannwr,llafurwr,llafurwr,llafurwr,,,,,,,,gwinllannwr,winwydden,"farmer, tenant"
πατήρ,207,unigram,masculine,accusative,plural,tadau,2.418996970118669,,,tadau,tadau,tadau,,,,,,tadae,tadae,,,father
πατήρ,319,unigram,masculine,accusative,singular,Tad,40.84852751745251,Tad,Tad,Tad,Tad,Tad,,,,,,Tat,Tat,Tad,Tad,father
πατήρ,328,unigram,masculine,nominative,plural,hynafiaid,50.51567539088356,hynafiaid,hynafiaid,tadau,tadau,tadau,,,,,,tadae,tadae,hynafiaid,hynafiaid,father
πατήρ,194,unigram,masculine,nominative,singular,Tad,9314.443875125742,Tad,Tad,Tad,Tad,Tad,,,,,,Tat,Tat,Tad,Tad,father
ἀγρός,343,unigram,masculine,accusative,plural,wlad,15.556802840416388,wlad,wlad,wlad,wlad,wlad,,,,,,,,wlad,brodyr,field
ἀγρός,40,unigram,masculine,accusative,singular,faes,3.25564530690239,,,faes,faes,faes,,,,,,,vaes,,maes,field
δάκτυλος,243,unigram,masculine,accusative,plural,fysedd,1.3144503787508872,,,fysedd,fysedd,fysedd,,,,,,vyssedd,,,,finger
δάκτυλος,185,unigram,masculine,accusative,singular,ystlys,67.59810674957151,ystlys,ystlys,ystlys,ystlys,ystlys,,,,,,ystlys,ystlys,ystlys,arddyrnau,finger
ἰχθύς,161,unigram,masculine,accusative,plural,torth,3.4061197063455735,torth,torth,bysgodyn,bysgodyn,bysgodyn,,,,,,torth,torth,bysgodyn,torth,fish
ἰχθύς,200,unigram,masculine,accusative,singular,pysgodyn,2.0918930440368766,pysgodyn,pysgodyn,pysgodyn,pysgodyn,pysgodyn,,,,,,byscodyn,byscodyn,,,fish
δίκτυον,114,unigram,neuter,accusative,plural,rhwydau,2519.0826226908575,rhwydau,rhwydau,rhwydau,rhwydau,rhwydau,,,,,,rhwytae,rhwytae,rhwydau,rhwydi,fishing net
δίκτυον,210,unigram,neuter,accusative,singular,rhwyd,18.036164962921486,rhwyd,rhwyd,rhwyd,rhwyd,rhwyd,,,,,,rhwyt,rhwyt,rhwyd,rhwyd,fishing net
δίκτυον,254,unigram,neuter,nominative,singular,,,,,,,,,,,,,,,rwygodd,153,fishing net
τροφή,256,unigram,feminine,accusative,plural,brynu,2.2300838680331765,brynu,brynu,brynu,brynu,prynent,,,,,,brynu,,brynu,dre,food
τροφή,338,unigram,feminine,accusative,singular,osodwyd,1.19993895064869,osodwyd,osodwyd,,,,,,,,,,,chall,,food
πούς,246,unigram,masculine,accusative,plural,draed,229.69074222799554,draed,draed,draed,draed,draed,,,,,,draet,draet,draed,nhraed,foot
πούς,118,unigram,masculine,accusative,singular,droed,1.6156253709501542,,,droed,droed,droed,,,,,,droet,droet,,,foot
καρπός,190,unigram,masculine,accusative,plural,ffrwythau,184.1442873424833,ffrwythau,ffrwythau,ffrwythau,ffrwythau,ffrwythau,,,,,,ffrwythae,ffrwythae,,ffrwyth,"fruit, crop, harvest"
καρπός,241,unigram,masculine,accusative,singular,ffrwyth,108682.1081636522,ffrwyth,ffrwyth,ffrwyth,ffrwyth,ffrwyth,,,,,,ffrwyth,ffrwyth,ffrwyth,ffrwyth,"fruit, crop, harvest"
πλήρωμα,281,unigram,neuter,accusative,plural,dameidiau,4.4691155483732485,dameidiau,dameidiau,,,llonaid,,,,,,bascedeit,bascedeit,,dameidiau,fullness
πλήρωμα,337,unigram,neuter,accusative,singular,vrethyn,1.1217119142615875,,,,,,,,,,,vrethyn,vrethyn,,,fullness
γενεά,282,unigram,feminine,accusative,plural,hofnant,1.200131147320075,,,hofnant,hofnant,,,,,,,,,oesIʼr,trugarhau,generation
γενεά,242,unigram,feminine,accusative,singular,genhedlaeth,72.21360388893447,genhedlaeth,genhedlaeth,genhedlaeth,genhedlaeth,genhedlaeth,,,,,,,,genhedlaeth,genhedlaeth,generation
γενεά,326,unigram,feminine,nominative,plural,genedlaethau,3.9998058682881874,,,genedlaethau,genedlaethau,genhedlaethau,,,,,,,,,,generation
γενεά,157,unigram,feminine,nominative,singular,genhedlaeth,140.9334858367544,genhedlaeth,genhedlaeth,genhedlaeth,genhedlaeth,genhedlaeth,,,,,,,,genhedlaeth,genhedlaeth,generation
δῶρον,318,unigram,neuter,accusative,plural,rhoddion,1.7559756078177442,,,,,rhoddion,,,,,,,,,,gift
δῶρον,169,unigram,neuter,accusative,singular,allor,7.58220679052095,offrwm,offrwm,allor,allor,allor,,,,,,allor,allor,allor,offrwm,gift
ἡγεμών,178,unigram,masculine,accusative,plural,brenhinoedd,3.0456173319723616,llywodraethwyr,llywodraethwyr,brenhinoedd,brenhinoedd,brenhinoedd,,,,,,ich,ich,brenhinoedd,,"governor, ruler"
ἡγεμών,13,unigram,masculine,accusative,singular,rhaglaw,1.8584369099493059,rhaglaw,rhaglaw,rhaglaw,rhaglaw,rhaglaw,,,,,,,,atebiad,sens,"governor, ruler"
σταφυλή,193,unigram,feminine,accusative,plural,ysgall,1.095398876121712,,,,,,,,,,,,,,ysgall,grapes
σταφυλή,353,unigram,feminine,accusative,singular,fieri,1.095398876121712,,,,,,,,,,,,,,fieri,grapes
ἀσπασμός,331,unigram,masculine,accusative,plural,,,cyfarchiadau,cyfarchiadau,marchnadoedd,marchnadoedd,,,,,,,marchnatoedd,marchnatoedd,foesymgrymu,cyfarch,greeting
ἀσπασμός,179,unigram,masculine,accusative,singular,chroth,1.059115049741089,,,,,,,,,,,,,,chroth,greeting
ὁδηγός,5,unigram,masculine,nominative,plural,,,ddeillion,ddeillion,,,dywys,,,,,,tywysogion,tywysogion,ffos,ffos,guide
ὁδηγός,4,unigram,masculine,nominative,singular,deillion,3.3743146229655934,dall,dall,deillion,deillion,deillion,,,,,,dywysogion,dywysogion,,Arweinwyr,guide
θρίξ,97,unigram,feminine,nominative,plural,gwallt,1.92667047027073,,,,,gwallt,,,,,,,,blewyn,gwallt,hair
χείρ,322,unigram,feminine,accusative,plural,ddwylo,6975.029070577791,ddwylo,ddwylo,ddwylo,ddwylo,ddwylaw,,,,,,ddwylo,ddwylo,ddwylo,ddwylo,hand
χείρ,230,unigram,feminine,accusative,singular,law,31350.61476583479,law,law,law,law,law,,,,,,law,law,law,law,hand
κεφαλή,150,unigram,feminine,accusative,plural,pennau,3.45645545667725,gablu,gablu,pennau,pennau,pennau,,,,,,pennae,,pennau,,head
κεφαλή,216,unigram,feminine,accusative,singular,ben,18924.427535581013,ben,ben,ben,ben,ben,,,,,,ben,ben,ben,pen,head
στάχυς,217,unigram,masculine,accusative,plural,,,tywysennau,tywysennau,ŷd,ŷd,tywys,,,,,,tywys,tywys,tywysennau,,head of grain
στάχυς,77,unigram,masculine,accusative,singular,gwelltyn,1.0954080587464583,,,,,,,,,,,,,,gwelltyn,head of grain
καρδία,34,unigram,feminine,accusative,plural,calonnau,26.17069314876414,calonnau,calonnau,calonnau,calonnau,calonnau,,,,,,calonae,calonae,pobl,,heart
καρδία,297,unigram,feminine,accusative,singular,calon,5.283458794937551,meddwl,meddwl,calon,calon,calon,,,,,,calonae,calonae,meddyliau,deall,heart
καρδία,202,unigram,feminine,nominative,singular,calon,14845.996914107815,calon,calon,calon,calon,calon,,,,,,calon,calon,calon,calonnau,heart
οὐρανός,8,unigram,masculine,accusative,plural,,,nefoedd,nefoedd,agored,agored,ymrwygo,,,,,,,,colomen,colomen,"heaven, sky"
οὐρανός,277,unigram,masculine,accusative,singular,nef,254371.40354730817,nef,nef,nef,nef,nef,,,,,,nef,nef,nef,nefoedd,"heaven, sky"
οὐρανός,357,unigram,masculine,nominative,plural,,,,,,,,,,,,,,,gorffwys,colomen,"heaven, sky"
οὐρανός,208,unigram,masculine,nominative,singular,nef,7.326134495735708,nef,nef,nef,nef,nef,,,,,,Nef,Nef,nef,awyr,"heaven, sky"
ὥρα,302,unigram,feminine,nominative,plural,,,baglu,baglu,thramgwydda,thramgwydda,thripia,,,,,,thancwydda,thancwydda,,awr,hour
