lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2260_translation,version_2261_translation,version_2262_translation,version_2263_translation,version_2264_translation,version_2265_translation,version_2266_translation,version_2267_translation,english_translation
ἀπόστολος,51,unigram,masculine,nominative,plural,প্রেরিতেরা,17.908607225730112,পাঠিয়েছিলেন,পাঠিয়েছিলেন,প্রেরিতরা,প্রেরিতেরা,প্রেরিত,প্রেরিতেরা,প্রেরিতেরা,প্রেরিতশিষ্যেরা,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,,,পাঠানো,পাঠানো,নিজর,প্রেরণকর্তা,প্রেরণকর্তার,প্রেরণকর্তা,প্রেরণকর্ত্তা,প্রেরণকারীর,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,,,ক্ষমতাশালী,ক্ষমতাশালী,,কর্তৃপক্ষদের,শাসক,কর্তৃপক্ষদের,কর্ত্তৃপক্ষদের,আনা,authority
ἐξουσία,224,unigram,feminine,accusative,singular,ক্ষমতা,858.5507125044801,ক্ষমতা,ক্ষমতা,ক্ষমতা,ক্ষমতা,ক্ষমতা,ক্ষমতা,ক্ষমতা,অধিকার,authority
βρέφος,17,unigram,neuter,accusative,plural,,,রাখেন।,রাখেন।,শিশুদেরও,,শিশুদেরও,শিশুদিগকেও,,স্পর্শলাভের,babies
βρέφος,362,unigram,neuter,accusative,singular,জাবপাত্রে,1.9708200554048496,,,,,জাবপাত্রে,শোওয়ান,,জাবপাত্রে,babies
ἀποθήκη,304,unigram,feminine,accusative,plural,ফসল,1.5274201556563267,,,,,,,,ফসল,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,গম,2.3456144509918375,জমা,জমা,,,গম,গম,গোম,গম,barn
φραγμός,264,unigram,masculine,accusative,plural,জোর,1.3342408724864443,জোর,জোর,আসবার,পথগুলোতে,প্রাচীরের,গলিতে-গলিতে,বেড়ায়,,"barrier, wall"
φραγμός,128,unigram,masculine,accusative,singular,বেড়া,1.0595319950666118,,,,,,,বেড়া,,"barrier, wall"
ἀρχή,80,unigram,feminine,accusative,plural,,,ক্ষমতাশালী,ক্ষমতাশালী,,কর্তৃপক্ষদের,শাসক,কর্তৃপক্ষদের,কর্ত্তৃপক্ষদের,আনা,beginning
ἀρχή,205,unigram,feminine,accusative,singular,প্রথম,5.84158741564755,প্রথম,প্রথম,,প্রথম,প্রথম,প্রথম,প্রথম,,beginning
ζώνη,253,unigram,feminine,accusative,singular,বেল্ট,1.0960524252565438,,,বেল্ট,,,,,,belt
βλασφημία,36,unigram,feminine,accusative,plural,ঈশ্বরনিন্দা,1.5763776567444985,ভাবতে,ভাবতে,ধর্মশিক্ষকরা,কুফরী,ঈশ্বরনিন্দা,ঈশ্বরনিন্দা,ঈশ্বরনিন্দা,নিন্দা,blasphemy
βλασφημία,110,unigram,feminine,accusative,singular,,,সাক্ষীর,সাক্ষীর,শুনলে,,,শুনিলে,শুনিলে,,blasphemy
βλασφημία,233,unigram,feminine,nominative,plural,নিন্দা,1.1448597114499,নিন্দা,নিন্দা,ঈশ্বরনিন্দা,,,,,মানুষের,blasphemy
βλασφημία,95,unigram,feminine,nominative,singular,নিন্দা,1.5538158589255004,,,,নিন্দা,,,,,blasphemy
πλοῖον,121,unigram,neuter,accusative,plural,নৌকা,5.361499571745672,টা,টা,নৌকা,নৌকা,নৌকা,নৌকা,নৌকা,দুটি,boat
πλοῖον,346,unigram,neuter,accusative,singular,,,নৌকায়,নৌকায়,নৌকায়,নৌকায়,নৌকায়,নৌকায়,নৌকায়,নৌকায়,boat
πλοῖον,271,unigram,neuter,nominative,plural,নৌকাখানিতে,2.164481224333928,,,চললেন,নৌকাখানিতে,কয়েকটা,নৌকাখানিতে,নৌকাখানিতে,সেভাবেই,boat
πλοῖον,255,unigram,neuter,nominative,singular,নৌকাখানি,2.970392502859792,নৌকাটা,নৌকাটা,নৌকাটি,নৌকাখানি,,নৌকাখানি,নৌকাখানি,নৌকা,boat
σῶμα,68,unigram,neuter,nominative,singular,শরীর,123.08837556711732,শরীর,দেহ,শরীর,শরীর,দেহ,শরীর,শরীর,শরীর,body
κλῆμα,64,unigram,neuter,nominative,plural,,,ডালপালা।,ডালপালা।,,শাখা,,দ্রাক্ষালতা,দ্রাক্ষালতা,শাখা।,branch
κλῆμα,171,unigram,neuter,nominative,singular,আমাতে,3.479356871732956,,,আমাতে,,সংযুক্ত,আমাতে,আমাতে,,branch
ἄρτος,351,unigram,masculine,accusative,plural,রুটি,9997.818250448576,রুটি,রুটি,রুটি,রুটি,রুটি,রুটি,রুটী,রুটি,bread
ἄρτος,379,unigram,masculine,accusative,singular,রুটি,355.3571804346214,রুটি,রুটি,রুটি,রুটি,রুটি,রুটি,রুটী,রুটি,bread
ἄρτος,179,unigram,masculine,nominative,plural,রুটি,211.04682229435082,রুটি,রুটি,রুটি,রুটি,রুটি,রুটি,রুটী,লোককে,bread
ἄρτος,45,unigram,masculine,nominative,singular,খাদ্য,1.9132114642274454,রুটি,রুটি,রুটি,খাদ্য,স্বর্গ,খাদ্য,খাদ্য,খাদ্য,bread
ἀδελφός,336,unigram,masculine,accusative,plural,ভাই-বোন,2.4535747665270202,ভাই-বোন,ভাই-বোন,ভাই,ভাই-বোন,ভাই,ভ্রাতা,ভ্রাতৃগণ,,brother
ἀδελφός,138,unigram,masculine,accusative,singular,ভাই,182.18803763651968,ভাই,ভাই,ভাই,ভাই,ভাই,ভ্রাতা,ভ্রাতা,ভাই,brother
ἀδελφός,127,unigram,masculine,nominative,plural,,,ভাইয়েরা,ভাইয়েরা,মা,ভাইয়েরা,মা,মাতা,মাতা,মা,brother
ἀδελφός,262,unigram,masculine,nominative,singular,ভাই,20432.368297223013,ভাই,ভাই,ভাই,ভাই,ভাই,ভ্রাতা,ভ্রাতা,ভাই,brother
στῆθος,177,unigram,neuter,accusative,plural,চাপ্‌ড়াতে,1.3486641794439818,চাপ্‌ড়াতে,চাপ্‌ড়াতে,,,ঘটনাস্থলে,,,,"chest, breast"
στῆθος,320,unigram,neuter,accusative,singular,দিকে,3.3077545420709438,ঝুঁকে,ঝুঁকে,হেলে,দিকে,গায়ে,দিকে,দিকে,দিকে,"chest, breast"
ἀρχιερεύς,276,unigram,masculine,accusative,plural,প্রধান,34.452664486100524,প্রধান,প্রধান,প্রধান,প্রধান,পুরোহিতদের,প্রধান,প্রধান,প্রধান,chief priest
ἀρχιερεύς,69,unigram,masculine,accusative,singular,,,,,শিক্ষকেরা,,প্রধান,,,,chief priest
ἀρχιερεύς,137,unigram,masculine,nominative,plural,প্রধান,5.19213691933923,ইমামেরা,পুরোহিতেরা,প্রধান,প্রধান,পুরোহিতদের,প্রধান,প্রধান,প্রধান,chief priest
ἀρχιερεύς,280,unigram,masculine,nominative,singular,মহাযাজক,414.26803324968233,মহা-ইমাম,মহাপুরোহিত,মহাযাজক,মহা-ইমাম,পুরোহিত,মহাযাজক,মহাযাজক,মহাযাজক,chief priest
παῖς,267,unigram,masculine,accusative,plural,রেগে,1.550592626746925,,,রেগে,,,,,,child
τέκνον,372,unigram,neuter,accusative,plural,,,ভাই-বোন,ভাই-বোন,সন্তানদের,ভাই-বোন,সন্তানদের,সন্তান,সন্তান,সন্তানদের,child
τέκνον,202,unigram,neuter,accusative,singular,ভাই,1.6454759918775625,ভাই,ভাই,মৃত্যুতে,,ভাই,ভ্রাতা,ভ্রাতা,ভাই,child
τέκνον,18,unigram,neuter,nominative,plural,ছেলেমেয়েরা,1.1981598279930246,ছেলেমেয়েরা,ছেলেমেয়েরা,সন্তানেরা,,মুখে,,,পিতামাতার,child
τέκνον,216,unigram,neuter,nominative,singular,বৎস,291.473206050673,অবশ-রোগীকে,অবশ-রোগীকে,পুত্র,বৎস,বৎস,বৎস,বৎস,বৎস,child
παιδίον,16,unigram,neuter,accusative,plural,বারণ,1.3461387687541362,ছেলেমেয়েদের,ছেলেমেয়েদের,বারণ,শিশুদেরকে,,বারণ,বারণ,শিশুদের,child
παιδίον,103,unigram,neuter,accusative,singular,শিশুটিকে,3.6334956623810983,শিশুকে,শিশুকে,শিশুটিকে,শিশুটিকে,শিশুটিকে,শিশুটিকে,শিশুটীকে,শিশুটি,child
παιδίον,195,unigram,neuter,nominative,plural,কিছুই,1.3624528236502926,কিছুই,কিছুই,,সন্তানেরা,,,,শিশুদের,child
παιδίον,47,unigram,neuter,nominative,singular,শিশুটি,1.5812727597555736,,,শিশুটি,শিশুর,,বালকটি,বালকটী,শিশুটি,child
πόλις,206,unigram,feminine,accusative,plural,নগরে,15.331458143993103,গ্রামে,গ্রামে,শহরে,নগরে,নগরে,নগরে,নগরে,পরিক্রমা,city
πόλις,73,unigram,feminine,accusative,singular,নগরে,492.7075383951919,গ্রামে,গ্রামে,শহরে,নগরে,শহরে,নগরে,নগরে,নগরে,city
πύλη,232,unigram,feminine,nominative,singular,সঙ্কীর্ণ,1.5587235772465424,দরজাও,দরজাও,সরু,সঙ্কীর্ণ,সংকীর্ণ,সঙ্কীর্ণ,সঙ্কীর্ণ,সংকীর্ণ,city gate
χιτών,133,unigram,masculine,accusative,plural,,,কোর্তা,জামা,দুটি,দু,,দুইটি,আঙ্‌রাখা,পোশাক,"clothing, undergarments"
χιτών,33,unigram,masculine,accusative,singular,নিতে,3.021307906630038,নিতে,নিতে,নিতে,জামাও,জামাটি,আঙ্‌রাখাটিও,আঙ্‌রাখাটীও,নিতে,"clothing, undergarments"
ἱμάτιον,151,unigram,neuter,accusative,plural,,,চাদর,চাদর,কাপড়,কাপড়,নিজেদের,বস্ত্র,বস্ত্র,পোশাক,coat
ἱμάτιον,150,unigram,neuter,accusative,singular,,,চাদর,চাদর,কাপড়,কাপড়,জামা,কাপড়,কাপড়,পোশাক,coat
ἐντολή,91,unigram,feminine,accusative,plural,,,হুকুম,আদেশ,আদেশ,হুকুমগুলো,পালন,আজ্ঞা,আজ্ঞা,পালন,commandment
ἐντολή,89,unigram,feminine,accusative,singular,আদেশ,7.645034814313337,হুকুম,আদেশ,আদেশ,হুকুম,নির্দেশ,আজ্ঞা,আজ্ঞা,আদেশ,commandment
συνέδριον,356,unigram,neuter,accusative,plural,সমাজ-গৃহে,1.2542088052303877,,,সাবধান,বিচার-সভার,বিচারসভায়,সমাজ-গৃহে,সমাজ-গৃহে,স্থানীয়,council
συνέδριον,59,unigram,neuter,accusative,singular,প্রধান,1.1596788952585582,মহাসভার,মহাসভার,প্রধান,ইমামেরা,নেতৃবৃন্দ,প্রধান,প্রধান,প্রধান,council
χώρα,85,unigram,feminine,accusative,plural,,,মাস,মাস,পেকে,রংয়ের,,শ্বেতবর্ণ,শ্বেতবর্ণ,,"country, countryside"
χώρα,324,unigram,feminine,accusative,singular,দেশে,11.498616250575424,এলাকায়,এলাকায়,দেশে,দেশে,দেশে,দেশে,দেশে,অঞ্চলে,"country, countryside"
ὄχλος,65,unigram,masculine,accusative,plural,,,লোকদের,লোকদের,লোকদেরকে,লোকদেরকে,জনতাকে,লোকসমূহকে,লোকসমূহকে,বিদায়,crowd
ὄχλος,11,unigram,masculine,accusative,singular,,,লোকদের,লোকদের,লোকদেরকে,লোকদেরকে,জনতাকে,লোকসমূহকে,লোকসমূহকে,ভিড়ের,crowd
ὄχλος,114,unigram,masculine,nominative,plural,লোক,3.5021529944657113,লোকেরা,লোকেরা,লোক,লোকেরা,জনতা,লোক,লোক,লোক,crowd
ὄχλος,315,unigram,masculine,nominative,singular,লোক,18.934697734461682,লোক,লোক,লোক,লোক,জনতা,লোক,লোক,লোক,crowd
θυγάτηρ,131,unigram,feminine,nominative,plural,কাঁদ,1.2015462456907173,কাঁদ,কাঁদ,,,মেয়েরা,,,,daughter
θυγάτηρ,350,unigram,feminine,nominative,singular,কন্যা,6.93187344607915,মেয়েটি,মেয়েটি,মেয়ে,কন্যা,কন্যা,কন্যা,কন্যা,কন্যা,daughter
ἡμέρα,83,unigram,feminine,accusative,plural,দিন,447.3173746698381,দিন,দিন,দিন,দিন,দুদিন,দিন,দিন,তিনদিন,day
ἡμέρα,96,unigram,feminine,accusative,singular,প্রতিদিন,75.48419351125462,দিন,দিন,প্রতিদিন,প্রতিদিন,প্রতিদিন,প্রতিদিন,প্রতিদিন,প্রতিদিন,day
ἡμέρα,2,unigram,feminine,nominative,plural,দিন,13.459683130323945,দিন,দিন,দিন,সময়,দিন,সময়,সময়,আসবে,day
ἡμέρα,75,unigram,feminine,nominative,singular,দিন,25.19092505806125,দিনটা,দিনটা,দিন,দিন,দিন,দিন,দিন,প্রস্তুতির,day
ὀφειλέτης,283,unigram,masculine,nominative,plural,,,আঠারোজনের,আঠারোজনের,,,,অপরাধী,অপরাধী,,debtor
ὀφειλέτης,140,unigram,masculine,nominative,singular,আনীত,1.072093170982862,,,,আনা,দশ,আনীত,আনীত,,debtor
δαιμόνιον,34,unigram,neuter,accusative,plural,ভূত,151.6003025052057,ভূত,মন্দ,ভূত,বদ-রূহ্‌,অপদেবতা,ভূত,ভূত,ভূতদের,demon
δαιμόνιον,367,unigram,neuter,accusative,singular,ভূতে,6.083727077131188,ভূতে,ভূতে,ভূতে,বদ-রূহে,অপদেবতাগ্রস্ত,ভূত,ভূতগ্রস্ত,ভূতগ্রস্ত,demon
δαιμόνιον,218,unigram,neuter,nominative,plural,ভূতেরা,1.372196826946987,ভূতগুলো,মন্দ,ভূতেরা,মধ্য,অপদেবতার,,লোকটী,ভূতেরা,demon
δαιμόνιον,193,unigram,neuter,nominative,singular,ভূত,124.91927387781783,ভূত,ধমক,ভূত,বদ-রূহ্‌,অপদেবতা,ভূত,ভূত,ভূত,demon
δηνάριον,341,unigram,neuter,accusative,plural,,,দীনার,দীনার,দিনারী,সিকি,দীনার,সিকি,সিকি,দিনার,denarius (about a day's wages)
δηνάριον,181,unigram,neuter,accusative,singular,দীনার,17.61332543080953,দীনার,দীনার,,,দীনার,,দীনার,দিনার,denarius (about a day's wages)
μαθητής,199,unigram,masculine,accusative,plural,শিষ্যদের,886.4653999539148,সাহাবীদের,শিষ্যদের,শিষ্যদের,সাহাবীদেরকে,শিষ্যদের,শিষ্যদিগকে,শিষ্যদিগকে,শিষ্যদের,disciple
μαθητής,373,unigram,masculine,accusative,singular,,,করতেন,ভালবাসতেন,ভালবাসতেন,করতেন,প্রিয়,শিষ্য,যাঁহাকে,ভালোবাসতেন,disciple
μαθητής,308,unigram,masculine,nominative,plural,শিষ্যেরা,3470.576995694396,সাহাবীরা,শিষ্যেরা,শিষ্যেরা,সাহাবীরা,শিষ্যেরা,শিষ্যেরা,শিষ্যেরা,শিষ্যেরা,disciple
μαθητής,371,unigram,masculine,nominative,singular,শিষ্য,3589.098457659304,সাহাবী,শিষ্য,শিষ্য,সাহাবী,শিষ্য,শিষ্য,শিষ্য,শিষ্য,disciple
νόσος,3,unigram,feminine,accusative,plural,রোগ,5.1371869560223145,রোগ,রোগ,রোগ,,,ব্যাধি,ব্যাধি,,disease
νόσος,82,unigram,feminine,accusative,singular,রকম,1.2480248689227653,রকম,রকম,অসুখ,অসুস্থতা,রোগব্যাধি,সর্বপ্রকার,সর্ব্বপ্রকার,পীড়া,disease
περιστερά,113,unigram,feminine,accusative,plural,,,কবুতর,কবুতর,পায়রা,কবুতর,পায়রা,কপোত,কপোত,পায়রা,dove
περιστερά,61,unigram,feminine,accusative,singular,কপোতের,5.115799658152126,কবুতরের,কবুতরের,পায়রার,কবুতরের,কপোতের,কপোতের,কপোতের,কপোতের,dove
οὖς,170,unigram,neuter,accusative,plural,কান,16.337351470442893,কান,কান,কান,কান,কান,কান,কাণ,কান,ear
οὖς,314,unigram,neuter,accusative,singular,,,প্রচার,আলোতে,কানে,কানে,অন্ধকারে,আলোতে,কাণে,ছাদের,ear
σεισμός,225,unigram,masculine,nominative,plural,ভূমিকম্প,1.5551625838559442,ভূমিকমপ,ভূমিকম্প,ভূমিকম্প,ভূমিকমপ,ভূমিকম্প,ভূমিকম্প,,দুর্ভিক্ষ,"earthquakes, storm"
σεισμός,71,unigram,masculine,nominative,singular,,,হঠাৎ,হঠাৎ,ভূমিকম্প,,উপর,,,ভূমিকম্প,"earthquakes, storm"
τέλος,37,unigram,neuter,accusative,plural,,,কর্‌,খাজনা,,,,,,,end
τέλος,305,unigram,neuter,accusative,singular,শেষ,6.72382205914013,শেষ,শেষ,শেষ,শেষ,শেষ,শেষ,শেষ,শেষ,end
αἰών,268,unigram,masculine,accusative,plural,চিরকাল,1.544266539743084,চিরকাল,চিরকাল,চিরকাল,,চিরকাল,,,চিরকাল,eternity
αἰών,337,unigram,masculine,accusative,singular,কখনও,23.538749922358623,কখনও,কখনও,কখনও,কখনও,কখনও,কখনও,কখনও,কখনও,eternity
ὀφθαλμός,25,unigram,masculine,accusative,plural,চোখ,125.98388778970651,চোখ,চোখ,চোখ,চোখ,চোখ,চক্ষু,চক্ষু,চোখ,eye
ὀφθαλμός,72,unigram,masculine,nominative,plural,চোখ,240.46981637114317,চোখ,চোখ,চোখ,চোখ,দৃষ্টি,চক্ষু,চক্ষু,চোখ,eye
ὀφθαλμός,334,unigram,masculine,nominative,singular,চোখ,80.62105150402107,চোখ,চোখ,চোখ,চোখ,চোখ,চক্ষু,চক্ষু,চোখ,eye
πρόσωπον,139,unigram,neuter,accusative,plural,মুখ,2.6017881369357014,পেয়ে,পেয়ে,মুখ,,লোককে,মুখ,মুখ,,face
πρόσωπον,213,unigram,neuter,accusative,singular,মুখ,1.5438034743076248,মুখ,মুখ,উপুড়,উবুড়,মুখ,উবুড়,উবুড়,,face
λιμός,7,unigram,feminine,nominative,plural,দুর্ভিক্ষ,1.6104435152840078,দুর্ভিক্ষ,দুর্ভিক্ষ,,দুর্ভিক্ষ,ভূমিকম্প,দুর্ভিক্ষ,দুর্ভিক্ষ,দুর্ভিক্ষ,famine
λιμός,105,unigram,feminine,nominative,singular,আকাল,1.2013738207999172,,,,,,আকাল,আকাল,,famine
λιμός,155,unigram,masculine,nominative,singular,দুর্ভিক্ষ,1.2729094412984348,,,দূর্ভিক্ষ,দুর্ভিক্ষ,,দুর্ভিক্ষ,মহা-দুর্ভিক্ষ,,famine
γεωργός,282,unigram,masculine,nominative,plural,কৃষকেরা,7.081216700488174,চাষীরা,চাষীরা,কৃষকেরা,কৃষকেরা,চাষীরা,কৃষকেরা,কৃষকেরা,হত্যা,"farmer, tenant"
γεωργός,56,unigram,masculine,nominative,singular,দ্রাক্ষালতা,1.921247244105028,আংগুর,আংগুর,আঙুরলতা,আঙ্গুরলতা,দ্রাক্ষালতা,দ্রাক্ষালতা,দ্রাক্ষালতা,দ্রাক্ষালতা,"farmer, tenant"
πατήρ,219,unigram,masculine,accusative,plural,চিরতরে,1.3533198512493805,,,রাখেন।,চিরতরেকরুণা,,চিরতরে,চিরতরে,,father
πατήρ,340,unigram,masculine,accusative,singular,পিতার,2.7510569152595012,পিতার,পিতার,পিতার,পিতার,পিতার,পিতা,পিতা,পিতাকে,father
πατήρ,349,unigram,masculine,nominative,plural,পূর্বপুরুষেরা,56.08501277883566,পূর্বপুরুষেরা,পূর্বপুরুষেরা,পূর্বপুরুষেরা,পূর্বপুরুষেরা,পিতৃপুরুষেরা,পিতৃপুরুষেরা,পিতৃপুরুষেরা,,father
πατήρ,207,unigram,masculine,nominative,singular,পিতা,928856.6407400259,পিতা,পিতা,পিতা,পিতা,পিতা,পিতা,পিতা,পিতা,father
σύνδουλος,164,unigram,masculine,accusative,plural,সহদাসদিগকে,1.2013630877021924,,,,সহ-গোলামদেরকে,,সহদাসদিগকে,সহদাসদিগকে,,"fellow-servant, colleague"
σύνδουλος,99,unigram,masculine,accusative,singular,সংগী-কর্মচারীকে,1.3486844045269415,সংগী-কর্মচারীকে,সংগী-কর্মচারীকে,তোমারও,,,,,সহদাসকে,"fellow-servant, colleague"
σύνδουλος,353,unigram,masculine,nominative,plural,,,সংগী-কর্মচারীরা,সংগী-কর্মচারীরা,,সহগোলামেরা,,সহদাসেরা,সহদাসেরা,,"fellow-servant, colleague"
σύνδουλος,129,unigram,masculine,nominative,singular,সংগী-কর্মচারীটি,1.2013630877021924,সংগী-কর্মচারীটি,সংগী-কর্মচারীটি,,,সহকর্মী,,,,"fellow-servant, colleague"
ἀγρός,366,unigram,masculine,accusative,plural,পল্লীতে,3.6660398846850297,,,শূকর,পাড়ায়,,পল্লীতে,পল্লীতে,গিয়ে,field
ἀγρός,46,unigram,masculine,accusative,singular,,,কুমারের,কুমারের,জমি,ক্রয়,কিনে,ক্ষেত্র,ক্ষেত্র,মাঠে,field
δάκτυλος,260,unigram,masculine,accusative,plural,আঙ্গুল,1.2013845589884997,,,আঙ্গুল,আঙ্গুল,,অঙ্গুলি,অঙ্গুলী,আঙুল,finger
δάκτυλος,198,unigram,masculine,accusative,singular,,,আংগুল,আংগুল,আঙুল,,আঙ্গুল,,অঙ্গুলি,আঙুল,finger
ἰχθύς,174,unigram,masculine,accusative,plural,মাছ,3.521273454658535,মাছ,মাছ,মাছ,মাছ,মাছ,মাছ,মাছ,রুটি,fish
ἰχθύς,212,unigram,masculine,accusative,singular,চাইলে,1.2652019619828856,চাইলে,চাইলে,চাইলে,চাইলে,সাপ,সাপ,সাপ,চাইলে,fish
δίκτυον,122,unigram,neuter,accusative,plural,জাল,43766.66701970388,জাল,জাল,জাল,জাল,জাল,জাল,জাল,জাল,fishing net
δίκτυον,222,unigram,neuter,accusative,singular,জাল,4.83169211897571,,,টেনে,জাল,মাছ,জাল,জাল,জাল,fishing net
δίκτυον,194,unigram,neuter,nominative,plural,জালে,1.0960965115985384,,,,,জালে,,,,fishing net
τροφή,273,unigram,feminine,accusative,plural,ক্রয়,1.3298407196796822,,,কেনার,ক্রয়,,ক্রয়,ক্রয়,,food
τροφή,361,unigram,feminine,accusative,singular,পরিজনের,1.7167788689942192,বুদ্ধিমান,বুদ্ধিমান,পরিজনের,পরিজনের,যথাসময়ে,পরিজনের,পরিজনের,পরিজনবর্গের,food
πούς,263,unigram,masculine,accusative,plural,পা,229.02342925982862,পা,পা,পা,পা,পা,চরণ,চরণ,পা,foot
πούς,126,unigram,masculine,accusative,singular,,,,,,পাথরের,নেবেন,,,,foot
καρπός,204,unigram,masculine,accusative,plural,ফল,152.74313092087695,ফল,ফল,ফল,ফল,ফল,ফল,ফল,ফল,"fruit, crop, harvest"
καρπός,258,unigram,masculine,accusative,singular,ফল,2248.3835804150763,ফল,ফল,ফল,ফল,ফল,ফল,ফল,ফল,"fruit, crop, harvest"
πλήρωμα,300,unigram,neuter,accusative,plural,ভরা,1.1382329139954763,টুকরি,টুকরি,ঝুড়ি,ভরা,রুটি,ভরা,ভরা,ঝুড়ি,fullness
πλήρωμα,360,unigram,neuter,accusative,singular,,,তালিটা,তালিটা,,তালিতে,,তালিতে,,,fullness
γενεά,301,unigram,feminine,accusative,plural,,,,,বংশপরম্পরায়,ভক্তিপূর্ণ,,পুরুষপরমপরায়,পুরুষপরম্পরায়,,generation
γενεά,259,unigram,feminine,accusative,singular,কালের,18.6157441461615,কালের,কালের,যুগের,কালের,যুগের,কালের,কালের,,generation
γενεά,347,unigram,feminine,nominative,plural,অবধি,1.536342891720272,,,পুরুষ,,,অবধি,অবধি,,generation
γενεά,169,unigram,feminine,nominative,singular,কালের,13.355700285315399,কালের,কালের,চিহ্নের,কালের,যুগের,কালের,কালের,প্রজন্ম,generation
δῶρον,339,unigram,neuter,accusative,plural,দান,1.5195714411857635,দান,দান,,নিজ,নিজেদের,,,উপহার,gift
δῶρον,183,unigram,neuter,accusative,singular,নৈবেদ্য,3.848797563495653,দান,দান,নৈবেদ্য,নৈবেদ্য,নৈবেদ্য,নৈবেদ্য,নৈবেদ্য,নৈবেদ্য,gift
ἡγεμών,191,unigram,masculine,accusative,plural,রাজাদের,5.079497557434994,বাদশাহ্‌দের,রাজাদের,রাজাদের,বাদশাহ্‌দের,সামনে,রাজাদের,রাজাদের,প্রদেশপালদের,"governor, ruler"
ἡγεμών,13,unigram,masculine,accusative,singular,কথারও,2.0376394752085036,কথারও,শাসনকর্তা,কথারও,কথারও,,,,,"governor, ruler"
ἀσπασμός,352,unigram,masculine,accusative,plural,,,হাটে-বাজারে,হাটে-বাজারে,হাটে,বাজারে,অভিবাদন,বাজারে,বাজারে,হাটে-বাজারে,greeting
ἀσπασμός,192,unigram,masculine,accusative,singular,,,,,নেচে,শিশুটি,,,জঠরে,অভিনন্দন,greeting
ὁδηγός,5,unigram,masculine,nominative,plural,,,,,দেখায়,,,,,পথপ্রদর্শক।,guide
ὁδηγός,4,unigram,masculine,nominative,singular,,,দেখান।,দেখান।,পরিচালনাকারীরা,পথ-প্রদর্শকেরা,অন্ধ,পথ-দর্শকেরা,পথ-দর্শকেরা,অন্ধ,guide
θρίξ,43,unigram,feminine,accusative,singular,চুল,1.20141680414292,চুল,চুল,,,,,,,hair
