lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_840_translation,version_841_translation,version_842_translation,version_843_translation,version_844_translation,version_845_translation,version_846_translation,version_847_translation,version_848_translation,english_translation
ἀδελφός,132,unigram,masculine,nominative,plural,rach'alal,3.934000703834735,eruchak,rach'alal,ruchak,ruch'alal,rach'alal,rach'alal,eruchaqꞌ,i-ruchakꞌ,rach'alal,brother
ἀδελφός,272,unigram,masculine,nominative,singular,rach'alal,23.95390873603646,quichak'-quinimal,rach'alal,quichak'-qui,ruch'alal,rach'alal,rach'alal,kichaqꞌ-kinimal,quichakꞌ-quinimal-quiꞌ,rach'alal,brother
στῆθος,182,unigram,neuter,accusative,plural,,,,,nquit'init,niquivel-ta,,,,,niquitin,"chest, breast"
στῆθος,331,unigram,neuter,accusative,singular,,,xrak,,njachon,chuc,ruva-ruc,ruwaruc,,,,"chest, breast"
ἀρχιερεύς,286,unigram,masculine,accusative,plural,sacerdotes,2.759534766284944,sacerdotes,sacerdote,sacerdotes,principal,principal-i,principali,sacerdotes,principales,sacerdotes,chief priest
ἀρχιερεύς,71,unigram,masculine,accusative,singular,sacerdote,10.904042206737037,sacerdote,sacerdote,sacerdote,sacerdote,sacerdote,sacerdote,sacerdote,sacerdote,sacerdote,chief priest
ἀρχιερεύς,142,unigram,masculine,nominative,plural,sacerdotes,1.6543072266820271,sacerdotes,sacerdote,sacerdotes,principal,principal-i,principali,sacerdotes,principales,sacerdotes,chief priest
ἀρχιερεύς,291,unigram,masculine,nominative,singular,sacerdote,10.90080153413081,sacerdote,Caifás,nimalüj,sacerdote,sacerdote,sacerdote,sacerdote,sacerdote,sacerdote,chief priest
παῖς,277,unigram,masculine,accusative,plural,,,alabo,alaboni,ac'uala,,alabon,jane,xyakatej,achiꞌaꞌ,,child
παῖς,57,unigram,masculine,accusative,singular,xucol,1.2014814324938108,,xnaqajub-apo,,xucol,,,xukꞌachojrisaj,,xucol,child
τέκνον,383,unigram,neuter,accusative,plural,ralc'ual,7.858974220400209,ralc'ua,ralk'ual,ralc'ual,rajc'ual,ralc'ual,ralc'ual,ruchaqꞌ-runimal,ralcꞌual,ralc'ual,child
τέκνον,211,unigram,neuter,accusative,singular,rach'alal,1.0856822013777996,,rach'alal,runimal,ruch'alal,xquequiya,rach'alal,,xcaꞌquijach,xquiequijach,child
τέκνον,19,unigram,neuter,nominative,plural,xquequiya,1.1233084701721905,,,,,xquequiya,xquequiya,,xcaꞌquijach,xquiequijach,child
τέκνον,226,unigram,neuter,nominative,singular,,,Valc'ua,sikirineq,Valc'ual,Vajc'ual,Valc'ual,Walc'ual,Walkꞌuaꞌl,Nucꞌajuol,Walc'ual,child
παιδίον,17,unigram,neuter,accusative,plural,ac'uala,1.7885122386477252,ac'ola,ak'uala,ac'uala,ac'ola,ac'uala,ac'ala,akꞌolaꞌ,acꞌolaꞌ,ac'uala,child
παιδίον,108,unigram,neuter,accusative,singular,ac'ual,854.3454998502586,ac'ual,ak'ual,ac'ual,ac'ual,ac'ual,ac'al,akꞌual,acꞌual,ac'ual,child
παιδίον,203,unigram,neuter,nominative,plural,ac'uala,3.0255389929894947,ac'ola,ak'uala,ac'uala,ac'ola,ac'uala,ac'ala,walkꞌuaꞌl,acꞌolaꞌ,ac'uala,child
παιδίον,47,unigram,neuter,nominative,singular,ac'ual,84.9058551573917,ac'ual,ak'ual,ac'ual,ac'ual,ac'ual,ac'al,akꞌual,acꞌual,ac'ual,child
πόλις,215,unigram,feminine,accusative,plural,tinamit,5.804049530756753,tinamit,tinamit,tinamit,tenemit,tinamit,tinamit,tinamit,tanamet,tenemit,city
πόλις,75,unigram,feminine,accusative,singular,tinamit,4245.782517240283,tinamit,tinamit,tinamit,tenemit,tinamit,tinamit,tinamit,tanamet,tenemit,city
πύλη,310,unigram,feminine,nominative,plural,nu-iglesia,1.212541630128925,,,,,,,nu-iglesia,,,city gate
πύλη,242,unigram,feminine,nominative,singular,puerta,1.2251370978937899,puerta,nik'amon-pe,latz,nic'amo-pa,,puerta,kaꞌal,,ruchi-jay,city gate
χιτών,138,unigram,masculine,accusative,plural,,,solaj,ikusan-el,tic'uaj,tic'uaj-a,,Ma,jutzaq,Man,ich'ami,"clothing, undergarments"
χιτών,33,unigram,masculine,accusative,singular,,,naya-e,iq,coton,numoj-a,rutziak,achaqueta,kꞌul,,nuc'uaj,"clothing, undergarments"
ἱμάτιον,155,unigram,neuter,accusative,plural,tziak,1.883626976212185,rutziak,rutziaq,coton,tziak,tziek,chrij,kiqꞌuꞌun,qui-manta,tziak,coat
ἱμάτιον,154,unigram,neuter,accusative,singular,,,rutziak,tzieq,rutziek,u,tziek,ruchaqueta,kꞌul,ru-capa,tziak,coat
ἐντολή,96,unigram,feminine,accusative,plural,mandamientos,16.53667465654195,nu-mandamiento,yenbij,mandamientos,mandamientos,pixa,,mandamientos,mandamientos,mandamientos,commandment
ἐντολή,94,unigram,feminine,accusative,singular,,,mandamiento,niben,rubin,ru-mandamiento,iyo'on,rupixa,mandamiento,ru-mandamiento,qui'in,commandment
συνέδριον,366,unigram,neuter,accusative,plural,,,cuenta,komon,,camon,comon,xquixquich'ey,,autoridades,xquixch'ay,council
συνέδριον,61,unigram,neuter,accusative,singular,,,gobernar,komon,nyebanun,ye'bano,yek'aton,comon,sacerdotes,autoridades,autoridad,council
χώρα,89,unigram,feminine,accusative,plural,,,nemol,nik'ol,,,,,,,,"country, countryside"
χώρα,335,unigram,feminine,accusative,singular,Gadara,3.2360908866157128,aj-Gadara,ruwach'ulew,Gadara,lugar,Gadara,Gadara,kirochꞌulew,Gadara,Gadara,"country, countryside"
ὄχλος,67,unigram,masculine,accusative,plural,vinak,1.8156431365676828,vinak,winaqi,vinük,despedir,vinek,winek,wineq,vinak,winak,crowd
ὄχλος,10,unigram,masculine,accusative,singular,vinak,8.514313167262216,vinak,winaqi,vinük,vinak,vinek,winek,wineq,vinak,winak,crowd
ὄχλος,120,unigram,masculine,nominative,plural,vinak,4.50207161897792,xquina,winaqi,vinük,vinak,vinek,winek,wineq,vinak,winak,crowd
ὄχλος,326,unigram,masculine,nominative,singular,vinak,3.298325814773039,vinak,winaqi,vinük,vinak,vinek,winek,wineq,vinak,winak,crowd
θυγάτηρ,136,unigram,feminine,nominative,plural,quixok,1.1614773924719959,,,,quixok,,,,,,daughter
θυγάτηρ,360,unigram,feminine,nominative,singular,xten,2.0484541348012533,xten,xten,rujuna,rujuna,Jairo,ti,xten,ral-xtan,Jairo,daughter
ἡμέρα,87,unigram,feminine,accusative,plural,k'ij,526.2829653547714,k'ij,q'ij,k'ij,k'ij,k'ij,k'ij,qꞌij,kꞌij,k'ij,day
ἡμέρα,101,unigram,feminine,accusative,singular,k'ij-k'ij,79.98031486390433,k'ij-k'ij,q'ij-q'ij,k'ij-k'ij,k'ij-k'ij,k'ij-k'ij,k'ij,qꞌij-qꞌij,kꞌij-kꞌij,k'ij-k'ij,day
ἡμέρα,2,unigram,feminine,nominative,plural,k'ij,128.7312704049335,k'ij,q'ij,k'ij,k'ij,k'ij,k'ij,qꞌij,kꞌij,k'ij,day
ἡμέρα,77,unigram,feminine,nominative,singular,k'ij,7.438059516623962,nic'atzin,q'ij,k'ij,k'ij,k'ij,k'ij,Pascua,kꞌij,k'ij,day
ὀφειλέτης,293,unigram,masculine,nominative,plural,torre,1.3167216672078015,,¿Nich'ob,torre,Siloé,torre,torre,,,,debtor
ὀφειλέτης,145,unigram,masculine,nominative,singular,millón,1.456634990786376,,xbepabex-pe,millón,,millón,talentos,millón,cuentas,millones,debtor
δαιμόνιον,34,unigram,neuter,accusative,plural,espíritu,6.092222280381469,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritus,espíritus,demon
δαιμόνιον,377,unigram,neuter,accusative,singular,espíritu,23.595479986681244,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,demon
δαιμόνιον,228,unigram,neuter,nominative,plural,espíritu,10.292330560365329,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritus,espíritus,demon
δαιμόνιον,201,unigram,neuter,nominative,singular,espíritu,19.640321798801697,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,espíritu,demon
δηνάριον,351,unigram,neuter,accusative,plural,denarios,4.693170511419304,rajil,méro,ruc'as,denarios,ruc'as,denario,rajel,denarios,denarios,denarius (about a day's wages)
δηνάριον,188,unigram,neuter,accusative,singular,,,,Tik'utu,tumin,,,puek,rajel,,denario,denarius (about a day's wages)
μαθητής,208,unigram,masculine,accusative,plural,ru-discípulos,1037.4956988298864,ru-discípulos,rutijoxela,rachibila,ru-discípulos,rutijoxela,rudiscípulos,ru-discípulos,ru-discípulos,ru-discípulos,disciple
μαθητής,384,unigram,masculine,accusative,singular,discípulo,2.2172980062230407,,tijoxel,xujo'ox,,xajovex,xajowex,discípulo,discípulo,xojo,disciple
μαθητής,318,unigram,masculine,nominative,plural,ru-discípulos,3.5838923144493022,ru-discípulos,rutijoxela,rachibila,ru-discípulos,rutijoxela,rudiscípulos,discípulos,ru-discípulos,ru-discípulos,disciple
μαθητής,382,unigram,masculine,nominative,singular,discípulo,506.0593442343614,discípulo,tijoxel,achibil,nu-discípulo,tijoxel,discípulo,discípulo,discípulo,discípulo,disciple
νόσος,85,unigram,feminine,accusative,singular,jalajoj,1.1318468220650817,yabil,Yeruk'achojirisala,jalajoj,k'axomal,Yeruc'achojirisala,Yeruc'achojsaj,qꞌaxomal,yabꞌil,jalajoj,disease
περιστερά,119,unigram,feminine,accusative,plural,palomas,4.629684612619098,,,palomas,palomas,,palomax,,paluomix,palomas,dove
περιστερά,63,unigram,feminine,accusative,singular,paloma,23.476010813674613,paloma,paloma,paloma,paloma,paloma,palomax,paloma,paluomix,paloma,dove
οὖς,175,unigram,neuter,accusative,plural,ruxiquin,1.1025168884866137,trelesaj,xinbij,trac'axaj,ruxquin,,,ndukꞌoxomaj,ruxiquin,ruxiquin,ear
οὖς,325,unigram,neuter,accusative,singular,ixiquin,3.550135258871701,ixiquin,ixikin,ixiquin,ixquin,ixiquin,ixquin,chilaqꞌel,ixiquin,alak'al,ear
σεισμός,234,unigram,masculine,nominative,plural,,,cobrakan,silonel,,sananel,,,,cubꞌrakan,,"earthquakes, storm"
σεισμός,73,unigram,masculine,nominative,singular,,,,nimalej,,sananel,,silonel,kꞌateꞌ,cubꞌrakan,xbesilon-pe,"earthquakes, storm"
τέλος,37,unigram,neuter,accusative,plural,¿Chique,1.0961112485594913,,,,,,¿Chique,,,,end
τέλος,315,unigram,neuter,accusative,singular,,,ruq'uisbel,,nucoch,,,,jumul,,,end
αἰών,278,unigram,masculine,accusative,plural,,,xtiq'uis,,ntane,yixruban,,xtitane,eriy-rumam,reinar,Jacob,eternity
αἰών,347,unigram,masculine,accusative,singular,jumul,9.21467261086917,jumul,jantape,jumul,jumul,jantape,xtibe,jumul,tiempo,tiempo,eternity
ὀφθαλμός,25,unigram,masculine,accusative,plural,moy,2.084940402260745,xtzu'un,xtzu'un,moy,moy,moy,runak,xtzuꞌun,anakꞌavach,n,eye
ὀφθαλμός,11,unigram,masculine,accusative,singular,,,,niq'ajo-el,nk'ajon-e,,nik'ajon-el,nik'ajo,,,,eye
ὀφθαλμός,74,unigram,masculine,nominative,plural,runak,13.223312402120342,quivech,runaq,runak,quinak'avach,runak,runak,kiwaran,niquicochꞌ,niquicoch,eye
ὀφθαλμός,344,unigram,masculine,nominative,singular,,,runak'-avech,utz,runak'-avüch,anak'avach,runak'-avech,runak,luz,anakꞌavach,utz,eye
πρόσωπον,144,unigram,neuter,accusative,plural,kaꞌiꞌ,1.0057908992027658,,,,,,,kaꞌiꞌ,,,face
πρόσωπον,223,unigram,neuter,accusative,singular,,,nac'ut,,naxbij,natzijoj,nac'ut-vi,rupalej,,,,face
λιμός,6,unigram,feminine,nominative,plural,Xquepe,1.2419378358225959,Xquepe,,Nyepu,Xque'pa,Xquepe,Xquepe,,cubꞌrakan,wayjal,famine
λιμός,110,unigram,feminine,nominative,singular,,,nuk'asaj-vi-ri,,xbec'atzin-pe,nich'umun,,wayjal,wayijal,,,famine
λιμός,159,unigram,masculine,nominative,singular,,,malcani,qaruwach'ulew,karuch'ulef,ka-nación,karuvach'ulef,karuwach'ulef,wayijal,malcaꞌn-ixokiꞌ,,famine
γεωργός,292,unigram,masculine,nominative,plural,rajaf,1.6159417148725492,yesamajin,rajaw,rajaf,rajaf,rajaf,rajaf,eqajayon,rajaf,rajaf,"farmer, tenant"
γεωργός,58,unigram,masculine,nominative,singular,nisamajin,1.8739241696423754,nisamajin,nisamajin,,,nisamajin,samajel,samajiy,mata,nisamajin,"farmer, tenant"
πατήρ,350,unigram,masculine,accusative,singular,Nata,175.59549811225656,Nata,nata,Nata,Nata,Nata,Nata,Tataꞌaj,Nataꞌ,Nata,father
πατήρ,359,unigram,masculine,nominative,plural,ojer,2.8599386581952895,ojer,iwati't-imama,ojer,c'ue,ojer,maná,ojer,maná,ojer,father
πατήρ,217,unigram,masculine,nominative,singular,Nata,1809.2987497795639,Nata,nata,Nata,Nata,Nata,Nata,Tataꞌaj,Nataꞌ,Nata,father
σύνδουλος,168,unigram,masculine,accusative,plural,k'abarela,1.2013630877021924,k'abarela,,,,,,qꞌabꞌarelaꞌ,,k'abarela,"fellow-servant, colleague"
σύνδουλος,104,unigram,masculine,accusative,singular,xinjoyovaj,1.2728942063495612,xapokonaj,,xinjoyovaj,,xinjoyovaj,xinjoyowaj,xapoqonaj,,,"fellow-servant, colleague"
σύνδουλος,363,unigram,masculine,nominative,plural,xbequitzijoj,1.4095832238405304,xk'axo,,xbequitzijoj,quichibil-qui,xbequitzijoj,,xebꞌison,xaꞌbꞌisuon-ka,qui-patrón,"fellow-servant, colleague"
σύνδουλος,134,unigram,masculine,nominative,singular,,,,,,Quinayabej,Quinavoyobej,Quinawoyobej,,Quinavoyoꞌiej,Quinayobej,"fellow-servant, colleague"
ἀγρός,376,unigram,masculine,accusative,plural,rulef,2.137447364013442,rana,rulew,rulef,rulef,rulef,rulef,ruxolal,runimal,rulef,field
ἀγρός,46,unigram,masculine,accusative,singular,bojo,1.6583282463834657,juyu,bojo,banuy-bojo,,banoy-bojo,bojo,,Bꞌanoy-Bꞌajoꞌy,,field
δάκτυλος,270,unigram,masculine,accusative,plural,,,,,,,,rak,Xujuꞌ,,,finger
δάκτυλος,207,unigram,masculine,accusative,singular,lanza,1.1226352830673925,,sokotajik,lanza,,lanza,,taqꞌel,,,finger
ἰχθύς,179,unigram,masculine,accusative,plural,,,quer,ker,cür,car,quer,car,ker,car,quer,fish
ἰχθύς,222,unigram,masculine,accusative,singular,,,quer,ker,cür,car,quer,car,ker,car,quer,fish
δίκτυον,128,unigram,neuter,accusative,plural,,,l,chapbel-ker,tz'ambül-cür,chapabal-car,chapbel-quer,car,yaꞌl,quiyaꞌl,quer,fishing net
δίκτυον,231,unigram,neuter,accusative,singular,quer,1.2898933972759936,quer,ker,l,car,quer,car,yaꞌl,yaꞌl,quer,fishing net
δίκτυον,202,unigram,neuter,nominative,plural,,,,,ruk'ach'ixic,,,nik'oxpitej,,,,fishing net
δίκτυον,282,unigram,neuter,nominative,singular,,,,,tirak'ach'itüj,,tirak'ach'itej,,,,,fishing net
τροφή,284,unigram,feminine,accusative,plural,,,xequilok,,,,,Tasipaj,,chulokꞌic,,food
τροφή,371,unigram,feminine,accusative,singular,,,yerutzuk-apu,yerilij-apo,,nucha,,querutzuku,,rajaf-jay,racho,food
πούς,273,unigram,masculine,accusative,plural,vakan,1.585429044842957,vakan,waqen,vakün,vakan,vaken,waken,chiraqen,rakan,wakan,foot
καρπός,213,unigram,masculine,accusative,plural,kajbel,1.4319667028490972,tico,qajibel,utzilüj,cosecha,kajbel,kajbel,ruqajik,kajbꞌal,uva,"fruit, crop, harvest"
καρπός,268,unigram,masculine,accusative,singular,che,1.5026967349941724,ruvech,che,utzilüj,nivachin,quivech,che,xewachin,quivach,quiwech,"fruit, crop, harvest"
πλήρωμα,309,unigram,neuter,accusative,plural,chaquech,6.496281055723273,chaquech,chakech,chacüch,chacach,chaquech,chaquech,chakech,pir,chaquech,fullness
πλήρωμα,370,unigram,neuter,accusative,singular,c'ojobül,1.2743805480481774,,,c'ojobül,,,,,,,fullness
γενεά,311,unigram,feminine,accusative,plural,,,yek'ax-e,nujoyowaj,familia,ya'lax,sol,sol,chochꞌulewRi,ncaꞌkꞌax-el,nujoyowaj,generation
γενεά,269,unigram,feminine,accusative,singular,,,,ixk,vi,,,,eꞌachel,,,generation
γενεά,357,unigram,feminine,nominative,plural,solaj,1.7457205705823244,solaj,,,,,,,,,generation
γενεά,174,unigram,feminine,nominative,singular,tiempo,3.267108486157355,vacami,sol,vocomi,tiempo,xtic'ulvachitej,,wokami,vacame,tiempo,generation
δῶρον,349,unigram,neuter,accusative,plural,beyoma,3.228714484570681,ofrenda,xkiya,beyoma,,beyoma,beyoma,ofrendas,bꞌayomaꞌ,beyoma,gift
δῶρον,190,unigram,neuter,accusative,singular,,,altar,sipanik,sipanic,ofrenda,sipanic,ofrenda,ofrenda,altar,altar,gift
ἡγεμών,199,unigram,masculine,accusative,plural,gobernadores,1.7523164013187305,gobernadores,q'atoy,gobernadores,reyes,reyes,reyes,gobernadores,gobernadores,gobernadores,"governor, ruler"
ἡγεμών,14,unigram,masculine,accusative,singular,,,gobernador,xumey,xuca'yej,rutz'eton,rutz'eton,xumey,rukꞌuꞌx,xchapataj,,"governor, ruler"
σταφυλή,216,unigram,feminine,accusative,plural,,,,,,xtitamaj-va,,xtiwetamaj,higos,uvas,xtitemaj,grapes
σταφυλή,386,unigram,feminine,accusative,singular,,,nitemetaj,ruxulu-kiej,,xtiquiya-ta,,,,,ruq'uixal,grapes
ἀσπασμός,362,unigram,masculine,accusative,plural,,,niquimol-vi-qui,niqa,nka,niquimol-va-qui,nequimolo-vi-qui,c'aybel,ruxunaqil,niquimol-ve-quiꞌ,saludar,greeting
ἀσπασμός,200,unigram,masculine,accusative,singular,xropin,1.4581151436932636,xsilon,,xropin,xsilon,,xropin,xropin,,ru-saludo,greeting
ὁδηγός,4,unigram,masculine,nominative,plural,,,,,,,,yequiyukej,ngebꞌetzaq,,Quie'iya,guide
ὁδηγός,3,unigram,masculine,nominative,singular,yixbin,1.2418950832280675,uc'uay,,,yixbin,yixbin,yixbin,kibꞌey,ucꞌuay-bꞌay,,guide
θρίξ,43,unigram,feminine,accusative,singular,,,,q'eq,,,,,,,ijolon,hair
θρίξ,109,unigram,feminine,nominative,plural,,,ajlan,Keri,rusmal,,rusmal,ajlan,,i-jilan,,hair
θρίξ,251,unigram,feminine,nominative,singular,,,,rusumal-iwi,nyixruchajij-nyixruvaraj,,yixruchajij-yixruvaraj,,rusmal,xtitzak-el,jixruchajij,hair
χείρ,353,unigram,feminine,accusative,plural,ruk,5.776500973397707,ruk,ruq,ruk,a,ruk,ruk,ruqꞌaꞌ,rukꞌaꞌ,ruk,hand
χείρ,255,unigram,feminine,accusative,singular,ruk,3.1015995384600297,ruk,ruq,chaki,chake,ruk,ruk,ruqꞌaꞌ,rukꞌaꞌ,chaki,hand
κεφαλή,165,unigram,feminine,accusative,plural,,,,,,niquisiloj-apo,,,,niquisiluoj,,head
κεφαλή,239,unigram,feminine,accusative,singular,rujolon,389.77696487005426,rujolon,rujolon,rujolon,rujalom,rujolon,rujolon,rujolon,rujaluon,rujolon,head
στάχυς,240,unigram,masculine,accusative,plural,ticon,1.5590125175732292,yequik'upula-e,kiwayjal,trigo,ticon,ticon,ticon,,ncaꞌquichꞌup-el,ticon,head of grain
στάχυς,86,unigram,masculine,accusative,singular,,,nuc'ut-pe-ri,,,,,nbetz'uc,,chꞌuteꞌn-oc,ninoj-pe,head of grain
καρδία,38,unigram,feminine,accusative,plural,choj,1.062617448312172,,,choj,choj,choj,choj,,,,heart
καρδία,328,unigram,feminine,accusative,singular,,,xin-ij,kowirineq,covirnük,ivánma,covirinek,cowirnek,,cof,cowirinak,heart
καρδία,378,unigram,feminine,nominative,plural,,,,,quixk'abür,quixk'abar,quixk'aber,,,,,heart
καρδία,224,unigram,feminine,nominative,singular,,,ivánima,iwánima,ivánima,ivánma,ivánima,iwánima,iwánima,ivánima,iwánima,heart
οὐρανός,7,unigram,masculine,accusative,plural,rocaj,1.202848464565591,xulan-pe,,,rocaj,,xjakatej,,rocaj,,"heaven, sky"
οὐρανός,305,unigram,masculine,accusative,singular,chicaj,87.60783209782669,chicaj,chikaj,chicaj,chicaj,chicaj,chicaj,chikaj,chicaj,chicaj,"heaven, sky"
