lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1684_translation,version_1685_translation,version_1682_translation,version_1680_translation,version_1679_translation,version_1669_translation,version_1681_translation,version_1674_translation,version_1666_translation,version_1665_translation,version_1671_translation,version_1667_translation,version_1670_translation,version_1675_translation,version_1673_translation,version_1677_translation,version_1683_translation,version_1676_translation,version_1672_translation,version_1668_translation,version_1664_translation,version_1663_translation,version_1678_translation,english_translation
ἄγγελος,90,unigram,masculine,nominative,singular,,,ဒရ္ၑနံ,ទឝ៌នំ,ทูต,ദർശനം,ದರ್ಶನಂ,darśanaṁ,දූතෝ,ਦੂਤੋ,darzanaM,parame,दर्शनं,darshanaM,دَرْشَنَں,દર્શનં,দৰ্শনং,தூ³தோ,དརྴནཾ,ଦର୍ଶନଂ,দর্শনং,darśanaṁ,darzanaM,स्‍वर्गदूतः,దర్శనం,angel
ἀπόστολος,34,unigram,masculine,nominative,plural,,,ပြေရိတား,ប្រេរិតាះ,เปฺรริตา,പ്രേരിതാഃ,ಪ್ರೇರಿತಾಃ,prēritāḥ,ප්‍රේරිතාඃ,ਪ੍ਰੇਰਿਤਾਃ,preritAH,preritaa.h,प्रेरिताः,preritAH,پْریرِتاح,પ્રેરિતાઃ,প্ৰেৰিতাঃ,ப்ரேரிதா​,པྲེརིཏཱཿ,ପ୍ରେରିତାଃ,প্রেরিতাঃ,preritāḥ,prEritAH,प्रेरिताः,ప్రేరితాః,apostle
ἐξουσία,161,unigram,feminine,accusative,singular,haste,1.1465579599486013,ဟသ္တေ,ហស្តេ,หเสฺต,ഹസ്തേ,ಹಸ್ತೇ,hastē,හස්තේ,ਹਸ੍ਤੇ,haste,haste,हस्ते,haste,ہَسْتے,હસ્તે,হস্তে,ஹஸ்தே,ཧསྟེ,ହସ୍ତେ,হস্তে,haste,hastE,अधिकारेण,హస్తే,authority
βρέφος,267,unigram,neuter,accusative,singular,,,ၑယနံ,ឝយនំ,ศยนํ,ശയനം,ಶಯನಂ,śayanaṁ,ශයනං,ਸ਼ਯਨੰ,zayanaM,sayana.m,शयनं,shayanaM,شَیَنَں,શયનં,শযনং,ஸ²யநம்ʼ,ཤཡནཾ,ଶଯନଂ,শযনং,śayanaṁ,zayanaM,बालकं,శయనం,babies
ἀποθήκη,56,unigram,feminine,accusative,singular,prasphoTya,1.2454407672860872,ပြသ္ဖောဋျ,ប្រស្ផោដ្យ,ปฺรโสฺผฏฺย,പ്രസ്ഫോട്യ,ಪ್ರಸ್ಫೋಟ್ಯ,prasphōṭya,ප්‍රස්ඵෝට්‍ය,ਪ੍ਰਸ੍ਫੋਟ੍ਯ,prasphoTya,,प्रस्फोट्य,prasphoTya,پْرَسْپھوٹْیَ,પ્રસ્ફોટ્ય,প্ৰস্ফোট্য,ப்ரஸ்போ²ட்ய,པྲསྥོཊྱ,ପ୍ରସ୍ଫୋଟ୍ୟ,প্রস্ফোট্য,prasphoṭya,prasphOTya,गोधूमान्‌,ప్రస్ఫోట్య,barn
φραγμός,92,unigram,masculine,accusative,singular,परदेशं,1.5852278674119618,,,,,,,,,,,,,,,,,,,,,,परदेशं,,"barrier, wall"
ἀρχή,147,unigram,feminine,accusative,singular,,,,,,,,,,,,aa,,,,,,,,,,,,कस्‍त्‍वम्‌,,beginning
βλασφημία,167,unigram,feminine,nominative,plural,svaranindaa,1.999949021035427,,,,,,,,,,svaranindaa,,,,,,,,,,,,,,blasphemy
βλασφημία,70,unigram,feminine,nominative,singular,निन्‍दा,1.9999473708295743,,,,,,,,,,,,,,,,,,,,,,निन्‍दा,,blasphemy
πλοῖον,88,unigram,neuter,accusative,plural,नावौ,1.1986451715436457,,,,,,,,,,,,,,,,,,,,,,नावौ,,boat
πλοῖον,256,unigram,neuter,accusative,singular,nAvamAruhya,2.5416176832076456,နာဝမာရုဟျ,នាវមារុហ្យ,นาวมารุหฺย,നാവമാരുഹ്യ,ನಾವಮಾರುಹ್ಯ,nāvamāruhya,නාවමාරුහ්‍ය,ਨਾਵਮਾਰੁਹ੍ਯ,nAvamAruhya,naavamaaruhya,नावमारुह्य,nAvamAruhya,ناوَمارُہْیَ,નાવમારુહ્ય,নাৱমাৰুহ্য,நாவமாருஹ்ய,ནཱཝམཱརུཧྱ,ନାୱମାରୁହ୍ୟ,নাৱমারুহ্য,nāvamāruhya,nAvamAruhya,नावि,నావమారుహ్య,boat
πλοῖον,186,unigram,neuter,nominative,singular,नौः,1.9574688220132432,,,,,,,,,,,,,,,,,,,,,,नौः,,boat
σῶμα,48,unigram,neuter,nominative,singular,tava,2.4369681690027014,တဝ,តវ,วปุ,തവ,ತವ,tava,තව,ਤਵ,tava,tava,तव,tava,تَوَ,તવ,তৱ,தவ,ཏཝ,ତୱ,তৱ,tava,tava,देहस्‍य,తవ,body
κλῆμα,121,unigram,neuter,nominative,singular,mayi,2.9690916970351937,မယိ,មយិ,มยิ,മയി,ಮಯಿ,mayi,මයි,ਮਯਿ,mayi,mayi,मयि,mayi,مَیِ,મયિ,মযি,மயி,མཡི,ମଯି,মযি,mayi,mayi,मयि,మయి,branch
ἄρτος,260,unigram,masculine,accusative,plural,kati,1.2192785090999756,ကတိ,កតិ,ปูปา,കതി,ಕತಿ,kati,කති,ਕਤਿ,kati,kati,कति,kati,کَتِ,કતિ,কতি,கதி,ཀཏི,କତି,কতি,kati,kati,रोटिकाः,కతి,bread
ἄρτος,281,unigram,masculine,accusative,singular,pUpaM,2.369200459149886,ပူပံ,បូបំ,ปูปํ,പൂപം,ಪೂಪಂ,pūpaṁ,පූපං,ਪੂਪੰ,pUpaM,puupa.m,पूपं,pUpaM,پُوپَں,પૂપં,পূপং,பூபம்ʼ,པཱུཔཾ,ପୂପଂ,পূপং,pūpaṁ,pUpaM,रोटिकां,పూపం,bread
ἄρτος,126,unigram,masculine,nominative,plural,pUpAn,5.957947858673132,ပူပါန်,បូបាន៑,ปูปานฺ,പൂപാൻ,ಪೂಪಾನ್,pūpān,පූපාන්,ਪੂਪਾਨ੍,pUpAn,puupaan,पूपान्,pUpAn,پُوپانْ,પૂપાન્,পূপান্,பூபாந்,པཱུཔཱན྄,ପୂପାନ୍,পূপান্,pūpān,pUpAn,रोटिकाः,పూపాన్,bread
ἄρτος,29,unigram,masculine,nominative,singular,,,သွရ္ဂာဒါဂစ္ဆတ်,ស្វគ៌ាទាគច្ឆត៑,สฺวรฺคาทาคจฺฉตฺ,സ്വർഗാദാഗച്ഛത്,ಸ್ವರ್ಗಾದಾಗಚ್ಛತ್,svargādāgacchat,ස්වර්ගාදාගච්ඡත්,ਸ੍ਵਰ੍ਗਾਦਾਗੱਛਤ੍,svargAdAgacchat,svargaadaagacchat,स्वर्गादागच्छत्,svargAdAgachChat,سْوَرْگاداگَچّھَتْ,સ્વર્ગાદાગચ્છત્,স্ৱৰ্গাদাগচ্ছৎ,ஸ்வர்கா³தா³க³ச்ச²த்,སྭརྒཱདཱགཙྪཏ྄,ସ୍ୱର୍ଗାଦାଗଚ୍ଛତ୍,স্ৱর্গাদাগচ্ছৎ,svargādāgacchat,svargAdAgacchat,रोटिका,స్వర్గాదాగచ్ఛత్,bread
ἀδελφός,247,unigram,masculine,accusative,plural,jAyAM,1.744531373156033,ဇာယာံ,ជាយាំ,ชายำ,ജായാം,ಜಾಯಾಂ,jāyāṁ,ජායාං,ਜਾਯਾਂ,jAyAM,jaayaa.m,जायां,jAyAM,جایاں,જાયાં,জাযাং,ஜாயாம்ʼ,ཛཱཡཱཾ,ଜାଯାଂ,জাযাং,jāyāṁ,jAyAM,भ्रात्रृन्‌,జాయాం,brother
ἀδελφός,99,unigram,masculine,accusative,singular,bhrAtA,6.247994863505243,ဘြာတာ,ភ្រាតា,ภฺราตา,ഭ്രാതാ,ಭ್ರಾತಾ,bhrātā,භ්‍රාතා,ਭ੍ਰਾਤਾ,bhrAtA,bhraataa,भ्राता,bhrAtA,بھْراتا,ભ્રાતા,ভ্ৰাতা,ப்⁴ராதா,བྷྲཱཏཱ,ଭ୍ରାତା,ভ্রাতা,bhrātā,bhrAtA,भ्राता,భ్రాతా,brother
ἀδελφός,91,unigram,masculine,nominative,plural,mAtA,7.44660999526042,မာတာ,មាតា,มาตา,മാതാ,ಮಾತಾ,mātā,මාතා,ਮਾਤਾ,mAtA,bhraatara,माता,mAtA,ماتا,માતા,মাতা,மாதா,མཱཏཱ,ମାତା,মাতা,mātā,mAtA,माता,మాతా,brother
ἀδελφός,190,unigram,masculine,nominative,singular,bhrAtA,471.77152193671577,ဘြာတာ,ភ្រាតា,ภฺราตา,ഭ്രാതാ,ಭ್ರಾತಾ,bhrātā,භ්‍රාතා,ਭ੍ਰਾਤਾ,bhrAtA,bhraataa,भ्राता,bhrAtA,بھْراتا,ભ્રાતા,ভ্ৰাতা,ப்⁴ராதா,བྷྲཱཏཱ,ଭ୍ରାତା,ভ্রাতা,bhrātā,bhrAtA,भ्राता,భ్రాతా,brother
στῆθος,234,unigram,neuter,accusative,singular,যীশো,1.2530598029621927,ယီၑော,យីឝោ,เห,യീശോ,ಯೀಶೋ,yīśō,යීශෝ,ਯੀਸ਼ੋ,yIzo,he,यीशो,yIsho,یِیشو,યીશો,যীশো,யீஸோ²,ཡཱིཤོ,ଯୀଶୋ,যীশো,yīśo,yIzO,प्रभो,యీశో,"chest, breast"
ἀρχιερεύς,201,unigram,masculine,accusative,plural,pradhAnayAjakAn,3.2542148256625203,ပြဓာနယာဇကာန်,ប្រធានយាជកាន៑,ปฺรธานยาชกานฺ,പ്രധാനയാജകാൻ,ಪ್ರಧಾನಯಾಜಕಾನ್,pradhānayājakān,ප්‍රධානයාජකාන්,ਪ੍ਰਧਾਨਯਾਜਕਾਨ੍,pradhAnayAjakAn,pradhaanayaajakaan,प्रधानयाजकान्,pradhAnayAjakAn,پْرَدھانَیاجَکانْ,પ્રધાનયાજકાન્,প্ৰধানযাজকান্,ப்ரதா⁴நயாஜகாந்,པྲདྷཱནཡཱཛཀཱན྄,ପ୍ରଧାନଯାଜକାନ୍,প্রধানযাজকান্,pradhānayājakān,pradhAnayAjakAn,महापुरोहितान्‌,ప్రధానయాజకాన్,chief priest
ἀρχιερεύς,49,unigram,masculine,accusative,singular,,,ယီၑုံ,យីឝុំ,นินฺยุ,യീശും,ಯೀಶುಂ,yīśuṁ,යීශුං,ਯੀਸ਼ੁੰ,yIzuM,su.m,यीशुं,yIshuM,یِیشُں,યીશું,যীশুং,நிந்யு​,ཡཱིཤུཾ,ଯୀଶୁଂ,যীশুং,yīśuṁ,yIzuM,धर्मवृद्धाः,యీశుం,chief priest
ἀρχιερεύς,98,unigram,masculine,nominative,plural,pradhAnayAjakA,15.823832947039618,ပြဓာနယာဇကာ,ប្រធានយាជកា,ปฺรธานยาชกา,പ്രധാനയാജകാ,ಪ್ರಧಾನಯಾಜಕಾ,pradhānayājakā,ප්‍රධානයාජකා,ਪ੍ਰਧਾਨਯਾਜਕਾ,pradhAnayAjakA,pradhaanayaajakaa,प्रधानयाजका,pradhAnayAjakA,پْرَدھانَیاجَکا,પ્રધાનયાજકા,প্ৰধানযাজকা,ப்ரதா⁴நயாஜகா,པྲདྷཱནཡཱཛཀཱ,ପ୍ରଧାନଯାଜକା,প্রধানযাজকা,pradhānayājakā,pradhAnayAjakA,महापुरोहिताः,ప్రధానయాజకా,chief priest
ἀρχιερεύς,206,unigram,masculine,nominative,singular,,,,,มหายาชก,,,,,,,,,,,,,,,,,,,प्रधानमहापुरोहितः,,chief priest
παῖς,194,unigram,masculine,accusative,plural,सर्वान्‌,1.0278317625960744,,,,,,,,,,,,,,,,,,,,,,सर्वान्‌,,child
τέκνον,275,unigram,neuter,accusative,plural,santAnAn,3.200122210993244,သန္တာနာန်,សន្តានាន៑,สนฺตานานฺ,സന്താനാൻ,ಸನ್ತಾನಾನ್,santānān,සන්තානාන්,ਸਨ੍ਤਾਨਾਨ੍,santAnAn,santaanaan,सन्तानान्,santAnAn,سَنْتانانْ,સન્તાનાન્,সন্তানান্,ஸந்தாநாந்,སནྟཱནཱན྄,ସନ୍ତାନାନ୍,সন্তানান্,santānān,santAnAn,सन्‍तानान्‌,సన్తానాన్,child
τέκνον,144,unigram,neuter,accusative,singular,bhrAtA,1.09540199250385,ဘြာတာ,ភ្រាតា,ภฺราตา,ഭ്രാതാ,ಭ್ರಾತಾ,bhrātā,භ්‍රාතා,ਭ੍ਰਾਤਾ,bhrAtA,bhraataa,भ्राता,bhrAtA,بھْراتا,ભ્રાતા,ভ্ৰাতা,ப்⁴ராதா,བྷྲཱཏཱ,ଭ୍ରାତା,ভ্রাতা,bhrātā,bhrAtA,भ्राता,భ్రాతా,child
τέκνον,12,unigram,neuter,nominative,plural,tau,2.4852145187629233,တော်,តៅ,เตา,തൗ,ತೌ,tau,තෞ,ਤੌ,tau,tau,तौ,tau,تَو,તૌ,তৌ,தௌ,ཏཽ,ତୌ,তৌ,tau,tau,पित्रोः,తౌ,child
τέκνον,155,unigram,neuter,nominative,singular,putra,2.371661263105089,ပုတြ,បុត្រ,ปุตฺร,പുത്ര,ಪುತ್ರ,putra,පුත්‍ර,ਪੁਤ੍ਰ,putra,putra,पुत्र,putra,ہے,પુત્ર,পুত্ৰ,புத்ர,པུཏྲ,ପୁତ୍ର,পুত্র,putra,putra,वत्‍स,పుత్ర,child
παιδίον,11,unigram,neuter,accusative,plural,vArayata,1.1495591536665317,ဝါရယတ,វារយត,วารยต,വാരയത,ವಾರಯತ,vārayata,වාරයත,ਵਾਰਯਤ,vArayata,si,वारयत,vArayata,شِشُونْ,વારયત,ৱাৰযত,வாரயத,ཝཱརཡཏ,ୱାରଯତ,ৱারযত,vārayata,vArayata,बालकान्‌,వారయత,child
παιδίον,75,unigram,neuter,accusative,singular,,,ၑိၑုံ,ឝិឝុំ,ศิศุํ,ശിശും,ಶಿಶುಂ,śiśuṁ,ශිශුං,ਸ਼ਿਸ਼ੁੰ,zizuM,tanmaatara,शिशुं,shishuM,شِشُں,શિશું,শিশুং,ஸி²ஸு²ம்ʼ,ཤིཤུཾ,ଶିଶୁଂ,শিশুং,śiśuṁ,zizuM,बालकं,శిశుం,child
παιδίον,31,unigram,neuter,nominative,singular,,,,,พาลก,,,,,,,,,,,,,,,,,,,बालकः,,child
πόλις,52,unigram,feminine,accusative,singular,nagaraM,2.9945988075856342,နဂရံ,នគរំ,นครํ,നഗരം,ನಗರಂ,nagaraṁ,නගරං,ਨਗਰੰ,nagaraM,nagara.m,नगरं,nagaraM,نَگَرَں,નગરં,নগৰং,நக³ரம்ʼ,ནགརཾ,ନଗରଂ,নগরং,nagaraṁ,nagaraM,नगरं,నగరం,city
πύλη,166,unigram,feminine,nominative,singular,vartma,1.8329669348053552,ဝရ္တ္မ,វត៌្ម,วรฺตฺม,വർത്മ,ವರ್ತ್ಮ,vartma,වර්ත්ම,ਵਰ੍ਤ੍ਮ,vartma,vartma,वर्त्म,vartma,وَرْتْمَ,વર્ત્મ,ৱৰ্ত্ম,வர்த்ம,ཝརྟྨ,ୱର୍ତ୍ମ,ৱর্ত্ম,vartma,vartma,नयति।,వర్త్మ,city gate
χιτών,94,unigram,masculine,accusative,plural,dve,1.7372004211575736,ဒွေ,ទ្វេ,ยษฺฏิ,ദ്വേ,ದ್ವೇ,dvē,ද්වේ,ਦ੍ਵੇ,dve,dve,द्वे,dve,دْوے,દ્વે,দ্ৱে,த்³வே,དྭེ,ଦ୍ୱେ,দ্ৱে,dve,dvE,द्वे,ద్వే,"clothing, undergarments"
χιτών,24,unigram,masculine,accusative,singular,,,ကၖတွာ,ក្ឫត្វា,กฺฤตฺวา,കൃത്വാ,ಕೃತ್ವಾ,kr̥tvā,කෘත්වා,ਕ੍ਰੁʼਤ੍ਵਾ,kRtvA,k.rtvaa,कृत्वा,kR^itvA,کرِتْوا,કૃત્વા,কৃৎৱা,க்ருʼத்வா,ཀྲྀཏྭཱ,କୃତ୍ୱା,কৃৎৱা,kṛtvā,kRtvA,एकं,కృత్వా,"clothing, undergarments"
ἱμάτιον,106,unigram,neuter,accusative,plural,tadupari,1.2147353891845785,တဒုပရိ,តទុបរិ,ตทุปริ,തദുപരി,ತದುಪರಿ,tadupari,තදුපරි,ਤਦੁਪਰਿ,tadupari,kru,तदुपरि,tadupari,تَدُپَرِ,તદુપરિ,তদুপৰি,தது³பரி,ཏདུཔརི,ତଦୁପରି,তদুপরি,tadupari,tadupari,वस्‍त्राणि,తదుపరి,coat
ἱμάτιον,105,unigram,neuter,accusative,singular,वस्‍त्रं,1.2697834887440778,,,,,,,,,,,,,,,,,,,,,,वस्‍त्रं,,coat
ἐντολή,67,unigram,feminine,accusative,plural,,,မမာဇ္ဉာ,មមាជ្ញា,มมาชฺญา,മമാജ്ഞാ,ಮಮಾಜ್ಞಾ,mamājñā,මමාඥා,,mamAjJA,naa.h,ममाज्ञा,nAH,مَماجْنا,મમાજ્ઞા,মমাজ্ঞা,மமாஜ்ஞா,མམཱཛྙཱ,ମମାଜ୍ଞା,মমাজ্ঞা,mamājñā,mamAjnjA,जानासि,మమాజ్ఞా,commandment
ἐντολή,65,unigram,feminine,accusative,singular,īśvarājñāṁ,2.1453837455100873,ဤၑွရာဇ္ဉာံ,ឦឝ្វរាជ្ញាំ,อีศฺวราชฺญำ,ഈശ്വരാജ്ഞാം,ಈಶ್ವರಾಜ್ಞಾಂ,īśvarājñāṁ,ඊශ්වරාඥාං,ਈਸ਼੍ਵਰਾਜ੍ਞਾਂ,IzvarAjJAM,naa.m,ईश्वराज्ञां,nAM,اِیشْوَراجْناں,ઈશ્વરાજ્ઞાં,ঈশ্ৱৰাজ্ঞাং,ஈஸ்²வராஜ்ஞாம்ʼ,ཨཱིཤྭརཱཛྙཱཾ,ଈଶ୍ୱରାଜ୍ଞାଂ,ঈশ্ৱরাজ্ঞাং,īśvarājñāṁ,IzvarAjnjAM,आज्ञां,ఈశ్వరాజ్ఞాం,commandment
συνέδριον,41,unigram,neuter,accusative,singular,sabhAM,5.709795978548602,သဘာံ,សភាំ,สภำ,സഭാം,ಸಭಾಂ,sabhāṁ,සභාං,ਸਭਾਂ,sabhAM,sabhaa.m,सभां,sabhAM,سَبھاں,સભાં,সভাং,ஸபா⁴ம்ʼ,སབྷཱཾ,ସଭାଂ,সভাং,sabhāṁ,sabhAM,महापुरोहिताः,సభాం,council
χώρα,237,unigram,feminine,accusative,singular,gatvA,1.0765918154822243,ဂတွာ,គត្វា,คตฺวา,ഗത്വാ,ಗತ್ವಾ,gatvā,ගත්වා,ਗਤ੍ਵਾ,gatvA,gatvaa,गत्वा,gatvA,گَتْوا,ગત્વા,গৎৱা,க³த்வா,གཏྭཱ,ଗତ୍ୱା,গৎৱা,gatvā,gatvA,पारे,గత్వా,"country, countryside"
ὄχλος,45,unigram,masculine,accusative,plural,manujAn,5.029723751939154,မနုဇာန်,មនុជាន៑,มนุชานฺ,മനുജാൻ,ಮನುಜಾನ್,manujān,මනුජාන්,ਮਨੁਜਾਨ੍,manujAn,manujaan,मनुजान्,manujAn,مَنُجانْ,મનુજાન્,মনুজান্,மநுஜாந்,མནུཛཱན྄,ମନୁଜାନ୍,মনুজান্,manujān,manujAn,जनान्‌,మనుజాన్,crowd
ὄχλος,6,unigram,masculine,accusative,singular,lokebhyo,1.1015861601352608,လောကေဘျော,លោកេភ្យោ,โลเกโภฺย,ലോകേഭ്യോ,ಲೋಕೇಭ್ಯೋ,lōkēbhyō,ලෝකේභ්‍යෝ,ਲੋਕੇਭ੍ਯੋ,lokebhyo,lokebhyo,लोकेभ्यो,lokebhyo,لوکیبھْیو,લોકેભ્યો,লোকেভ্যো,லோகேப்⁴யோ,ལོཀེབྷྱོ,ଲୋକେଭ୍ୟୋ,লোকেভ্যো,lokebhyo,lOkEbhyO,शिष्‍यान्‌,లోకేభ్యో,crowd
ὄχλος,81,unigram,masculine,nominative,plural,nirAmayAn,1.3841435115263574,နိရာမယာန်,និរាមយាន៑,นิรามยานฺ,നിരാമയാൻ,ನಿರಾಮಯಾನ್,nirāmayān,නිරාමයාන්,ਨਿਰਾਮਯਾਨ੍,nirAmayAn,niraamayaan,निरामयान्,nirAmayAn,نِرامَیانْ,નિરામયાન્,নিৰামযান্,நிராமயாந்,ནིརཱམཡཱན྄,ନିରାମଯାନ୍,নিরামযান্,nirāmayān,nirAmayAn,जनाः,నిరామయాన్,crowd
ὄχλος,230,unigram,masculine,nominative,singular,,,လောကာ,លោកា,โลกา,ലോകാ,ಲೋಕಾ,lōkā,ලෝකා,ਲੋਕਾ,lokA,lokaa,लोका,lokA,لوکا,લોકા,লোকা,லோகா,ལོཀཱ,ଲୋକା,লোকা,lokā,lOkA,एकः,లోకా,crowd
θυγάτηρ,259,unigram,feminine,nominative,singular,kanyA,1.0972274887877376,ကနျာ,កន្យា,กนฺยา,കന്യാ,ಕನ್ಯಾ,kanyā,කන්‍යා,ਕਨ੍ਯਾ,kanyA,kanyaa,कन्या,kanyA,کَنْیا,કન્યા,কন্যা,கந்யா,ཀནྱཱ,କନ୍ୟା,কন্যা,kanyā,kanyA,दुहिता,కన్యా,daughter
ἡμέρα,60,unigram,feminine,accusative,plural,তৃতীযদিনে,2.013657921281731,တၖတီယဒိနေ,ត្ឫតីយទិនេ,ตฺฤตียทิเน,തൃതീയദിനേ,ತೃತೀಯದಿನೇ,tr̥tīyadinē,තෘතීයදිනේ,ਤ੍ਰੁʼਤੀਯਦਿਨੇ,tRtIyadine,t.rtiiyadine,तृतीयदिने,tR^itIyadine,ترِتِییَدِنے,તૃતીયદિને,তৃতীযদিনে,த்ருʼதீயதி³நே,ཏྲྀཏཱིཡདིནེ,ତୃତୀଯଦିନେ,তৃতীযদিনে,tṛtīyadine,tRtIyadinE,चत्‍वारिंशत्‌,తృతీయదినే,day
ἡμέρα,71,unigram,feminine,accusative,singular,pratyahaM,3.1247053380185577,ပြတျဟံ,ប្រត្យហំ,ปฺรตฺยหํ,പ്രത്യഹം,ಪ್ರತ್ಯಹಂ,pratyahaṁ,ප්‍රත්‍යහං,ਪ੍ਰਤ੍ਯਹੰ,pratyahaM,pratyaha.m,प्रत्यहं,pratyahaM,پْرَتْیَہَں,પ્રત્યહં,প্ৰত্যহং,ப்ரத்யஹம்ʼ,པྲཏྱཧཾ,ପ୍ରତ୍ୟହଂ,প্রত্যহং,pratyahaṁ,pratyahaM,प्रत्‍यहं,ప్రత్యహం,day
