ISO_639_3_Code,Language Name,Wikidata Entity,Leaftop Bible version Id,bible.com/versions,Likely name of bible
apn,Apinayé,Q2858311,147,514,trtm kaper a kaga nyw
apu,Apurinã,Q2859081,148,864,teoso sakire amaneri
arl,Arabela,Q2591221,150,519,quiarinio pueyaso rupaa pa jiyaniijia jesucristojiniji pueyano rupaajinia
atq,Aralle-Tabulahan,Q4783889,152,2839,suha masero
aai,Arifama-Miniafia,Q4790560,155,407,tur gewasin o baibasit boubun
luc,Aringa,Q56556,156,2341,j udi r
apr,Arop-Lokep,Q2863482,159,1409,rau ke maro
aia,Arosi,Q2863483,160,1639,taroha goro mana usuusu maea
msy,Aruamu,Q3501809,161,913,godn akar aghuim akar dkrzir gavgavir igiam
cni,Asháninka,Q3437230,162,575,irineane tasorentsi oquenquetsatacotaqueri avincatsarite jesoquirishito
cjo,Ashéninka,Q3450481,163,568,iwaperite tajorentsi ikenkithatakoetziri awinkatharite jesokirishito owakirari inimotakiri tajorentsi
asm,Assamese,Q29401,2258,1979,
asm,Assamese,Q29401,2259,2436,irv 2019
aii,Assyrian Neo-Aramaic,Q29440,2241,1080,
atd,Ata Manobo,Q12627315,166,1003,kasulatan to magboboot
mib,Atatláhuca–San Miguel Mixtec,Q12953721,167,851,new testament in mixtec atatlahuca
atj,Atikamekw,Q56590,168,2342,kice manito ocki omirwatcimowin
avt,Au,Q3446608,169,967,hm yaaim me god
auu,Auye,Q4827334,170,2547,auye
ava,Avaric,Q29561,2149,2086,inzhil
avn,Avatime,Q34796,171,1982,kunyanya vuvu y
avu,Avokaya,Q56685,172,1766,ta dri ll odi ovari ka
awb,Awa,Q2874650,173,932,manikane o ehwehne
kwi,Awa Pit,Q2603103,174,1092,masas pit jesucristowa
awa,Awadhi,Q29579,175,2560,
agu,Awakatek,Q35091,1550,518,yi antiw bibleslash yi acaj testament
agu,Awakatek,Q35091,1551,941,yi antiw testamentslash yi acaj testament
auy,Awiyaana,Q2873211,177,845,au aai simai kaaisamakain aai
cpc,Axininca,Q3327405,101,579,kamiithari naantsi
quy,Ayacucho Quechua,Q35145,178,2389,chuya qellqa la biblia en quechua de ayacucho 2012
quy,Ayacucho Quechua,Q35145,179,556,chuya qellqa 1992
quy,Ayacucho Quechua,Q35145,180,2390,quechua ayacucho bible 1987
vmy,Ayautla Mazatec,Q14916912,181,655,el nuevo testamento mazateco de ayautla
ayo,Ayoreo,Q56634,185,2825,dupade uruode
miy,Ayutla Mixtec,Q13583508,188,1659,el nuevo testamento
mpg,Azumeina,Q56614,1178,855,bible azumeina
bbk,Babanki,Q34790,191,1983,the new testament in the babanki language
bvd,Baeggu,Q2878850,193,1901,na alangaia falu ana baea i baeguu
ksf,Bafia,Q34930,194,876,bafia new testament
bdq,Bahnar,Q32924,209,2137,sp hlabar nr bok kei dei
bdh,Baka,Q2880165,210,1563,mkanda lor b lomo k dos ey e
bkq,Bakairi,Q56846,211,408,deus itaumbyry
bki,Baki,Q11024697,212,2420,verikariano vou na baki
loq,Bala,Q4849710,1076,1294,sangola eenyakune
blw,Balangao,Q4850033,213,1115,hen alen apudyus
blz,Balantak,Q4850053,214,2845,kitab molinas men ringkat na alaataala
blz,Balantak,Q4850053,215,337,kitap molinas men ringkat na alaataala perjanjian baru
bcn,Bali,Q34892,216,2513,wale i kpan isuwi waltamne a nye maya
ban,Balinese,Q33070,217,302,cakepan suci
rml,Baltic Romani,Q513736,1576,2605,biblija pe baltitko romani cib romanes 2019
rml,Baltic Romani,Q513736,1578,2606,bibliya pe baltitko romani chib romanes 2019
bmo,Bambalang,Q34868,219,2348,waal kn a fhi
ptu,Bambam,Q4853321,221,1147,suha maseho kadadiam anna padandiam bakahu
bcw,Bana,Q56272,222,1767,zliya ywn kwma wz naa dzkn yesw kristw
bza,Bandi,Q34912,640,2827,kl niinai
bqj,Bandial,Q34872,223,1300,bqj firim fafu fal alaemit
bgz,Banggai,Q3441692,224,2841,kitab moliyous bilita monondok
bno,Bantoanon,Q29490,226,2174,bag ong kasuyatan
bci,Baoulé,Q35107,227,1643,nyanmien nde ufle
bbb,Barai,Q4858206,228,970,godido vua maeje
bsn,Barasana-Eduria,Q2883843,229,571,dios oca gotirituti
mlp,Bargam,Q4860543,231,1084,god ago maror muturta agamukan
bfa,Bari,Q35042,1018,2666,bibilia buk na un nagon koti luu a
bch,Bariai,Q2884502,232,960,deo ele posanga
bba,Bariba,Q34889,190,1138,bibeli gusunn gari
bzw,Basa-Benue,Q34898,1612,2631,utakada tijilo
bak,Bashkir,Q13389,2145,1929,inzhil
eus,Basque,Q8752,556,56,elizen arteko biblia biblia en euskara traduccion interconfesional
eus,Basque,Q8752,557,223,elizen arteko biblia biblia en euskara traduccion interconfesional
eus,Basque,Q8752,558,25,navarro labourdin basque
bsq,Bassa,Q34949,236,2826,s bao
bsc,Bassari,Q35098,1447,1556,akayeta and eter ekaax a akayeta ananar a
ifb,Batad,Q12953578,237,2230,nan hapit apo dios
akb,Batak Angkola,Q2640686,238,2836,bibel jamita na denggan
btd,Batak Dairi,Q2891045,239,2846,lapihen simbadia
bgr,Bawm,Q56765,243,1945,bawm common language bible version
beo,Beami,Q3504079,244,2441,gode ea sia idaiwane gala
bjv,Bedjond jezik,Q8829831,1310,331,kl mnd k sg
bjv,Bedjond jezik,Q8829831,1311,1445,bjv maktb le luwe k ta nangnda
beq,Beembe,Q3196320,915,812,musamu wamubwete
bel,Belarusian,Q9091,2187,1723,bibliya peraklad v syomuhi
bel,Belarusian,Q9091,2188,1573,novy zapavet i knigi staroga zapavetu
bzj,Belizean Creole,Q1363055,258,409,di nyoo testiment eena bileez kriol
bem,Bemba,Q33052,357,1097,ishiwi lyakwa lesa 2015
bef,Benabena,Q2895638,245,1019,ka lamanaa monoi lu mu tifiehina ka yabe
ben,Bengali,Q9610,2260,95,kitabul mukkadas
ben,Bengali,Q9610,2261,155,pobitro baibel
ben,Bengali,Q9610,2262,1883,irv 
ben,Bengali,Q9610,2263,809,
ben,Bengali,Q9610,2264,1690,bsi cl bible bsi
ben,Bengali,Q9610,2265,1791,
ben,Bengali,Q9610,2266,1681,bsi o dot v bsi
ben,Bengali,Q9610,2267,2412,
bkl,Berik,Q378743,246,2844,taterisi uwa sanbagirmana ibirmiserem
bom,Berom,Q35013,247,1591,bwok basa dagwi wuna na sira roso tanga pas
bep,Besoa,Q8840465,250,2840,sura magasa bahangapa sura pototowia to sae hai pototowia to wou
bhd,Bhadrawahi,Q4900565,252,2767,nt 
bhw,Biak,Q1961488,253,2843,ankankinem eye ro fafisu ine
big,Biangai,Q8842027,254,965,anotogi ngago wikta
bth,Biatah,Q2900881,255,18,simanya bauh
biu,Biete,Q4904687,256,1532,bsi pathian lekhabu rithiang bsi
kfs,Bilaspuri,Q12953397,257,2768,
bhp,Bima,Q2796873,259,2842,kitab suci injil
bhl,Bimin,Q4913743,260,1281,sunbim got em kitakamin weng
bim,Bimoba,Q34971,261,1838,yennu gbounpaau mr
bim,Bimoba,Q34971,262,1748,yennu gbou mr
bon,Bine,Q4914077,264,975,ireclota mene
bkd,Binukid,Q4914553,266,1117,lalang hu dios
bjr,Binumarien,Q538364,267,842,anutuna ufa
bis,Bislama,Q35452,268,1923,baebol long bislama
bib,Bissa,Q32934,269,1751,wosoci guaasibabaa daa nouveau testament en bissa
bzi,Bisu,Q56852,270,1705,
gso,Biyanda-Buli,Q4919322,1782,1367,takarata p s mbombe mbon
blr,Blang,Q4925096,271,2819,plang
mux,Bo-Ung,Q15831607,272,1121,pulu yili nga ung konale
kvg,Boazi,Q2907551,1001,2085,mbumbukiam qa manqat mbomambaqape
bdv,Bodo Parja,Q8845881,274,2777,
nob,Bokmål,Q25167,1372,2321,bibelen guds ord hverdagsbibelen hermon forlag
nob,Bokmål,Q25167,1373,29,bibelen 2011 bokmal
nob,Bokmål,Q25167,1374,2216,bibelen guds ord 2017
nob,Bokmål,Q25167,1375,121,det norsk bibelselskap 1930
nob,Bokmål,Q25167,1376,115,en levende bok
nob,Bokmål,Q25167,1377,102,norsk bibel 88slash 07
nob,Bokmål,Q25167,1378,30,the bible in norwegian 1978slash 85 bokmal
bqc,Boko,Q34983,275,1155,bibeli luayataala
bnp,Bola,Q4938876,276,333,a nitana vure
mog,Bolaang Mongondow,Q3058458,1251,2874,alkitab singog in mongondow masa in tanaa
smk,Bolinao,Q2669235,265,413,si biblia
boa,Bora,Q2375468,277,578,piivyeebe ihjyu jetsocrijyodityu caatunuhaam
kvn,Border Kuna,Q31777873,278,610,pab tummad karta pab jesucristobal igal pin mezhijad
ksr,Borong,Q4946263,279,1382,uumeleembaa bua tere soomogo gbilia
bor,Bororo,Q32986,281,2518,pao kurireu bataru kurireu
sbl,Botolan,Q4095195,282,1343,hay halita nin diyos hay kawkanta boy kawkahalita an the new testament psalms and proverbs
bov,Bowili,Q36974,1922,1752,baguma apam v a tuwuli
bre,Breton,Q12107,284,1231,koad 21
bre,Breton,Q12107,286,1799,testamant nevez 1897 jenkins
bzd,Bribri,Q28400,287,234,tte pa ali me skekol to se a
plw,Brooke's Point Palawano,Q12953796,288,1358,bagung pinegsulutan et empu
bgt,Bughotu,Q2927723,290,1900,na rorongo ke toke eigna a jisas krais
bug,Buginese,Q33190,291,2847,kitta kareba madeceng
sab,Buglere,Q3368506,292,671,buglere
buk,Bukawa,Q35043,289,1039,anoto nde yom lesem wakuc
ape,Bukiyip,Q3507895,294,934,god ananin balan
ape,Bukiyip,Q3507895,295,1005,iruhin ananin baraen
bxk,Bukusu,Q32930,1097,2654,ebibilia endakatifu
bxk,Bukusu,Q32930,1098,2658,ebibilia endakatifu dc
bul,Bulgarian,Q7918,2191,1724,biblejski tekst revizirano izdanie 2001 g dot na reviziranoto izdanie ot 1924 g na protestantskiya prevod na bibliyata na blgarski ezik ot 1871g
bul,Bulgarian,Q7918,2192,901,bibliya nov prevod ot originalnite ezici s nekanonichnite knigi
bul,Bulgarian,Q7918,2193,1443,bbd bibliya revizirano izdanie
bul,Bulgarian,Q7918,2194,1558,bibliya sinodalno izdanie 1982 g dot 
bul,Bulgarian,Q7918,2195,190,veren
bul,Bulgarian,Q7918,2196,196,noviyat zavet svremenen prevod
bul,Bulgarian,Q7918,2197,23,reviziran
bul,Bulgarian,Q7918,2198,22,carigradski
bwu,Buli,Q35085,296,2176,naawen gba paalika
bum,Bulu,Q35028,297,856,bible en langue bulu
bmv,Bum,Q35058,298,2175,waklu fuyen kan mu fe cameron
aon,Bumbita,Q3508044,299,2160,iruhin ananin baraen
bdd,Bunama,Q4997416,300,1007,loina nuahuana
bwr,Bura,Q56552,303,2536,kakau na akkarkara
bvr,Burarra,Q4998124,304,1291,nyanyapa arrku gun nika gun molamola janguny minypa jesus christ guna ganyja arrburrwa gun geka rum
mya,Burmese,Q9228,2298,404,common language bible
mya,Burmese,Q9228,2299,2397,garrad bible
mya,Burmese,Q9228,2300,386,judson bible
mya_zaw,Burmese,Q9228,2301,2760,judson bible in zawgyi version
mya_zaw,Burmese,Q9228,2302,2649,myanmar common language zawgyi version
bmu,Burum,Q5000983,1760,963,urumelego bua kimbi johojoho doloki
bds,Burunge,Q56617,305,2304,ilaimbidu gu abu hari burungaisoo
djk,Businenge Tongo,Q2659044,306,243,beibel okanisi tongo
kyb,Butbut Kalinga,Q18753300,307,2381,nan ukud apudyus
box,Bwamu,Q35157,308,381,donbeeni paanii fnle vah
tte,Bwanabwana,Q5003667,309,1220,buki tabu waluwaluna
agt,Cagayan Agta,Q5017296,342,1244,uhohug na namaratu gafu te hesus kristu
qvc,Cajamarca Quechua,Q35112,311,648,mushuq tistamintu
zad,Cajonos Zapotec,Q5017997,312,462,dill wen dill kob che jesucristona
tbk,Calamian Tagbanwa,Q3915487,313,1438,yang baklung ipinagpakigpaigu
clu,Caluyanon,Q32964,314,1128,anang ambal ang dios bago nga katipan
mcu,Cameroon Mambila,Q19359039,315,2226,mvu g fee
kbh,Camsá,Q2842667,316,1085,bengbe betsa cabengaftaca entsoyebuambna
qxr,Cañar Highland Quichua,Q12953846,920,261,dios rimashcata quillcashcami
cbu,Candoshi-Shapra,Q642843,317,213,apanlli kuku
kaq,Capanahua,Q2937196,319,586,noquen hihbaan joi
cot,Caquinte,Q3915557,320,566,iroaquerari itioncacaantaqueca aapani irioshi tsavetacoquerica amajirote jesoquirishito
caq,Car,Q35156,321,1060,nicobarese bible
cbc,Carapana,Q924405,322,533,dios c cauetibj crca tuti
car,Carib,Q56611,323,237,asery tamusi karetary
hns,Caribbean Hindustani,Q1843468,324,593,parmeswar ke naawa poestak
jvn,Caribbean Javanese,Q11732256,235,250,kitab sutyi prejanjian anyar ing basa jawa suriname sing gampang
rmc,Carpathian Romani,Q5045611,1586,992,e nevi zmluva pal o romanes 2014
crx,Carrier,Q20614,325,603,yakusda ooghuni
cbr,Cashibo-Cacataibo,Q5359560,326,541,nuken ibu diosan ain unikama inan ain bana
cbs,Cashinahua,Q2591230,327,540,diosun jesuswen taexun yuba bena yiniki
cbs,Cashinahua,Q2591230,328,1488,kaxinawa biblia br
asc,Casuarina Coast Asmat,Q11732046,330,2838,allah akot atakam
cat,Catalan,Q7026,331,335,biblia catalana traduccion interconfesional
cat,Catalan,Q7026,332,2010,biblia evangelica catalana
cav,Cavineña,Q524102,333,538,yusuja quisarati
cbi,Cayapa,Q2591329,350,535,diosa kiika genesis exodo y el nuevo testamento
ceb,Cebuano,Q33239,334,562,ang bag ong maayong balita biblia
ceb,Cebuano,Q33239,335,2187,ang biblia 2011
ceb,Cebuano,Q33239,336,9,ang pulong sa dios
ceb,Cebuano,Q33239,337,2188,maayong balita biblia
cam,Cèmuhî,Q3009690,338,2379,iitihi tii iitihi elele iitihi na mwo coho
esu,Central Alaskan Yup'ik,Q21117,2078,1390,yupik bible
cns,Central Asmat,Q11732048,339,2849,ay atayi
ayr,Central Aymara,Q20526610,182,2251,aymar bibliia 1986
ayr,Central Aymara,Q20526610,183,293,qullan arunaca
ayr,Central Aymara,Q20526610,184,2250,qullan arunaka dc
bcl,Central Bikol,Q33284,340,890,marahay na bareta biblia
lbk,Central Bontok,Q63257803,341,1157,nan kalin apo dios
nch,Central Huasteca Nahuatl,Q2194290,343,751,icamanal toteco santa biblia
pse,Central Malay,Q3367751,344,2886,pejanjian empai ceritau iluak
cmo,Central Mnong,Q13018551,302,1657,nau koranh brah ngi nau tam rnglap mhe
sml,Central Sama,Q3470593,346,2394,kitab injil and kitab awal jaman
syb,Central Subanen,Q12953893,347,1325,kig begu pasad
bod,Central Tibetan,Q5061915,2296,2378,radiant light to the ends of the earth
tuf,Central Tunebo,Q12953942,348,1086,sir chihta
fuq,Central-Eastern Niger Fulfulde,Q12628799,604,1373,alkawal kesal
cme,Cerma,Q35074,349,379,diilo nelma tobisflnni
cao,Chácobo,Q2591202,389,235,dios chani
shu_rom,Chadian Arabic,Q56497,149,501,al kitaab al mukhaddas be l arabi al daariji hana tchad
shu,Chadian Arabic,Q56497,2214,502,lktb lmkds blaarby ldrgy hn tshd
cko,Chakosi,Q34845,141,2168,nyeme jre kadasi
ndi,Chamba Leko,Q36381,1630,1118,samba leko new testament
nbc,Chang,Q5071694,352,961,saopobu lai
cbk,Chavacano,Q33281,353,1129,el nuevo testamento
cbt,Chayahuita,Q1526525,354,544,yose nanamen
mih,Chayuco-Jamiltepec Mixtec,Q13583510,355,793,new testament in mixtec chayuco
che,Chechen,Q33350,2159,1513,delan jozanash
chr,Cherokee,Q33388,2307,1926,
nya,Chewa,Q33273,358,1068,2018 buku lopatulika
nya,Chewa,Q33273,359,1708,chichewa buku lopatulika bible 2014
nya,Chewa,Q33273,360,1618,mawu a mulungu mu chichewa chalero
hne,Chhattisgarhi,Q33158,356,1630,
zpv,Chichicapan Zapotec,Q5096050,361,739,xchidxyi cuubi dxiohs nin biegaluuyi daada jesucristu el nuevo testamento en el zapoteco de chichicapan y en espanol
qug,Chimborazo Highland Quichua,Q12953845,917,262,dios rimashca shimicunami
qug,Chimborazo Highland Quichua,Q12953845,918,98,mushuj testamento diospaj shimi
chj,Chinantec of Ojitlán,Q5100110,1441,2127,nuevo testamento en chinanteco ojitlan
chz,Chinantec of Ozumacín,Q5100111,1459,710,new testament and psalms in chinantec ozumacin
cpa,Chinantec of Palantla,Q5100112,368,219,el nuevo testamento de nuestro senor jesucristo version chinanteca
cnt,Chinantec of Tepetotutla,Q5100113,1862,726,jag m amal quian diu
zho,Chinese,Q7850,2331,43,中文标准译本简体
zho,Chinese,Q7850,2332,140,和合本修订版
zho,Chinese,Q7850,2333,36,圣经当代译本修订版
zho,Chinese,Q7850,2334,47,上帝 新标点和合本 上帝版
zho,Chinese,Q7850,2335,48,神 新标点和合本 神版
zho,Chinese,Q7850,2336,41,新译本
zho_tw,Chinese,Q7850,2337,1579,官話和合譯本
zho_tw,Chinese,Q7850,2338,312,中文標準譯本繁體
zho_tw,Chinese,Q7850,2339,1581,北京官話譯本
zho_tw,Chinese,Q7850,2340,2034,南京官話新約全書
zho_tw,Chinese,Q7850,2341,2625,神版 和合本2010 和合本修訂版 繁體字 神版
zho_tw,Chinese,Q7850,2342,139,和合本修訂版
zho_tw,Chinese,Q7850,2343,2361,四福音書 共同譯本
zho_tw,Chinese,Q7850,2344,414,上帝 新標點和合本 上帝版
zho_tw,Chinese,Q7850,2345,46,神 新標點和合本 神版
zho_tw,Chinese,Q7850,2346,40,新譯本
zho_tw,Chinese,Q7850,2347,2297,朱寶惠重譯新約全書附注釋
zho_tw,Chinese,Q7850,2348,2087,李山甫等新經全書附注釋
zho_tw,Chinese,Q7850,2349,2217,楊格非官話新約全書
zho_tw,Chinese,Q7850,2351,2293,王元德新式標點新約全書
zho_tw,Chinese,Q7850,2352,1392,聖經當代譯本修訂版
zho_tw,Chinese,Q7850,2353,2032,蕭鐵笛新譯新約全書
zho_tw,Chinese,Q7850,2354,2036,蕭靜山新經全集附注釋
zho_tw,Chinese,Q7850,2355,2030,陸亨理鄭壽麟國語新舊庫譯本新約全書
cap,Chipaya,Q35235,1543,218,ew testamento chipay tawqkistan
cap,Chipaya,Q35235,1544,236,ew testamento chipay tawkquiztan
maq,Chiquihuitlán Mazatec,Q5101757,370,735,compromisu xi majo xi casahmi nina cojo xuta
cax,Chiquitano,Q1844993,248,534,manitanati tuparru
cax,Chiquitano,Q1844993,249,362,manityanati tupax
zpc,Choapan Zapotec,Q5103425,372,746,xtiidza diuzi
nri,Chokri,Q5104247,351,1539,bsi ketholesi kesao n dot t bsi
cjk,Chokwe,Q2422065,374,2546,mukanda wa zambi 1970
chf,Chontal Maya,Q35175,1820,797,u chuul tan dios
cce,Chopi,Q3437616,380,2848,bhiblia yo sawuleka
nct,Chothe,Q5105385,383,1541,bsi atharkuthrou bsi
cje,Chru,Q2967321,384,2497,chru
cjv,Chuave,Q5115226,385,995,yai guman gunom kam
cac,Chuj,Q35233,386,492,chuj san mateo bible
cac,Chuj,Q35233,387,494,chuj san sebastian bible
ncu,Chumburung,Q35198,388,437,abwarese wore 
chv,Chuvash,Q33348,2185,1803,sinodalnyj nz
ctu,Ch’ol,Q35179,375,2275,chol de tumbala bible
ctu,Ch’ol,Q35179,376,859,i tan dios
ctu,Ch’ol,Q35179,377,795,jini wen b tan
ctu,Ch’ol,Q35179,378,2504,jini tsiji b wen tan chaan estudio
ctu,Ch’ol,Q35179,379,2128,jini tsiji b wen tan chaan estudio
caa,Ch’orti’,Q35177,382,524,e ojroner xe imbutz tua cawinquirar jesucristo
txt,Citak,Q3447279,393,2904,ai atakum zi arara
lzh,Classical Chinese,Q37041,2314,2218,griffith john wenli nt
lzh,Classical Chinese,Q37041,2315,1580,俄羅斯正教文理希臘原文新約聖經附官話聖詠經
lzh,Classical Chinese,Q37041,2316,2294,包爾騰柏漢理淺文理新約聖經
lzh,Classical Chinese,Q37041,2317,2295,文理委辦譯本
lzh,Classical Chinese,Q37041,2318,1578,文理和合譯本新舊約全書
lzh,Classical Chinese,Q37041,2319,2296,施約瑟淺文理新舊約聖經
lzh,Classical Chinese,Q37041,2321,1577,淺文理和合新約全書
lzh,Classical Chinese,Q37041,2322,2212,湛約翰韶瑪亭文理新約全書
lzh,Classical Chinese,Q37041,2323,2211,白日昇徐約翰文理新約缺
lzh,Classical Chinese,Q37041,2324,2213,裨治文克陛存文理新約全書和舊約全書
lzh,Classical Chinese,Q37041,2325,2323,馬殊曼拉撒文理新舊約全書
lzh,Classical Chinese,Q37041,2326,2283,馬禮遜米憐文理神天聖書
zca,Coatecas Altas Zapotec,Q5138603,394,857,widizh che n jesukrist kwan kinu yalnaban
mco,Coatlán Mixe,Q25559716,1233,826,new testament in mixe coatlan
miz,Coatzospan Mixtec,Q3317290,395,713,new testament in mixtec coatzospan
con,Cofán,Q2669254,396,567,chiga tevaenjema atesuja 1 aisheve canacho
cco,Comaltepec Chinantec,Q2963735,399,738,new testament in chinantec comaltepec
swc,Congo Swahili,Q10961696,955,2921,biblia maandiko matakatifu kwa watu wote 2002
rar,Cook Islands Maori,Q36745,1293,1847,bibilia tapu
rar,Cook Islands Maori,Q36745,1294,1127,te koreromotu ou reo maori kuki airani
zoc,Copainalá Zoque,Q12954017,400,2133,zoque copainala new testament
trc,Copala Triqui,Q12953935,401,742,se nana diose nana sa me ra catuu niman ni a
cor,Cornish,Q25289,906,1079,an bibel kernewek 2020
cos,Corsican,Q33111,404,2291,4 evangiles en corse
mta,Cotabato Manobo,Q12953698,405,1316,kagi nemula word of god
toc,Coyutla Totonac,Q15615591,406,752,xasasti talacaxlan
crh,Crimean Tatar,Q33357,2148,1550,mukaddes kitap
hrv,Croatian,Q6654,737,1444,biblija kralja jakova
hrv,Croatian,Q6654,738,2475,biblija suvremeni hrvatski prijevod
hrv,Croatian,Q6654,739,39,knjiga o kristu
cub,Cubeo,Q3006705,407,358,majepac jmenijici yavaiye mamaene coyitucubo
